...1,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct,dem_poll_avg,dem_effn,rep_poll_avg,rep_effn,seat_number,prev_lean,prev2_lean,generic_ballot_avg,pres_approval_avg,incumbent_pres,ics,pres_approval_avg_x_incpres,ics_x_incpres,cvap_white_pct,cvap_aapi_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,college,no_dem_cand_flag,no_rep_cand_flag,dem_inc_any,rep_inc_any,dem_inc_dummy,rep_inc_dummy,pvi,census_region,dem_scandal_score,rep_scandal_score,Year,Geography,dem_stand,rep_stand,dem_funds_2p_pct_sqrd,effn,sqrt_effn,poll_margin,y_pred,y_act,y_pred_sd,fund_chances,abs_err,err,z,in_95_ci,in_68_ci,index,district_id
1203,2024,Alabama,AL,FALSE,AL-01,70929,258619,329854,Tom Holmes,Barry Moore,False,True,3076.82,649617.39,329548,21.523116511100053,78.47688348889996,3076.82,649617.39,652694.21,0.4714029867064395,99.52859701329358,0,0,0,0,1,-27.729089817651893,-28.56301004344668,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,77.44116832161019,1.037832813463584,3.181960370731184,15.563380911097804,0.48209354080456174,24.14,FALSE,FALSE,FALSE,TRUE,0,1,-27.93756987410059,East South Central,0,0,2024,AL-01,Tom Holmes,Barry Moore,0.22222077587575156,0,0,0,21.532019934535864,21.523116511100053,1.5756927183218608,0,0.008903423435810964,0.008903423435810964,0.0056504820592769255,TRUE,TRUE,1,AL01
1204,2024,Alabama,AL,FALSE,AL-02,158041,131414,289674,Shomari Figures,Caroleene Dobson,False,False,1875364.5,1226100.44,289455,54.59950596811248,45.40049403188751,1875364.5,1226100.44,3101464.94,60.46705464289401,39.53294535710599,49.4459430309752,3.46,41.04029130609538,3.46,2,3.987437591502165,4.245076081857178,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,44.148607273820936,1.2867142272709442,2.1193050099286967,50.20744717615917,0.368566662370147,25.27,FALSE,FALSE,FALSE,FALSE,0,0,4.051847214090918,East South Central,0,0,2024,AL-02,Shomari Figures,Caroleene Dobson,3656.2646971867302,3.46,1.8601075237738274,-8.405651724879824,54.21312086887516,54.59950596811248,1.5959323865752308,99.52,0.386385099237323,-0.386385099237323,-0.2421061834997163,TRUE,TRUE,2,AL02
1205,2024,Alabama,AL,FALSE,AL-06,102504,243741,346625,Elizabeth Anderson,Gary Palmer,False,True,186789.39,1046435.31,346245,29.60447082268336,70.39552917731665,186789.39,1046435.31,1233224.7000000002,15.14641978870517,84.85358021129483,0,0,0,0,6,-21.50977565339792,-24.893037772858136,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,75.9289889859786,1.3338234229417627,2.767521167601364,18.102313631359795,0.1427571624554232,37.79,FALSE,FALSE,FALSE,TRUE,0,1,-22.355591183262973,East South Central,0,0,2024,AL-06,Elizabeth Anderson,Gary Palmer,229.41403241567957,0,0,0,28.78984941998126,29.60447082268336,1.5881655252535256,0,0.8146214027021017,-0.8146214027021017,-0.5129323044410375,TRUE,TRUE,3,AL06
1206,2024,Alabama,AL,FALSE,AL-07,186723,106312,293220,Terri Sewell,Robin Litaker,True,False,972896.99,19175.59,293035,63.720374699268,36.27962530073199,972896.99,19175.59,992072.58,98.06711823443402,1.9328817655659831,0,0,0,0,7,12.303187225051424,12.248327179292971,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,42.70283254055195,0.8656299245553569,1.8631878910074209,52.55794825509243,0.17469092444253578,25.619999999999997,FALSE,FALSE,TRUE,FALSE,1,0,12.28947221361181,East South Central,0,0,2024,AL-07,Terri Sewell,Robin Litaker,9617.159678806462,0,0,0,63.813439927603625,63.720374699268,1.584606576437964,100,0.09306522833562525,0.09306522833562525,0.05873081035977177,TRUE,TRUE,4,AL07
1207,2024,Alaska,AK,FALSE,AK-00,156985,164861,321846,Mary Peltola,Nick Begich,True,False,10800004.13,2309088.23,321846,48.776433449537976,51.22356655046202,10800004.13,2309088.23,13109092.36,82.38559797590746,17.614402024092534,0,0,0,0,0,-7.5316836480557825,-9.498943641780947,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,64.4639480048031,6.481397278121224,6.05138274633968,3.0774712844201857,12.640422850716105,30.75,FALSE,FALSE,TRUE,FALSE,1,0,-8.023498646487074,Pacific,0,0,2024,AK-00,Mary Peltola,Nick Begich,6787.386753847847,0,0,0,49.01022062002981,48.776433449537976,1.5988194945597358,27.195000000000004,0.23378717049183706,0.23378717049183706,0.14622486859044376,TRUE,TRUE,5,AK00
1208,2024,Arizona,AZ,FALSE,AZ-01,208966,225538,434504,Amish Shah,David Schweikert,False,True,5303935.32,1753393.57,434504,48.09299799311399,51.90700200688602,5303935.32,1753393.57,7057328.890000001,75.15499706291851,24.845002937081482,48,2.03,47.35882347506259,2.03,1,-1.5175915449112196,-3.392517884972733,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,76.78919911119698,3.327858822013976,12.79280584806621,3.238334460438605,1.2216210994106849,50.61,FALSE,FALSE,FALSE,TRUE,0,1,-1.986323129926598,Mountain,0,0.4723665527410147,2024,AZ-01,Amish Shah,David Schweikert,5648.27358352729,2.03,1.4247806848775006,-0.6411765249374071,48.33456015830515,48.09299799311399,1.549830177824648,14.469999999999999,0.24156216519116214,0.24156216519116214,0.15586363502756181,TRUE,TRUE,6,AZ01
1209,2024,Arizona,AZ,FALSE,AZ-02,184963,221413,406431,Jonathan Nez,Eli Crane,False,True,5320391.09,8412660.34,406376,45.51523712030238,54.48476287969763,5320391.09,8412660.34,13733051.43,38.74150706504709,61.25849293495291,42,1.12,42,1.12,2,-6.26922897438012,-6.610438657981568,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,61.65272226886983,1.196314331039111,14.154285795303275,2.311025972655222,17.555290548108566,25.05,FALSE,FALSE,FALSE,TRUE,0,1,-6.354531395280482,Mountain,0,0,2024,AZ-02,Jonathan Nez,Eli Crane,1500.9043696710935,1.12,1.0583005244258363,0,45.18270246137337,45.51523712030238,1.5720538240323072,0.09,0.33253465892901346,-0.33253465892901346,-0.2115287999974863,TRUE,TRUE,7,AZ02
1210,2024,Arizona,AZ,FALSE,AZ-03,143336,53705,202065,Yassamin Ansari,Jeff Zink,False,False,1976336.45,25347.0,197041,72.7442511964515,27.255748803548503,1976336.45,25347,2001683.45,98.7337158630152,1.2662841369847966,0,0,0,0,3,23.459129498606195,25.77530163931537,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,29.427764455102583,2.7540634159339197,50.881961097788434,11.967386091127098,2.200266453503864,18.02,FALSE,FALSE,FALSE,FALSE,0,0,24.03817253378349,Mountain,0,0,2024,AZ-03,Yassamin Ansari,Jeff Zink,9748.34664811862,0,0,0,73.10322128049611,72.7442511964515,1.5798725076166524,100,0.35897008404461417,0.35897008404461417,0.22721458998368516,TRUE,TRUE,8,AZ03
1211,2024,Arizona,AZ,FALSE,AZ-04,176428,152052,334545,Greg Stanton,Kelly Cooper,True,False,1959812.31,607197.81,328480,53.71042377009256,46.28957622990745,1959812.31,607197.81,2567010.12,76.34610766552022,23.65389233447977,0,0,0,0,4,2.982997896148653,0.2404706735989137,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,64.4137778571368,4.360040473093045,20.664404934996472,5.171372939145813,1.7296295351546225,37.21,FALSE,FALSE,TRUE,FALSE,1,0,2.2973660905112183,Mountain,0,0,2024,AZ-04,Greg Stanton,Kelly Cooper,5828.728155675206,0,0,0,54.614968348032285,53.71042377009256,1.4670560413601206,99.955,0.9045445779397241,0.9045445779397241,0.616571250475962,TRUE,TRUE,9,AZ04
1212,2024,Arizona,AZ,FALSE,AZ-05,167680,255628,423308,Katrina Schaffner,Andy Biggs,False,True,65924.25,1283197.96,423308,39.61181928997326,60.38818071002674,65924.25,1283197.96,1349122.21,4.886455023225805,95.1135449767742,0,0,0,0,5,-10.58864813540854,-12.68503102999599,-0.8352436655714882,-16.17152089636,1,71.8,-16.17152089636,71.8,72.35594115327287,4.749045846172356,15.303557941032958,3.532708593734334,0.7024978443810199,39.69,FALSE,FALSE,FALSE,TRUE,0,1,-11.112743859055405,Mountain,0,0,2024,AZ-05,Katrina Schaffner,Andy Biggs,23.877442694008703,0,0,0,39.374090319293735,39.61181928997326,1.5658491557981193,0,0.2377289706795267,-0.2377289706795267,-0.15182111878353655,TRUE,TRUE,10,AZ05
