,cd,dem_cand,rep_cand,dem_inc_any,rep_inc_any
0,AK-AL,Bill Hill,Nick Begich,False,True
1,AL-01,Clyde Jones Jr.,Jerry Carl,False,False
2,AL-02,Shomari Figures,Rhett Marques,True,False
3,AL-03,Lee McInnis,Mike Rogers,False,True
4,AL-04,Amanda Pusczek,Robert Aderholt,False,True
5,AL-05,Andrew Sneed,Dale Strong,False,True
6,AL-06,Keith Pilkington,Gary Palmer,False,True
7,AL-07,Terri Sewell,Ammie Akin,True,False
8,AR-01,Terri Green,Rick Crawford,False,True
9,AR-02,Chris Jones,French Hill,False,True
10,AR-03,Robb Ryerse,Steve Womack,False,True
11,AR-04,James Russell,Bruce Westerman,False,True
12,AZ-01,Amish Shah,Jay Feely,False,False
13,AZ-02,Jonathan Nez,Elijah Crane,False,True
14,AZ-03,Yassamin Ansari,Nicholas Glenn,True,False
15,AZ-04,Greg Stanton,Zuhdi Jasser,True,False
16,AZ-05,Elizabeth Lee,Mark Lamb,False,False
17,AZ-06,JoAnna Mendoza,Juan Ciscomani,False,True
18,AZ-07,Adelita Grijalva,Daniel Butierez,True,False
19,AZ-08,Bernadette Greene-Placentia,Abraham Hamadeh,False,True
20,AZ-09,Dani Sterbinsky,Paul Gosar,False,True
21,CA-01,Mike McGuire,James Gallagher,False,True
22,CA-02,Jared Huffman,Robin Littau,True,False
23,CA-03,Ami Bera,Robb Tucker,True,False
24,CA-04,Mike Thompson/Eric Jones,Not Contested,True,False
25,CA-05,Michael Masuda,Tom McClintock,False,True
26,CA-06,Richard Pan,Kevin Kiley,False,True
27,CA-07,Doris Matsui/Mai Vang,Not Contested,True,False
28,CA-08,John Garamendi,Rudy Recile,True,False
29,CA-09,Josh Harder,John McBride,True,False
30,CA-10,Mark DeSaulnier,Jeff Frese,True,False
31,CA-11,Scott Weiner/Connie Chan,Not Contested,False,False
32,CA-12,Lateefah Simon,Not Contested,True,False
33,CA-13,Adam Gray,Kevin Lincoln,True,False
34,CA-14,Aisha Wahab/Melissa Hernandez,Not Contested,False,False
35,CA-15,Kevin Mullin,Charles Hoelter,True,False
36,CA-16,Sam Liccardo,Peter Soule,True,False
37,CA-17,Ro Khanna,Ritesh Tandon,True,False
38,CA-18,Zoe Lofgren,Shane Lewis,True,False
39,CA-19,Jimmy Panetta,Peter Coe Verbica,True,False
40,CA-20,Sandra Van Scotter,Vince Fong,False,True
41,CA-21,Jim Costa,Kyle Kirkland,True,False
42,CA-22,Randy Villegas,David Valadao,False,True
43,CA-23,Tessa Lynn Hodge,Jay Obernolte,False,True
44,CA-24,Salud Carbajal,Bob Smith,True,False
45,CA-25,Raul Ruiz,Joe Males,True,False
46,CA-26,Jacqui Irwin,Sam Gallucci,False,False
47,CA-27,George Whitesides,Jason Gibbs,True,False
48,CA-28,Judy Chu,April A. Verlato,True,False
49,CA-29,Luz Rivas/Angélica María Dueñas,Not Contested,True,False
50,CA-30,Laura Friedman,Scott Alan Meyers,True,False
51,CA-31,Gil Cisneros,Eric Ching,True,False
52,CA-32,Brad Sherman,Larry Thompson,True,False
53,CA-33,Pete Aguilar,Stephanie M. Vargas,True,False
54,CA-34,Jimmy Gomez/Angela Gonzales-Torres,Not Contested,True,False
55,CA-35,Norma Torres,Mike Cargile,True,False
56,CA-36,Ted Lieu,Houston Brignano,True,False
57,CA-37,Sydney Kamlager-Dove/Samantha Mota,Not Contested,True,False
58,CA-38,Hilda Solis,Pedro Antonio Casas,False,False
59,CA-39,Mark Takano,Steve Manos,True,False
60,CA-40,Not Contested,Young Kim/Ken Calvert,False,True
61,CA-41,Linda Sanchez,Mitch Clemmons,True,False
62,CA-42,Robert Garcia,Brian Burley,True,False
63,CA-43,Maxine Waters,Cristian Morales,True,False
64,CA-44,Nanette Barragan,Genevieve Angel,True,False
65,CA-45,Derek Tran,Chuong V. Vo,True,False
66,CA-46,Lou Correa,David Pan,True,False
67,CA-47,Dave Min,Jenny Rae Le Roux,True,False
68,CA-48,Marni von Wilpert,Jim Desmond,False,False
69,CA-49,Mike Levin,Armen Kurdian,True,False
70,CA-50,Scott Peters,Steve Cohen,True,False
71,CA-51,Sara Jacobs,Ricardo Cabrera,True,False
72,CA-52,Juan Vargas,Jeff Belle,True,False
73,CO-01,Melat Kiros,Christy Peterson,False,False
74,CO-02,Joe Neguse,Kelley Dennison,True,False
75,CO-03,Dwayne Romero,Jeff Hurd,False,True
76,CO-04,Eileen Laubacher,Lauren Boebert,False,True
77,CO-05,Jessica Killin,Jeff Crank,False,True
78,CO-06,Jason Crow,Mel Tewahade,True,False
79,CO-07,Brittany Pettersen,Tim Bennett,True,False
80,CO-08,Manny Rutinel,Gabe Evans,False,True
81,CT-01,Luke Bronin,Amy Chai,False,False
82,CT-02,Joe Courtney,George Austin,True,False
83,CT-03,Rosa DeLauro,Christopher Lancia,True,False
84,CT-04,Jim Himes,Michael Goldstein,True,False
85,CT-05,Jahana Hayes,Chris Shea,True,False
86,DE-AL,Sarah McBride,,True,False
87,FL-01,Gay Valimont,Jimmy Patronis,False,True
88,FL-02,Amanda Green,Austin Rogers,False,False
89,FL-03,Seth Harp,Kat Cammack,False,True
90,FL-04,LaShonda Holloway,Aaron Bean,False,True
91,FL-05,Rachel Grage,John Rutherford,False,True
92,FL-06,Eric Yonce,Randy Fine,False,True
93,FL-07,Bale Dalton,Ryan Elijah,False,False
94,FL-08,Jennifer Jenkins,Mike Haridopolos,False,True
95,FL-09,Darren Soto,Dan Green,True,False
96,FL-10,Maxwell Frost,Not Contested,True,False
97,FL-11,James Pericola,Joe Strada,False,False
98,FL-12,Kimberly Overman,Gus Bilirakis,False,True
99,FL-13,Leela Gray,Anna Paulina Luna,False,True
100,FL-14,Kathy Castor,Mike Beltran,True,False
101,FL-15,Robert People,Laurel Lee,False,True
102,FL-16,Kelly Kirschner,Sydney Gruters,False,False
103,FL-17,Matthew Montavon,Greg Steube,False,True
104,FL-18,Curtis Gibson,Scott Franklin,False,True
105,FL-19,Victor Arias,Jim Schwartzel,False,False
106,FL-20,Debbie Wasserman Schultz,Brent Andersen,True,False
107,FL-21,James Martin,Brian Mast,False,True
108,FL-22,Pia Dandiya,Casey Askar,False,False
109,FL-23,Lois Frankel,Deborah Adeimy,True,False
110,FL-24,Oliver Gilbert,Te Mayonna Brown,False,False
111,FL-25,Jared Moskowitz,Scott Singer,True,False
112,FL-26,Nicole Locklin,Mario Diaz-Balart,False,True
113,FL-27,Eliott Rodriguez,Maria Elvira Salazar,False,True
114,FL-28,Phil Ehr,Carlos Gimenez,False,True
115,GA-01,Amanda Hollowell,Jim Kingston,False,False
116,GA-02,Sanford Bishop,Matt Day,True,False
117,GA-03,Maura Keller,Brian Jack,False,True
118,GA-04,Hank Johnson,James Duffie,True,False
119,GA-05,Nikema Williams,John Oscar Salvesen,True,False
120,GA-06,Lucy McBath,Kevin Martin,True,False
121,GA-07,Tony Kozycki,Rich McCormick,False,True
122,GA-08,Kelly Esti,Austin Scott,False,True
123,GA-09,Caitlyn Gegen,Andrew Clyde,False,True
124,GA-10,Pamela Delancy,Houston Gaines,False,False
125,GA-11,Chris Harden,John Cowan,False,False
126,GA-12,Ceretta Smith,Rick Allen,False,True
127,GA-13,Jasmine Clark,Jonathan Chavez,False,False
128,GA-14,Shawn Harris,Clay Fuller,False,True
129,HI-01,Ed Case,Adriel Lam,True,False
130,HI-02,Jill Tokuda,Brenton Awa,True,False
131,IA-01,Christina Bohannan,Mariannette Miller-Meeks,False,True
132,IA-02,Lindsay James,Joe Mitchell,False,False
133,IA-03,Sarah Trone Garriott,Zach Nunn,False,True
134,IA-04,Dave Dawson,Chris McGowan,False,False
135,ID-01,Kaylee Peterson,Russ Fulcher,False,True
136,ID-02,Ellie Gilbreath,Mike Simpson,False,True
137,IL-01,Jonathan Jackson,Christian Maxwell,True,False
138,IL-02,Donna Miller,Michael Noack,False,False
139,IL-03,Delia Ramirez,Angel Oakley,True,False
140,IL-04,Patty Garcia,Lupe Castillo,False,False
141,IL-05,Mike Quigley,Tommy Hanson,True,False
142,IL-06,Sean Casten,Niki Conforti,True,False
143,IL-07,La Shawn Ford,Chad Koppie,False,False
144,IL-08,Melissa Bean,Jennifer Davis,False,False
145,IL-09,Daniel Biss,John Elleson,False,False
146,IL-10,Brad Schneider,Carl Lambrecht,True,False
147,IL-11,Bill Foster,Jeff Walter,True,False
148,IL-12,Julie Fortier,Mike Bost,False,True
149,IL-13,Nikki Budzinski,Jeff Wilson,True,False
150,IL-14,Lauren Underwood,James Marter,True,False
151,IL-15,Jennifer Todd,Mary Miller,False,True
152,IL-16,Paul Nolley,Darin LaHood,False,True
153,IL-17,Eric Sorensen,Dillan Vancil,True,False
154,IN-01,Frank Mrvan,Barb Regnitz,True,False
155,IN-02,Jamee Decio,Rudy Yakym,False,True
156,IN-03,Kelly Thompson,Marlin Stutzman,False,True
157,IN-04,Drew Cox,Jim Baird,False,True
158,IN-05,J.D. Ford,Victoria Spartz,False,True
159,IN-06,Cinde Wirth,Jefferson Shreve,False,True
160,IN-07,Andre Carson,Patrick McAuley,True,False
161,IN-08,Mary Allen,Mark Messmer,False,True
162,IN-09,Brad Meyer,Erin Houchin,False,True
163,KS-01,Lauren Reinhold,Tracey Mann,False,True
164,KS-02,Don Coover,Derek Schmidt,False,True
165,KS-03,Sharice Davids,Chase LaPorte,True,False
166,KS-04,Katy Tyndell,Ron Estes,False,True
167,KY-01,Drew Williams,James Comer,False,True
168,KY-02,Megan Wingfield,Brett Guthrie,False,True
169,KY-03,Morgan McGarvey,Maria Rodriguez,True,False
170,KY-04,Melissa Strange,Ed Gallrein,False,False
171,KY-05,Ned Pillersdorf,Hal Rogers,False,True
172,KY-06,Zach Dembo,Ralph Alvarado,False,False
173,LA-01,Lauren Jewett,Steve Scalise,False,True
174,LA-02,Troy Carter,,True,False
175,LA-03,,Clay Higgins,False,True
176,LA-04,,Mike Johnson,False,True
177,LA-05,,,False,False
178,LA-06,,,False,False
179,MA-01,Richard Neal,,True,False
180,MA-02,Jim McGovern,,True,False
181,MA-03,Lori Trahan,Gary Grossi,True,False
182,MA-04,Jake Auchincloss,Tom Stalcup,True,False
