ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,760065,462197,198815,20639,40391,46137,5841,765529,481623,196768,22219,40587,34097,5507,605483,390785,138760,15539,29667,33831,4253,546258,386988,104698,13026,22319,15446,1303,9496,18419,6393,1303,316144,176887,131811,369547,212964,147017,303757,167660,133836,66913,123660,137578,53975,96660,35283,12280,5840
2,2,760065,533599,112645,18778,46719,48674,4678,761273,551176,108815,22033,46167,35752,5341,613701,447722,80105,15177,34026,35923,3432,570919,448939,60753,12843,26231,18738,1172,8980,20488,8308,1172,357010,220940,128430,417404,263170,144491,350901,215895,132487,44257,108564,131452,49587,130290,55148,22334,10839
3,3,760067,435208,141407,54225,105091,27167,9177,761545,441573,145672,58743,105069,20112,8601,600433,366223,98814,40084,75189,20435,6573,552614,362996,82509,38060,55350,8774,2356,32392,48632,1624,2356,323310,172191,143603,390775,217623,163088,325804,174063,149063,50589,109122,127769,54536,125518,49682,16192,7454
4,4,760065,384742,236841,28171,89643,32572,6332,759036,395688,229989,33713,91221,24785,5775,591002,322739,162279,18842,68630,23831,4451,538599,321434,127903,18521,56411,8482,1987,14405,48564,2218,1987,296680,172883,117615,361299,214496,138292,298303,169544,126618,67921,108143,118675,47950,99488,40294,13242,9755
5,5,760066,424499,219949,24651,62902,38702,6805,767406,432973,228870,28911,61387,29104,7017,599254,356309,152803,19657,45967,28642,5216,565163,355588,139806,18915,33505,12599,2355,14885,28229,4920,2355,314802,127196,182234,383759,159852,215543,315296,122099,191517,59221,130201,141402,53088,97117,32763,12573,6018
6,6,760067,386058,169635,70555,115196,28618,11389,755346,395279,169864,69983,115753,20961,9860,576315,314273,114231,48424,82961,21275,8149,531350,306382,99513,43918,68941,7844,2047,36913,60004,1628,2047,280074,149823,123928,357325,196529,151560,289864,153642,133973,47900,110701,127608,52586,115633,39580,12714,5749
7,7,760065,305712,176798,82234,177508,26591,15425,760201,318870,179029,87282,170377,26686,17149,586863,257777,121573,59436,131923,19874,11377,549400,260436,105988,55328,108226,6725,8077,47574,100980,1343,8077,302520,173292,123462,375056,220144,146476,303505,168775,132585,58453,107045,125339,51260,119136,40673,15350,7031
8,8,760066,233055,238586,120878,160486,27671,12190,760071,244130,235029,122828,160317,20676,13023,600387,201307,168167,93803,127210,21203,8712,521724,199888,124125,83146,100117,5932,3861,75160,91826,1278,3861,276068,192189,78798,343801,241492,94851,268634,182637,84012,67505,117041,125428,49753,108885,40763,10539,8245
9,9,760065,194161,288030,104430,169287,28985,12567,766642,208359,293120,101957,169601,43794,13199,567270,164929,195496,74526,125001,21038,9017,507784,167408,159006,63744,102563,6455,4155,58540,95771,1740,4155,225806,137572,84253,295299,183175,105771,223219,128681,92837,82232,137518,117432,48708,76526,24102,6013,3218
