ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,769221,533911,59438,116673,35309,25419,3524,748718,539282,51322,117285,32915,13430,3906,99989,19673,2172,915,33281,772520,547344,55871,120665,35539,15203,3934,605557,436951,40502,81991,25681,19277,2297,600610,451346,35770,80666,19870,8810,629,74137,13730,1065,629,345089,103225,232937,423264,139203,275564,357064,103555,249043,42661,142124,123684,62871,103373,44664,8493,6296
2,2,769221,486775,54315,188670,23108,18717,1746,774575,501334,48134,195446,21128,9717,1725,182743,15884,2721,600,20451,775591,496828,51352,193989,21849,12318,1385,619356,405585,39777,143006,17234,14504,1142,615360,415423,34428,143492,12369,7916,432,138217,9317,1380,432,354039,154816,192332,411700,180593,225707,355819,140723,211665,60257,154072,107602,47759,92820,42344,11200,9061
3,3,769221,500368,89389,135375,30817,15704,1358,746822,502114,76655,138111,26441,8053,1217,124161,21196,1582,366,18722,770449,509194,85110,140273,29112,10596,1163,624295,422810,66407,99159,24257,12159,994,618631,432215,63825,97958,16617,7290,291,91708,13947,716,291,331360,139136,185885,393522,166674,222024,340481,130161,207272,58184,167889,102781,52504,82940,39594,11861,11295
4,4,769221,400933,67385,262951,28670,16913,2425,739721,404140,58703,245599,28361,8273,1753,227112,19277,1840,359,25230,774686,414532,66415,257964,29847,8502,2123,590934,326940,46192,187108,21169,12759,1609,593462,342275,46454,181602,16544,4985,511,174615,13421,627,511,333211,146202,180785,400821,184068,210863,335849,141069,191109,55942,165840,122544,55053,89494,32790,6668,4277
5,5,769221,497450,92795,107690,59075,14862,2346,727139,492441,79956,101320,49555,6156,3188,88413,37620,1071,472,22980,770632,504610,91204,109186,56045,7814,2794,606741,409497,65881,77684,42703,11078,1659,602580,425128,61080,76095,34180,3959,403,70564,28445,357,403,349884,131968,210584,427864,176973,244305,372931,138209,230615,32059,120169,99749,50083,150935,60537,15183,8233
6,6,769221,548571,88354,99968,16943,16642,1396,753730,549770,81020,102141,15457,6262,1068,90547,11481,1832,532,15837,778536,559792,91943,101238,17724,7688,1315,634516,474364,62028,71174,13068,13076,1020,646313,493359,64216,71437,10531,5390,481,66303,8284,806,481,350988,130987,213132,427616,161022,262093,379303,128876,247308,60070,193408,126901,62675,87811,36130,8382,5266
7,7,769221,472857,159630,90635,39599,16007,1707,763761,492534,153076,86747,34220,6931,1208,70022,26924,1585,179,17070,771747,483478,161997,90446,36238,7601,1423,616306,398072,116922,64914,29100,12048,1210,602620,401094,116901,58950,20302,3726,207,54582,17821,745,207,357166,160612,188548,433846,202046,226041,367135,155931,207459,37726,141585,115175,68143,129412,48810,11573,7406
8,8,769220,503429,121318,94859,37639,16910,2165,748097,519401,108130,88579,32634,6535,1385,69165,22436,1253,749,23370,771109,520241,118914,93972,36005,8960,2201,627948,430100,89424,68316,28576,13039,1577,623595,441914,88959,63777,21484,4466,570,57952,17547,666,570,365714,154669,201820,434539,190788,237424,370310,149206,216990,41336,139589,112960,65336,116939,56962,8339,7454
9,9,769221,349169,301573,90743,28530,14662,1835,730799,355991,271997,85070,25953,7764,1251,61387,19317,1927,222,16470,766556,350130,303627,92659,28044,9759,1706,606265,298048,220605,64670,21337,11181,1278,580936,306392,196973,54733,17335,4015,253,50893,15137,1135,253,293461,134943,153044,373055,171889,197172,311941,125452,183621,64851,159009,112052,57355,99326,38811,10291,5226
10,10,769221,251279,244082,232426,40282,13913,2297,779116,260373,244751,243364,39059,6865,1984,214220,31360,1182,398,19103,794976,256828,252293,252391,40591,8894,2194,605765,217040,184224,168631,31986,10879,1717,541310,214978,152365,143323,25948,3396,394,138255,22810,589,394,280370,181296,92984,335396,220525,110247,255162,156471,95702,68323,145108,93826,60874,115677,45395,12401,6342
11,11,769221,447500,168639,91751,44077,13648,1936,708830,432792,155735,80600,39842,5277,1796,65579,32909,1701,511,16434,752780,442117,169880,91788,41780,8886,1418,622027,384561,123284,66937,32919,10602,1408,599670,394315,107650,66270,26195,3667,431,62858,23381,550,431,336387,141755,188683,423819,189517,230117,381420,153178,225123,47514,141016,110254,61423,127157,53552,12030,6550
