ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,745671,426065,42659,251298,11397,17872,1423,748509,426184,44599,256126,11191,14535,1876,596783,356476,27614,192997,7888,13381,1003,584947,359304,19295,190735,6184,8937,370,185109,4494,3207,370,398155,186555,204892,413926,190436,218891,390793,179435,204625,66241,168086,123303,55539,79253,33220,6173,3910
2,2,745670,400547,96435,188408,52943,14818,1220,743129,411454,87243,198000,45244,10586,897,584067,332722,64157,140209,40031,10815,824,553566,339754,40341,140023,26936,4492,136,132965,23545,1007,136,390782,254289,126698,411630,274360,129367,388449,262580,115786,35373,81541,82791,40321,165733,74797,16296,12756
3,3,745670,396511,92928,228142,17748,18697,2600,746190,403937,90963,230875,18234,11766,2456,576660,323933,60800,169543,12771,13433,1813,555817,329539,41033,166225,8765,9040,435,158730,6351,2084,435,326076,148641,170908,340722,153774,182097,318982,144189,168468,62206,140460,104364,54340,70534,27427,4991,4156
4,4,745671,395824,85915,162837,91532,14955,1034,742958,404730,75801,167959,88404,9937,1437,574606,320577,56330,124857,64835,10683,736,537125,332539,33236,122062,42974,4727,361,115801,39338,1097,361,396893,281375,106823,420149,303334,109939,408101,298053,101296,33438,67665,65186,37055,154185,92455,21878,26967
5,5,745671,507354,59024,146858,20317,16024,925,747241,519665,54884,146047,20308,9795,1514,596194,421313,38431,111648,14529,12141,654,577174,428767,25777,106146,10284,5084,236,100709,8997,879,236,384842,163417,212810,400898,167125,228735,379550,162786,208692,70977,148605,109036,51798,83916,35934,6469,6619
6,6,745671,466399,80826,153914,31495,18475,1005,745437,478727,75809,156363,30408,11608,980,578293,382738,51069,111667,21727,13484,634,559357,387639,32146,117447,15870,5535,265,110839,14162,717,265,361402,148273,204594,381619,157036,218933,361139,154319,198186,58145,143295,109486,51073,98260,36491,7505,5788
7,7,745671,478702,61609,160874,15766,34276,2172,751035,493020,60183,160892,14890,28732,1301,593673,400999,39354,119140,11043,24895,1379,596699,425492,29260,115202,7835,17977,400,109009,5928,11711,400,389123,170926,209262,415809,182076,227833,404164,181984,212842,46523,138337,118303,58147,106248,43067,10477,5930
8,8,745671,453271,69986,137312,31786,57697,1013,751112,464144,65105,143244,31045,52100,736,563332,358376,44048,99678,21043,41818,685,549671,364787,30102,101717,16336,36280,293,95807,14837,31037,293,372257,148845,215214,397224,160781,231187,378097,156828,213098,56073,130202,99294,49136,111894,42880,9077,4832
9,9,745671,437637,94277,177432,20803,25877,2651,750456,448418,91581,180637,20892,18956,2851,577673,359252,60786,129182,14884,18440,1736,561334,366084,42125,129016,11404,10801,782,121733,8947,4501,782,350917,149080,194283,372135,157604,209219,353158,153606,192054,54390,138847,117810,56209,91085,34382,6364,5143
