ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,786630,547539,29652,157029,37437,13748,1161,785232,560735,27752,156656,34559,6881,709,606393,438128,18777,111484,26521,10111,754,587998,446564,14982,102582,15636,7717,293,94837,13265,506,293,344730,160422,176878,405878,200126,199450,344236,163485,177504,397244,191603,201912,40247,131587,91518,42771,128733,63558,14765,10897
2,2,786629,718703,11994,25109,8536,18488,709,785441,728707,11871,24405,9719,8283,486,616067,567707,7760,17464,6062,13906,449,610783,575286,7435,16012,5126,5808,180,12028,3322,543,180,315752,102042,206929,378358,111600,261545,316401,93195,220819,376022,107317,265831,59733,215720,101036,50453,70509,34689,5887,4379
3,3,786630,433335,49377,241098,53032,14451,1234,785457,434586,44889,249756,51858,9627,1721,615714,366086,32826,167620,40244,10657,899,566459,355288,21265,157476,27052,4100,247,146648,22556,341,247,332761,224326,101721,381894,271664,104532,311552,215135,94211,358346,249431,105242,42082,116273,96812,35467,139977,62939,17231,10499
4,4,786630,675247,21547,55694,14579,15945,1599,787447,686394,21178,56825,13893,8364,1209,601807,528111,13238,36465,9650,11368,935,599839,538360,13141,33927,7317,6485,254,26802,5176,693,254,327315,96733,223149,393787,114210,273297,335895,94916,238683,396335,111941,280927,43944,208593,108114,52449,77825,34779,5432,3816
5,5,786630,648723,58729,52474,11887,16019,834,785927,655733,60147,51566,12497,8528,759,617589,523448,37924,35061,8374,11775,586,611367,527196,39329,33848,5603,4339,181,26416,4099,550,181,321010,129313,183258,388919,150175,232535,328584,124620,201470,387528,145964,238010,44457,199013,112193,53908,80172,36796,5992,4856
6,6,786630,675162,25658,61524,6156,16010,721,785934,688116,24286,61434,6428,6834,980,619332,542227,16201,42319,4207,11628,478,607911,544975,15143,39363,3308,4003,108,33354,2039,510,108,320361,122316,190520,382138,131306,245482,316544,105334,209134,365518,118027,244557,59359,231934,101744,51566,69641,30027,4490,3070
7,7,786630,678794,28927,32769,29809,12405,785,782979,677773,30234,37707,30922,5498,803,627367,552216,19008,22404,21247,9068,540,605504,541520,20278,23479,16281,2809,172,19486,13073,413,172,363000,159715,195023,436786,194811,236653,370025,162481,204789,426048,187691,234785,32992,162634,107144,48443,128460,58584,13916,6974
8,8,786630,577386,37566,119943,34920,15616,1515,784535,584202,31340,126421,34108,6668,1664,606853,463289,23195,82341,25199,11343,987,578587,457460,15006,81428,17086,6560,249,73503,14158,706,249,352519,138516,206504,414210,173573,234543,348688,141314,204297,402587,167929,230834,38343,167044,100123,43728,113889,49247,9119,8399
9,9,786630,591847,54865,111971,13949,16087,720,784899,598823,56061,111583,13910,8519,961,611413,478591,34739,75784,10059,11721,466,597628,478326,34508,72328,7373,3877,236,65962,5597,403,236,333769,156655,168773,392775,179884,206332,325840,143272,179752,381139,168624,208947,44309,179103,116915,57439,90952,38933,8358,5187
