ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,767871,674765,37332,24950,9239,19531,1017,769571,692606,32842,25769,9066,8006,1311,616550,552337,23185,16903,6671,15172,685,614561,570132,15671,17074,5117,5716,108,13177,3671,559,108,277288,62302,210212,336345,74137,256562,348338,71642,273125,66850,201174,114998,44776,78646,31053,8716,6147
2,2,767871,630609,41552,55736,18435,20070,1023,771780,653769,35649,56347,17527,7982,1094,609512,513810,26464,38406,13658,15347,677,610078,538356,17564,38104,9598,5092,452,32786,7332,406,452,295090,102150,187017,356247,122696,226782,366777,118776,242955,52651,157466,103029,45795,106991,45997,12269,9208
3,3,767871,595695,45941,88022,15686,22484,1073,770490,609623,41169,91307,14511,9856,1155,606482,484588,28990,63327,11428,17246,676,604647,506018,19393,64366,8320,6312,106,57971,6832,480,106,293167,98961,188765,349413,116138,226942,363211,114326,244099,59298,164288,121894,48736,94040,39950,9352,7339
4,4,767871,492688,100984,127933,31036,18886,1248,765738,514009,80370,135443,28586,7838,1669,586518,395002,65271,91453,21913,14413,839,552488,407877,30308,92119,15412,4883,441,85536,12833,616,441,253710,107089,139838,307714,126568,173814,304636,113664,186548,59043,159657,102898,38506,98753,35956,6590,6132
5,5,767871,470378,43125,224855,14541,15695,1596,769319,478065,39281,232368,13551,8555,1271,586652,373255,27649,163517,10221,11784,1034,577251,384710,19063,159428,7324,5505,350,153643,5653,863,350,268154,117159,144965,322522,138194,178897,314025,118678,191152,59499,175757,104464,38401,90227,35706,8111,5763
6,6,767871,590253,50988,89498,19138,18092,1002,769721,600146,44443,95502,18355,8632,1499,614497,485740,33671,65220,14919,14132,722,606822,501863,21155,66869,9600,6083,293,62437,7347,424,293,290775,117131,166615,352804,137136,208115,362098,130633,226645,60317,166030,102564,35799,112463,43824,10877,8247
7,7,767871,556416,53522,119509,20919,18449,2094,773870,574524,46892,123055,19897,9885,2487,593732,444772,34363,85320,14800,13844,1270,590267,459260,26873,85979,11050,5816,394,79986,8247,668,394,284294,115202,162197,349798,139424,202866,361613,137698,218702,46044,152878,108087,42651,113770,47422,12875,10437
8,8,767871,460793,53788,214948,25245,14170,1024,763080,464232,46249,222392,23180,6302,782,590123,370795,33646,156789,18249,10716,724,556309,358448,18014,160657,12198,6213,460,155743,10636,714,460,296029,118574,172000,349577,144866,199444,321368,126046,190779,47888,150233,105810,36883,104209,48587,12547,7952
9,9,767872,428649,51955,250663,24444,14059,931,770203,437990,45727,254694,23831,9086,897,580407,337997,32478,183802,16531,10407,618,563158,349263,17664,179801,9915,5837,295,174400,8083,631,295,272310,121432,145709,328569,144552,179053,321876,124802,192860,58561,170916,105562,35639,90302,39889,8151,5172
