Pollster,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat
The Washington Post,A+@@1,-1.093884958,D+0.90@@.9,98,D+
Marquette University Law School,A/B@@4,-0.998362165,D+0.32@@.32,17,D+
Research & Polling Inc.,A+@@1,-0.97598483,R+0.55@@-.55,44,R+
OnMessage Inc.,A@@2,-0.865769562,R+1.23@@-1.23,32,R+
TIPP Insights,A@@2,-0.853989561,R+0.07@@-.07,51,R+
Data Orbital,A/B@@4,-0.833098019,D+0.08@@.08,18,D+
Cygnal,A@@2,-0.80931213,D+2.04@@2.04,58,D+
The New York Times/Siena College,A@@2,-0.800239686,D+1.41@@1.41,116,D+
Monmouth University,A@@2,-0.776297715,D+2.00@@2,131,D+
SurveyUSA,A@@2,-0.658558756,D+0.09@@.09,871,D+
CBS News/The New York Times,A@@2,-0.655412109,D+0.27@@.27,66,D+
AtlasIntel,A@@2,-0.644135312,R+0.04@@-.04,93,R+
Public Opinion Strategies,A@@2,-0.643337701,R+1.28@@-1.28,80,R+
Emerson College,A@@2,-0.612226501,D+0.61@@.61,320,D+
Siena College,A@@2,-0.605810558,D+0.12@@.12,67,D+
Muhlenberg College,A-@@3,-0.584022302,R+0.11@@-.11,36,R+
Echelon Insights,A-@@3,-0.547454015,R+0.19@@-.19,19,R+
University of North Florida,A/B@@4,-0.54461168,D+1.58@@1.58,14,D+
Hart Research Associates/Public Opinion Strategies,A-@@3,-0.534200471,D+0.85@@.85,37,D+
Beacon Research/Shaw & Co. Research,A-@@3,-0.53318269,D+1.34@@1.34,63,D+
Public Policy Institute of California,A/B@@4,-0.525776378,R+1.00@@-1,18,R+
Grove Insight,A/B@@4,-0.519711896,D+0.47@@.47,29,D+
MassINC Polling Group,A/B@@4,-0.498102948,R+0.55@@-.55,22,R+
Suffolk University,A-@@3,-0.494064001,D+0.71@@.71,112,D+
Susquehanna Polling & Research Inc.,A-@@3,-0.449936147,D+0.43@@.43,56,D+
Mason-Dixon Polling & Strategy,A-@@3,-0.440340086,R+0.50@@-.5,446,R+
Greenberg Quinlan Rosner,A-@@3,-0.439796306,D+2.18@@2.18,62,D+
Landmark Communications,A-@@3,-0.410580545,D+0.83@@.83,41,D+
Marist College,A-@@3,-0.406602012,D+0.52@@.52,213,D+
Angus Reid Global,A/B@@4,-0.397716493,R+0.98@@-.98,32,R+
National Journal,A/B@@4,-0.386950083,R+0.11@@-.11,12,R+
The Winston Group,A/B@@4,-0.383707136,D+1.03@@1.03,11,D+
Los Angeles Times,A/B@@4,-0.38218286,R+0.14@@-.14,37,R+
Stockton University,A/B@@4,-0.37909338,D+0.84@@.84,12,D+
Greenberg Quinlan Rosner/American Viewpoint,A/B@@4,-0.377249004,R+0.52@@-.52,8,R+
University of Massachusetts Lowell,A-@@3,-0.376450737,D+1.29@@1.29,38,D+
University of Connecticut,A/B@@4,-0.33901274,R+0.13@@-.13,11,R+
Concord Public Opinion Partners,A/B@@4,-0.336726512,R+0.02@@-.02,4,R+
Elway Research,A/B@@4,-0.328858723,D+0.63@@.63,21,D+
Christopher Newport University,A/B@@4,-0.326305454,D+0.81@@.81,16,D+
Tarrance Group,A/B@@4,-0.321089327,R+0.87@@-.87,32,R+
Fairleigh Dickinson University,A/B@@4,-0.318690319,D+0.02@@.02,22,D+
Field Research Corp. (Field Poll),A/B@@4,-0.316402689,R+0.55@@-.55,25,R+
Garin-Hart-Yang Research Group,A-@@3,-0.29761751,D+1.73@@1.73,33,D+
Western New England University,A/B@@4,-0.286277879,R+0.32@@-.32,11,R+
OH Predictive Insights,B+@@5,-0.285928376,D+0.55@@.55,22,D+
Opinion Dynamics,A/B@@4,-0.268342644,R+0.25@@-.25,34,R+
Princeton Survey Research Associates International,A/B@@4,-0.265092522,D+0.38@@.38,35,D+
Alaska Survey Research,A/B@@4,-0.263778398,D+1.77@@1.77,16,D+
Lake Research Partners/The Tarrance Group,A/B@@4,-0.263399591,R+0.60@@-.6,33,R+
Elon University,A/B@@4,-0.255793167,D+0.36@@.36,8,D+
National Research,A/B@@4,-0.245388208,R+0.35@@-.35,15,R+
Abt Associates,A/B@@4,-0.234923395,D+0.67@@.67,13,D+
Pharos Research Group,F@@16,-0.232699903,D+0.68@@.68,33,D+
University of California Berkeley,A/B@@4,-0.227963294,D+0.32@@.32,8,D+
Strategic Vision LLC,F@@16,-0.218589812,R+1.41@@-1.41,133,R+
GfK Group,A/B@@4,-0.21582339,D+0.19@@.19,21,D+
Quinnipiac University,B+@@5,-0.211843544,D+0.59@@.59,229,D+
Dittman Research,A/B@@4,-0.203498046,D+0.81@@.81,10,D+
Temple University,A/B@@4,-0.201141447,R+0.17@@-.17,6,R+
Michigan State University,A/B@@4,-0.188379522,R+0.04@@-.04,2,R+
Selzer,B+@@5,-0.18349545,D+1.27@@1.27,59,D+
Franklin & Marshall College,A/B@@4,-0.183290975,D+0.56@@.56,25,D+
KRC Research,A/B@@4,-0.17870694,D+0.07@@.07,22,D+
"Fabrizio, Lee & Associates",A/B@@4,-0.171271978,R+0.30@@-.3,11,R+
Florida Atlantic University/Mainstreet Research,B+@@5,-0.161201152,D+1.36@@1.36,25,D+
RKM Research and Communications Inc.,A/B@@4,-0.160571084,R+0.11@@-.11,35,R+
North Star Opinion Research,A/B@@4,-0.137982462,R+0.63@@-.63,13,R+
Gallup,B+@@5,-0.127171183,R+0.57@@-.57,84,R+
Saint Anselm College,A/B@@4,-0.109702797,R+0.28@@-.28,14,R+
Public Religion Research Institute,A/B@@4,-0.10913949,D+0.01@@.01,1,D+
Vox Populi Polling,A/B@@4,-0.106744982,D+0.33@@.33,19,D+
Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),A/B@@4,-0.100986911,±0.00@@0,2,±
KAConsulting,A/B@@4,-0.10086414,R+1.67@@-1.67,12,R+
Wirthlin Worldwide,A/B@@4,-0.099488852,R+0.13@@-.13,4,R+
University of Arkansas,A/B@@4,-0.094377048,D+0.90@@.9,10,D+
Glengariff Group,A/B@@4,-0.093957976,D+0.84@@.84,16,D+
Belden Russonello,A/B@@4,-0.083268901,D+0.04@@.04,3,D+
Indiana University,A/B@@4,-0.082500909,D+0.02@@.02,2,D+
Knowledge Networks,A/B@@4,-0.079682033,D+0.25@@.25,4,D+
Louis Harris & Associates,A/B@@4,-0.064741504,D+0.01@@.01,2,D+
RAND (American Life Panel),A/B@@4,-0.059736843,D+0.13@@.13,4,D+
EPIC-MRA,B+@@5,-0.053924547,D+0.22@@.22,58,D+
Lake Research Partners,A/B@@4,-0.048161038,D+0.65@@.65,12,D+
University of Florida,A/B@@4,-0.043115784,D+0.03@@.03,1,D+
InsiderAdvantage,B+@@5,-0.040578664,D+0.32@@.32,208,D+
Ohio State University,A/B@@4,-0.03916242,R+0.04@@-.04,1,R+
Gordon S. Black Corp.,A/B@@4,-0.039073258,R+0.11@@-.11,2,R+
Rasmussen Reports,B+@@5,-0.027597543,R+1.35@@-1.35,797,R+
Pew Research Center,A/B@@4,-0.024272961,D+0.63@@.63,25,D+
Public Policy Polling,B+@@5,-0.012879914,D+0.88@@.88,468,D+
Pan Atlantic Research,A/B@@4,-0.007674563,D+0.61@@.61,17,D+
Polling Company/Global Strategy Group,A/B@@4,-0.002107718,R+0.16@@-.16,4,R+
GQR Research/Public Opinion Strategies,A/B@@4,-0.001111149,D+0.10@@.1,1,D+
Harvard University,B/C@@8,0.000789725,D+0.08@@.08,1,D+
Fleming & Associates,B/C@@8,0.010084469,R+0.48@@-.48,18,R+
RRH Elections,B/C@@8,0.0109236,R+0.26@@-.26,15,R+
WPA Intelligence,B/C@@8,0.017962924,R+0.80@@-.8,20,R+
Leger,B/C@@8,0.024747139,D+0.25@@.25,13,D+
Florida Atlantic University,B/C@@8,0.030092559,D+0.51@@.51,9,D+
University of Cincinnati (Ohio Poll),B/C@@8,0.047370641,R+1.09@@-1.09,39,R+
SEA Polling & Strategic Design,B/C@@8,0.05496173,D+0.45@@.45,14,D+
Harper Polling,B/C@@8,0.055531173,D+0.39@@.39,14,D+
Research Co.,B@@6,0.062708374,D+1.43@@1.43,85,D+
East Carolina University,B/C@@8,0.071553576,D+1.32@@1.32,18,D+
Harstad Strategic Research,B/C@@8,0.073412505,D+0.49@@.49,11,D+
Blueprint Polling,B/C@@8,0.076826917,R+0.52@@-.52,8,R+
New England College Polling Center,B/C@@8,0.077732368,R+1.03@@-1.03,19,R+
Praecones Analytica,B/C@@8,0.077756556,R+0.11@@-.11,5,R+
Ciruli Associates,B/C@@8,0.082152138,R+0.53@@-.53,20,R+
Clemson University,B/C@@8,0.083377544,D+0.02@@.02,8,D+
J.L. Partners,B/C@@8,0.084877613,D+0.39@@.39,10,D+
Mellman Group,B/C@@8,0.092851716,D+1.69@@1.69,28,D+
St. Norbert College,B/C@@8,0.097996065,R+0.01@@-.01,12,R+
Strategies 360,B/C@@8,.1014660616533597,D+1.15@@1.15,9,D+
Blum & Weprin Associates,B/C@@8,.1070339017687461,R+0.55@@-.55,19,R+
Lee Business School (University of Nevada Las Vegas),B/C@@8,.1076475079717744,D+0.14@@.14,5,D+
YouGov,B@@6,.1085463038680609,D+1.08@@1.08,521,D+
Ward Research,B/C@@8,.1175893765517282,R+0.33@@-.33,15,R+
Landmark Communications/Rosetta Stone Communications,B/C@@8,.1195130738793987,D+1.05@@1.05,11,D+
Middle Tennessee State University,B/C@@8,.1371755995671262,D+0.43@@.43,5,D+
Civiqs,B@@6,.1403646767658202,D+2.83@@2.83,43,D+
Research 2000,F@@16,.1444901251845647,D+1.19@@1.19,278,D+
University of Georgia,B/C@@8,.1461004298607777,D+0.05@@.05,7,D+
Clarity Campaign Labs,B/C@@8,.1629707327536213,D+1.23@@1.23,16,D+
Yankelovich Partners Inc.,B/C@@8,.1655988641117485,R+0.03@@-.03,7,R+
Trafalgar Group,B@@6,.1751368805157257,R+1.88@@-1.88,143,R+
Wick,B/C@@8,.1797524267261111,R+1.19@@-1.19,16,R+
Redfield & Wilton Strategies,B@@6,.1895721619643527,D+2.28@@2.28,45,D+
Ipsos,B@@6,0.191149459,D+1.89@@1.89,116,D+
RMG Research,B@@6,.1936110888821709,D+3.25@@3.25,28,D+
Keating Research,B/C@@8,.1951397953029278,D+0.17@@.17,6,D+
Starboard Communications,B/C@@8,0.218866665,D+0.29@@.29,4,D+
co/efficient,B@@6,.2191205993673378,R+2.69@@-2.69,24,R+
GBAO,B/C@@8,.2399983824632784,D+1.36@@1.36,14,D+
Big Village,B@@6,.2403419598071089,D+0.22@@.22,107,D+
Strategic National,B/C@@8,.2412792345269529,D+0.34@@.34,4,D+
Pasquines,B/C@@8,.2531717767323707,D+0.06@@.06,4,D+
Ragnar Research Partners,B/C@@8,.2574739436819722,D+0.24@@.24,3,D+
RBI Strategies & Research,B/C@@8,.2652443218630188,D+0.28@@.28,4,D+
Impact Research,B/C@@8,.2658934386033994,D+1.32@@1.32,22,D+
Patriot Polling,B@@6,.2737277558605181,R+0.40@@-.4,22,R+
