district,total,urban,rural,urban_pct,rural_pct
AL-01,717754,490405,227349,68.32494141446792,31.67505858553209
AL-02,717755,404336,313419,56.33342853759291,43.66657146240709
AL-03,717754,350943,366811,48.894607344577665,51.105392655422335
AL-04,717754,238623,479131,33.245791733658045,66.75420826634195
AL-05,717754,461471,256283,64.29375524204671,35.70624475795328
AL-06,717754,495361,222393,69.01542868447964,30.98457131552036
AL-07,717754,459741,258013,64.05272558564633,35.947274414353664
CA-01,765487,551961,213526,72.10586201986447,27.89413798013552
CA-02,765001,530779,234222,69.38278512054232,30.61721487945767
CA-03,763291,641670,121621,84.06623424093826,15.933765759061746
CA-04,758116,644148,113968,84.966944372629,15.03305562737101
CA-05,770847,547547,223300,71.03186494855659,28.96813505144341
CA-06,757442,756867,575,99.92408659672952,0.07591340327048143
CA-07,758734,658481,100253,86.7868053889769,13.213194611023098
CA-08,764945,736352,28593,96.26208420213219,3.7379157978678204
CA-09,762401,738596,23805,96.87762739031035,3.1223726096896516
CA-10,759118,748894,10224,98.65317381487463,1.3468261851253691
CA-11,759192,759192,0,100.0,0.0
CA-12,758548,758470,78,99.98971719653865,0.010282803461349842
CA-13,758808,673674,85134,88.78056109055254,11.21943890944745
CA-14,760582,753735,6847,99.09976833530112,0.9002316646988754
CA-15,759058,758892,166,99.97813078842461,0.021869211575400036
CA-16,758780,739731,19049,97.48952265478795,2.510477345212051
CA-17,758885,756816,2069,99.72736317096793,0.2726368290320668
CA-18,770826,708248,62578,91.88169573937569,8.118304260624317
CA-19,758545,655258,103287,86.38353690288645,13.616463097113554
CA-20,762909,616910,145999,80.8628552029141,19.13714479708589
CA-21,756411,707523,48888,93.5368470315741,6.463152968425895
CA-22,778145,665670,112475,85.5457530408857,14.454246959114304
CA-23,769312,613523,155789,79.74956844557215,20.250431554427852
CA-24,764734,712842,51892,93.21437257922362,6.7856274207763745
CA-25,763761,685714,78047,89.78122737348464,10.218772626515364
CA-26,758413,722425,35988,95.25482817409512,4.745171825904883
CA-27,760129,729250,30879,95.93766321242842,4.062336787571583
CA-28,758019,753662,4357,99.42521229678938,0.5747877032106055
CA-29,757430,757183,247,99.96738972578324,0.03261027421675931
CA-30,758223,743250,14973,98.02525114643053,1.9747488535694646
CA-31,758733,757533,1200,99.84184159645093,0.15815840354907457
CA-32,758634,746439,12195,98.39250547694935,1.607494523050641
CA-33,757177,752418,4759,99.37148117283013,0.6285188271698691
CA-34,757694,757694,0,100.0,0.0
CA-35,765081,761047,4034,99.47273556656093,0.5272644334390738
CA-36,758224,758200,24,99.99683470847665,0.0031652915233493003
CA-37,755317,755317,0,100.0,0.0
CA-38,757523,755868,1655,99.78152478538605,0.21847521461394573
CA-39,756504,745625,10879,98.56193754428266,1.4380624557173525
CA-40,758355,725808,32547,95.70821053464407,4.291789465355935
CA-41,757743,757318,425,99.94391238190256,0.056087618097428814
CA-42,757992,757458,534,99.92955070765919,0.07044929234081626
CA-43,754875,754875,0,100.0,0.0
CA-44,757709,757709,0,100.0,0.0
CA-45,758321,758321,0,100.0,0.0
CA-46,757683,757683,0,100.0,0.0
CA-47,759243,756741,2502,99.67046123573085,0.329538764269147
CA-48,758048,693208,64840,91.44645193971886,8.553548060281143
CA-49,758652,727276,31376,95.86424342122606,4.135756578773931
CA-50,759364,731139,28225,96.28307373012153,3.7169262698784773
CA-51,758012,732022,25990,96.57129438584086,3.428705614159143
CA-52,761247,732528,28719,96.22737429507112,3.7726257049288865
FL-01,769221,659984,109237,85.79900964742252,14.200990352577477
FL-02,769221,444131,325090,57.73776326959352,42.26223673040648
FL-03,769221,415824,353397,54.05780653414298,45.94219346585702
FL-04,769221,674237,94984,87.65192317942437,12.34807682057562
FL-05,769221,740335,28886,96.24477230860832,3.7552276913916804
FL-06,769221,581201,188020,75.55708957503761,24.442910424962395
FL-07,769221,729903,39318,94.88859508515758,5.111404914842418
FL-08,769220,726161,43059,94.40225163152284,5.597748368477159
FL-09,769221,680215,89006,88.42907304922772,11.570926950772273
FL-10,769221,768227,994,99.87077835888516,0.12922164111484216
FL-11,769221,698050,71171,90.7476524951867,9.252347504813311
FL-12,769221,745681,23540,96.93976113496642,3.060238865033586
FL-13,769221,767376,1845,99.76014695386631,0.2398530461336859
FL-14,769221,729422,39799,94.8260642910165,5.173935708983504
FL-15,769221,660829,108392,85.90886104253525,14.09113895746476
FL-16,769221,703496,65725,91.45564148664688,8.54435851335312
FL-17,769221,741771,27450,96.43145467947443,3.568545320525571
FL-18,769221,700336,68885,91.04483626942063,8.955163730579379
FL-19,769221,752838,16383,97.87018295132349,2.129817048676518
FL-20,769221,769221,0,100.0,0.0
FL-21,769221,743129,26092,96.6079969215609,3.392003078439096
FL-22,769221,701377,67844,91.18016798813345,8.81983201186655
FL-23,769221,769186,35,99.99544994221426,0.004550057785733879
FL-24,769221,769221,0,100.0,0.0
FL-25,769221,769221,0,100.0,0.0
FL-26,769221,767493,1728,99.77535714703578,0.22464285296423264
FL-27,769221,769107,114,99.98517981178361,0.014820188216390348
FL-28,769221,736834,32387,95.78963652838391,4.210363471616089
LA-01,776249,657970,118279,84.76275009694054,15.237249903059457
LA-02,776248,739541,36707,95.27122775195555,4.728772248044439
LA-03,776355,541357,234998,69.73060004765861,30.26939995234139
LA-04,776337,434535,341802,55.97247071825766,44.02752928174233
LA-05,776285,338900,437385,43.65664672124284,56.34335327875716
LA-06,776283,619934,156349,79.85927812408619,20.14072187591381
MO-01,769364,766606,2758,99.64152208837429,0.35847791162570647
MO-02,769364,597358,172006,77.64309221642812,22.356907783571884
MO-03,769364,572464,196900,74.40743263266802,25.592567367331974
MO-04,769364,491095,278269,63.8312944198065,36.16870558019351
MO-05,769364,515849,253515,67.0487571552607,32.95124284473929
MO-06,769364,505048,264316,65.64487030846257,34.35512969153743
MO-07,769365,480882,288483,62.50375309508491,37.49624690491509
MO-08,769364,346361,423003,45.01913268621875,54.98086731378125
NC-01,745671,326953,418718,43.846817161992355,56.153182838007645
NC-02,745670,727951,17719,97.62374777046146,2.3762522295385358
NC-03,745670,384570,361100,51.57375246422681,48.4262475357732
NC-04,745671,653327,92344,87.61598613865901,12.384013861340994
NC-05,745671,396478,349193,53.17063423413275,46.82936576586725
NC-06,745671,552444,193227,74.0868291780155,25.913170821984494
NC-07,745671,485903,259768,65.16318859121516,34.83681140878484
NC-08,745671,466745,278926,62.59395899800314,37.40604100199686
NC-09,745671,470253,275418,63.06440776159995,36.93559223840005
NC-10,745670,510700,234970,68.48874166856652,31.511258331433478
NC-11,745670,367573,378097,49.29432590824359,50.7056740917564
NC-12,745670,745069,601,99.91940134375797,0.08059865624203735
NC-13,745670,337881,407789,45.312403610176084,54.68759638982391
NC-14,745671,538880,206791,72.26779638741483,27.732203612585177
OH-01,786630,699078,87552,88.86998970290988,11.130010297090118
OH-02,786629,343233,443396,43.633402785811356,56.366597214188644
OH-03,786630,784379,2251,99.71384259435821,0.2861574056417884
OH-04,786630,450671,335959,57.29135680052884,42.70864319947116
OH-05,786630,545002,241628,69.28314455334782,30.716855446652175
OH-06,786630,450566,336064,57.278008720745454,42.72199127925454
OH-07,786630,659934,126696,83.89382555966591,16.106174440334083
OH-08,786630,674570,112060,85.75442075689969,14.245579243100314
OH-09,786630,568328,218302,72.24845225836798,27.751547741632027
OH-10,786629,712976,73653,90.63688218969807,9.363117810301933
OH-11,786630,783646,2984,99.62066028501329,0.3793397149867155
OH-12,786630,430289,356341,54.70030382772079,45.29969617227922
OH-13,786630,757286,29344,96.26965663653814,3.730343363461856
OH-14,786630,516925,269705,65.71386801927208,34.286131980727916
OH-15,786630,624216,162414,79.35319019106822,20.64680980893177
TN-01,767871,422010,345861,54.95845005215719,45.0415499478428
TN-02,767871,575326,192545,74.92482461246746,25.07517538753254
TN-03,767871,511320,256551,66.58930992315115,33.41069007684885
TN-04,767871,542068,225803,70.5936283568464,29.4063716431536
TN-05,767871,483046,284825,62.907181023895944,37.092818976104056
TN-06,767871,480152,287719,62.53029480212171,37.46970519787829
TN-07,767871,512854,255017,66.78908306212892,33.210916937871076
TN-08,767871,555171,212700,72.30003477146552,27.699965228534477
TN-09,767872,495335,272537,64.50749604100685,35.49250395899317
TX-01,766987,426993,339994,55.67147813457073,44.32852186542927
TX-02,766987,716268,50719,93.38724124398458,6.612758756015421
TX-03,766987,612868,154119,79.90591757096274,20.094082429037257
TX-04,766987,612159,154828,79.81347793378507,20.186522066214945
TX-05,766987,548286,218701,71.48569662849566,28.51430337150434
TX-06,766987,622722,144265,81.1906851093956,18.809314890604405
TX-07,766987,766965,22,99.99713163326106,0.0028683667389408163
TX-08,766987,606646,160341,79.09469130506776,20.90530869493225
TX-09,766987,680916,86071,88.77803665511932,11.221963344880683
TX-10,766987,497477,269510,64.86120364491185,35.13879635508816
TX-11,766987,628064,138923,81.88717670573295,18.11282329426705
TX-12,766987,678430,88557,88.45391121361901,11.546088786380995
TX-13,766987,569829,197158,74.2944795674503,25.705520432549704
TX-14,766987,685152,81835,89.33032763267174,10.66967236732826
TX-15,766987,601548,165439,78.43001250347137,21.569987496528626
TX-16,766987,759167,7820,98.98042600461285,1.0195739953871448
TX-17,766987,552239,214748,72.0010899793608,27.9989100206392
