...1,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct,prev_lean,prev2_lean,generic_ballot_avg,pres_approval_avg,incumbent_pres,ics,pres_approval_avg_x_incpres,ics_x_incpres,cvap_white_pct,cvap_asn_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,no_dem_cand_flag,no_rep_cand_flag,dem_inc_any,rep_inc_any,dem_inc_dummy,rep_inc_dummy,pvi,dem_funds_2p_pct_sqrd,y_pred,y_act,fund_chances,abs_err,err,district_id
0,2018,Alabama,AL,FALSE,AL-01,89226,153228,242617,Robert Kennedy Jr,Bradley Byrne,False,True,39095.21,343761.59,242454,36.80120765176075,63.19879234823925,39095.21,343761.59,382856.8000000001,10.21144459233844,89.78855540766155,-16.192782711076255,-14.281876827705917,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,68.3,1.1,2.1,26.4,1.1,FALSE,FALSE,FALSE,TRUE,0,1,-15.71505624023367,104.27360066239797,33.87958888788655,36.80120765176075,0.04,2.9216187638742,-2.9216187638742,AL01
1,2018,Alabama,AL,FALSE,AL-02,86931,138879,226230,Tabitha Isner,Martha Roby,False,True,501490.57,799289.56,225810,38.49740932642487,61.50259067357513,501490.57,799289.56,1300780.13,38.553061999801606,61.4469380001984,-17.411483381113868,-15.28896238784015,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,65.3,0.6,1.9,30.5,0.4,FALSE,FALSE,FALSE,TRUE,0,1,-16.880853132795437,1486.3385895605466,33.230891208479974,38.49740932642487,0.03,5.266518117944898,-5.266518117944898,AL02
2,2018,Alabama,AL,FALSE,AL-03,83996,147770,231915,Mallory Hagan,Mike Rogers,False,True,409309.26,530372.0,231766,36.24172656903946,63.758273430960536,409309.26,530372,939681.26,43.55830827146644,56.44169172853357,-18.0019987970256,-14.821900687773612,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,70.7,0.8,1.8,25.3,0.3,FALSE,FALSE,FALSE,TRUE,0,1,-17.206974269712603,1897.3262194721015,32.58220378694895,36.24172656903946,0.025,3.659522782090505,-3.659522782090505,AL03
3,2018,Alabama,AL,FALSE,AL-04,46492,184255,230969,Lee Auman,Robert Aderholt,False,True,61160.87,468336.48,230747,20.148474303024525,79.85152569697547,61160.87,468336.48,529497.35,11.550741472077243,88.44925852792275,-33.27748299294585,-27.69835666841436,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,88.5,0.4,2.2,7,0.7,FALSE,FALSE,FALSE,TRUE,0,1,-31.882701411812977,133.41962855476515,18.716964531536547,20.148474303024525,0,1.4315097714879776,-1.4315097714879776,AL04
4,2018,Alabama,AL,FALSE,AL-05,101388,159063,260673,Peter Joffrion,Mo Brooks,False,True,553386.53,1216500.38,260451,38.927859750970434,61.07214024902957,553386.53,1216500.38,1769886.91,31.26677342339348,68.73322657660653,-18.48003060941506,-16.661365812996344,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,76.6,1.2,2.4,17.3,0.7,FALSE,FALSE,FALSE,TRUE,0,1,-18.02536441031038,977.6111203098249,31.951921987395917,38.927859750970434,0.025,6.9759377635745174,-6.9759377635745174,AL05
5,2018,Alabama,AL,FALSE,AL-06,85644,192542,278328,Danner Kline,Gary Palmer,False,True,277614.23,298279.01,278186,30.786596018491224,69.21340398150878,277614.23,298279.01,575893.24,48.20584975090175,51.79415024909826,-24.1691165200486,-27.0454321224302,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,80.7,1,1.8,15.1,0.2,FALSE,FALSE,FALSE,TRUE,0,1,-24.888195420644,2323.803950206514,25.91560558824535,30.786596018491224,0.01,4.870990430245875,-4.870990430245875,AL06
7,2018,Alaska,AK,FALSE,AK-00,131199,149779,282166,Alyse S Galvin,Don Young,False,True,1809591.38,670374.33,280978,46.69369132102869,53.306308678971305,1809591.38,670374.33,2479965.71,72.96840326070476,27.03159673929524,-9.498943641780947,-9.279152733570136,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,67,5.4,5.6,3.1,13.3,FALSE,FALSE,FALSE,TRUE,0,1,-9.443995914728244,5324.38787441683,43.51741935223364,46.69369132102869,2.23,3.1762719687950494,-3.1762719687950494,AK00
8,2018,Arizona,AZ,FALSE,AZ-01,143240,122784,266089,Tom O'Halleran,Wendy Rogers,True,False,1600056.89,1302250.0,266024,53.84476588578474,46.15523411421526,1600056.89,1302250,2902306.89,55.13052032895117,44.86947967104885,-1.6813650610988091,-3.247768926759925,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,55.1,1.4,18.3,2.2,21.3,FALSE,FALSE,TRUE,FALSE,1,0,-2.072966027514088,3039.374271740898,51.5643448231725,53.84476588578474,69.745,2.280421062612241,-2.280421062612241,AZ01
9,2018,Arizona,AZ,FALSE,AZ-02,161000,133083,294152,Ann Kirkpatrick,Lea Marquez Peterson,False,False,3023544.0,1105238.11,294083,54.74644913170772,45.25355086829229,3023544,1105238.11,4128782.11,73.23089277772519,26.7691072222748,1.485142610351737,-2.758962331095489,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,68.3,2.6,22.5,3.5,1,FALSE,FALSE,FALSE,FALSE,0,0,0.4241163749899304,5362.763657022683,51.41456477815631,54.74644913170772,68.035,3.331884353551409,-3.331884353551409,AZ02
10,2018,Arizona,AZ,FALSE,AZ-03,114650,64868,179518,Raul Grijalva,"Nicolas \""Nick\"" Pierson",True,False,421707.84,70267.0,179518,63.86546195924643,36.13453804075357,421707.84,70267,491974.84,85.71735904218191,14.282640957818083,14.63981814626603,10.48567440272921,-7.92178462627323,-10.073703722185003,-1,97.5,10.073703722185003,-97.5,36.1,1.8,52.1,5.2,3.5,FALSE,FALSE,TRUE,FALSE,1,0,13.601282210381823,7347.465641166325,65.74374670798555,63.86546195924643,99.94,1.8782847487391194,1.8782847487391194,AZ03
