"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US0101","Congressional District 1 (114th Congress), Alabama","691709","568","334603","434","83718","356","83084","396","634","229","110","70","524","227","250885","307","240694","856","10191","783","3769","423","6422","782","357106","521","81252","361","80382","445","870","304","238","152","632","279","275854","322","266883","657","8971","521","4101","363","4870","472",
"5001400US0102","Congressional District 2 (114th Congress), Alabama","685500","1565","334415","1044","82746","736","81858","799","888","203","162","91","726","195","251669","935","242441","1160","9228","747","2844","352","6384","683","351085","1170","77910","687","77068","690","842","205","187","92","655","177","273175","840","264142","1031","9033","566","3899","376","5134","499",
"5001400US0103","Congressional District 3 (114th Congress), Alabama","692659","1318","337938","1005","80338","612","79297","572","1041","263","163","112","878","242","257600","816","248760","900","8840","709","2491","438","6349","665","354721","920","76232","544","75250","551","982","198","216","87","766","198","278489","687","269204","744","9285","589","3482","390","5803","509",
"5001400US0104","Congressional District 4 (114th Congress), Alabama","683276","1687","334924","1291","81220","733","79978","765","1242","316","314","159","928","257","253704","932","241094","1020","12610","604","2643","454","9967","682","348352","1070","76592","702","75161","718","1431","331","295","145","1136","299","271760","788","261365","867","10395","566","2815","368","7580","528",
"5001400US0105","Congressional District 5 (114th Congress), Alabama","695876","36","341450","311","81046","260","79641","392","1405","332","547","203","858","253","260404","166","246417","663","13987","659","5212","534","8775","603","354426","310","77805","260","76503","441","1302","403","457","153","845","408","276621","153","262075","650","14546","612","6703","552","7843","588",
"5001400US0106","Congressional District 6 (114th Congress), Alabama","688346","2343","335098","1656","83250","1017","81455","1025","1795","362","468","171","1327","347","251848","1339","236462","1357","15386","690","4416","441","10970","703","353248","1668","80350","922","78419","986","1931","380","548","171","1383","314","272898","1216","259179","1390","13719","635","5181","388","8538","572",
"5001400US0107","Congressional District 7 (114th Congress), Alabama","680312","3195","317592","2018","78341","1227","77854","1218","487","159","96","75","391","149","239251","1667","230717","1596","8534","727","2086","388","6448","630","362720","2085","77118","1159","76700","1136","418","155","129","78","289","125","285602","1538","279118","1489","6484","475","1942","324","4542","392",
"5001400US0200","Congressional District (at Large) (114th Congress), Alaska","728300","*****","380119","398","96501","273","94416","561","2085","454","709","246","1376","369","283618","314","261046","969","22572","1008","12215","804","10357","831","348181","398","91589","287","89612","451","1977","379","777","172","1200","348","256592","267","231546","1097","25046","1095","14209","813","10837","754",
"5001400US0401","Congressional District 1 (114th Congress), Arizona","724361","3209","363785","1978","93033","1440","91602","1432","1431","274","361","173","1070","247","270752","1647","248137","1889","22615","1101","8097","549","14518","967","360576","2157","90316","1524","89190","1529","1126","267","258","116","868","250","270260","1554","248685","1771","21575","1008","9941","648","11634","921",
"5001400US0402","Congressional District 2 (114th Congress), Arizona","716939","3116","353797","2027","77006","1364","74719","1325","2287","388","375","133","1912","362","276791","1871","245743","2116","31048","1201","15314","898","15734","898","363142","2351","72121","1240","69090","1366","3031","490","825","245","2206","471","291021","1757","249403","1819","41618","1370","21881","842","19737","1169",
"5001400US0403","Congressional District 3 (114th Congress), Arizona","725399","4385","363949","3388","106146","1849","101889","1803","4257","623","667","218","3590","602","257803","2643","190325","2277","67478","1897","27253","1180","40225","1712","361450","3127","102453","1802","98410","1760","4043","549","656","194","3387","510","258997","2341","181983","2415","77014","1549","30932","1272","46082","1378",
"5001400US0404","Congressional District 4 (114th Congress), Arizona","724501","3477","366541","2325","78479","1463","77447","1484","1032","291","168","117","864","291","288062","1716","257957","1951","30105","1340","11045","812","19060","1114","357960","2425","74172","1451","72322","1453","1850","472","399","182","1451","419","283788","1738","254011","2101","29777","1285","13719","1011","16058","1031",
"5001400US0405","Congressional District 5 (114th Congress), Arizona","743690","3429","363922","2906","102639","1583","100710","1562","1929","384","463","181","1466","323","261283","2332","228328","2492","32955","1454","15655","957","17300","1297","379768","2562","98878","1903","96983","1849","1895","351","782","195","1113","279","280890","2123","245115","2520","35775","1376","18696","940","17079","1062",
