"GEO_ID","NAME","B05003B_001E","B05003B_001M","B05003B_002E","B05003B_002M","B05003B_003E","B05003B_003M","B05003B_004E","B05003B_004M","B05003B_005E","B05003B_005M","B05003B_006E","B05003B_006M","B05003B_007E","B05003B_007M","B05003B_008E","B05003B_008M","B05003B_009E","B05003B_009M","B05003B_010E","B05003B_010M","B05003B_011E","B05003B_011M","B05003B_012E","B05003B_012M","B05003B_013E","B05003B_013M","B05003B_014E","B05003B_014M","B05003B_015E","B05003B_015M","B05003B_016E","B05003B_016M","B05003B_017E","B05003B_017M","B05003B_018E","B05003B_018M","B05003B_019E","B05003B_019M","B05003B_020E","B05003B_020M","B05003B_021E","B05003B_021M","B05003B_022E","B05003B_022M","B05003B_023E","B05003B_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US0101","Congressional District 1 (114th Congress), Alabama","191509","978","89343","623","27246","497","27228","496","18","19","0","27","18","19","62097","308","61673","323","424","144","79","46","345","145","102166","524","27085","357","26999","352","86","88","0","27","86","88","75081","335","74578","355","503","162","287","122","216","97",
"5001400US0102","Congressional District 2 (114th Congress), Alabama","207107","1583","97859","1125","28634","633","28528","650","106","73","21","21","85","71","69225","944","68267","931","958","342","266","124","692","331","109248","983","27184","699","27105","704","79","69","24","26","55","63","82064","660","81448","676","616","215","276","130","340","163",
"5001400US0103","Congressional District 3 (114th Congress), Alabama","175475","1233","82723","745","22438","459","22391","458","47","62","34","59","13","19","60285","601","59489","586","796","254","377","168","419","169","92752","820","21355","538","21312","540","43","38","13","21","30","32","71397","511","70804","544","593","179","223","110","370","135",
"5001400US0104","Congressional District 4 (114th Congress), Alabama","47126","1020","22578","596","5999","370","5978","371","21","23","10","17","11","11","16579","478","16178","431","401","200","83","60","318","189","24548","678","5685","424","5660","426","25","33","0","27","25","33","18863","386","18627","399","236","105","106","71","130","76",
"5001400US0105","Congressional District 5 (114th Congress), Alabama","118796","961","56125","661","14733","558","14688","552","45","46","20","28","25","35","41392","279","39987","454","1405","385","767","272","638","255","62671","578","14679","411","14596","438","83","76","53","64","30","38","47992","355","46644","457","1348","263","604","173","744","189",
"5001400US0106","Congressional District 6 (114th Congress), Alabama","96977","1980","45928","1289","13631","756","13570","760","61","53","28","34","33","34","32297","1040","31520","1095","777","302","351","171","426","223","51049","1236","13056","700","12855","720","201","128","56","68","145","107","37993","876","37110","893","883","264","447","216","436","163",
"5001400US0107","Congressional District 7 (114th Congress), Alabama","432818","2730","196281","1685","57096","971","56946","972","150","87","78","68","72","57","139185","1315","138478","1308","707","180","267","122","440","134","236537","1582","56684","900","56619","888","65","52","34","34","31","40","179853","1149","178922","1140","931","261","357","140","574","178",
"5001400US0200","Congressional District (at Large) (114th Congress), Alaska","25148","720","13909","524","2825","363","2705","371","120","122","73","87","47","81","11084","342","9532","416","1552","267","826","221","726","191","11239","503","3583","348","3402","333","181","90","70","56","111","71","7656","322","6695","394","961","266","306","120","655","261",
"5001400US0401","Congressional District 1 (114th Congress), Arizona","17164","1154","9602","728","2049","478","1996","477","53","51","40","47","13","16","7553","460","7226","445","327","108","144","63","183","82","7562","681","2471","458","2343","438","128","114","17","25","111","112","5091","448","4503","453","588","234","315","165","273","139",
