"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B05003C_001E","Estimate!!Total"
"B05003C_001M","Margin of Error!!Total"
"B05003C_002E","Estimate!!Total!!Male"
"B05003C_002M","Margin of Error!!Total!!Male"
"B05003C_003E","Estimate!!Total!!Male!!Under 18 years"
"B05003C_003M","Margin of Error!!Total!!Male!!Under 18 years"
"B05003C_004E","Estimate!!Total!!Male!!Under 18 years!!Native"
"B05003C_004M","Margin of Error!!Total!!Male!!Under 18 years!!Native"
"B05003C_005E","Estimate!!Total!!Male!!Under 18 years!!Foreign born"
"B05003C_005M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born"
"B05003C_006E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen"
"B05003C_006M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen"
"B05003C_007E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen"
"B05003C_007M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen"
"B05003C_008E","Estimate!!Total!!Male!!18 years and over"
"B05003C_008M","Margin of Error!!Total!!Male!!18 years and over"
"B05003C_009E","Estimate!!Total!!Male!!18 years and over!!Native"
"B05003C_009M","Margin of Error!!Total!!Male!!18 years and over!!Native"
"B05003C_010E","Estimate!!Total!!Male!!18 years and over!!Foreign born"
"B05003C_010M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born"
"B05003C_011E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen"
"B05003C_011M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen"
"B05003C_012E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen"
"B05003C_012M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen"
"B05003C_013E","Estimate!!Total!!Female"
"B05003C_013M","Margin of Error!!Total!!Female"
"B05003C_014E","Estimate!!Total!!Female!!Under 18 years"
"B05003C_014M","Margin of Error!!Total!!Female!!Under 18 years"
"B05003C_015E","Estimate!!Total!!Female!!Under 18 years!!Native"
"B05003C_015M","Margin of Error!!Total!!Female!!Under 18 years!!Native"
"B05003C_016E","Estimate!!Total!!Female!!Under 18 years!!Foreign born"
"B05003C_016M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born"
"B05003C_017E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen"
"B05003C_017M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen"
"B05003C_018E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen"
"B05003C_018M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen"
"B05003C_019E","Estimate!!Total!!Female!!18 years and over"
"B05003C_019M","Margin of Error!!Total!!Female!!18 years and over"
"B05003C_020E","Estimate!!Total!!Female!!18 years and over!!Native"
"B05003C_020M","Margin of Error!!Total!!Female!!18 years and over!!Native"
"B05003C_021E","Estimate!!Total!!Female!!18 years and over!!Foreign born"
"B05003C_021M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born"
"B05003C_022E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen"
"B05003C_022M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen"
"B05003C_023E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"B05003C_023M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
