"GEO_ID","NAME","B05003C_001E","B05003C_001M","B05003C_002E","B05003C_002M","B05003C_003E","B05003C_003M","B05003C_004E","B05003C_004M","B05003C_005E","B05003C_005M","B05003C_006E","B05003C_006M","B05003C_007E","B05003C_007M","B05003C_008E","B05003C_008M","B05003C_009E","B05003C_009M","B05003C_010E","B05003C_010M","B05003C_011E","B05003C_011M","B05003C_012E","B05003C_012M","B05003C_013E","B05003C_013M","B05003C_014E","B05003C_014M","B05003C_015E","B05003C_015M","B05003C_016E","B05003C_016M","B05003C_017E","B05003C_017M","B05003C_018E","B05003C_018M","B05003C_019E","B05003C_019M","B05003C_020E","B05003C_020M","B05003C_021E","B05003C_021M","B05003C_022E","B05003C_022M","B05003C_023E","B05003C_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US0101","Congressional District 1 (114th Congress), Alabama","6688","625","3265","377","925","181","925","181","0","27","0","27","0","27","2340","274","2267","270","73","92","0","27","73","92","3423","388","692","136","692","136","0","27","0","27","0","27","2731","326","2655","300","76","115","19","29","57","86",
"5001400US0102","Congressional District 2 (114th Congress), Alabama","2953","400","1581","261","286","79","284","79","2","2","2","2","0","27","1295","237","1213","219","82","94","8","10","74","95","1372","214","265","105","265","105","0","27","0","27","0","27","1107","147","1053","137","54","51","15","18","39","48",
"5001400US0103","Congressional District 3 (114th Congress), Alabama","1998","292","983","208","164","103","164","103","0","27","0","27","0","27","819","190","788","188","31","54","4","7","27","54","1015","177","171","72","171","72","0","27","0","27","0","27","844","160","809","155","35","32","21","23","14","23",
"5001400US0104","Congressional District 4 (114th Congress), Alabama","5192","577","2377","365","728","174","684","164","44","63","0","27","44","63","1649","259","1554","253","95","103","5","6","90","102","2815","375","544","144","543","143","1","6","0","27","1","6","2271","320","2202","311","69","65","14","21","55","62",
"5001400US0105","Congressional District 5 (114th Congress), Alabama","5096","512","2539","311","576","144","562","141","14","23","14","23","0","27","1963","261","1794","229","169","160","8","13","161","160","2557","323","452","113","436","107","16","24","16","24","0","27","2105","283","1915","227","190","157","0","27","190","157",
"5001400US0106","Congressional District 6 (114th Congress), Alabama","2181","347","1159","234","265","140","265","140","0","27","0","27","0","27","894","172","838","180","56","67","0","27","56","67","1022","220","182","104","169","100","13","21","13","21","0","27","840","194","791","190","49","56","0","27","49","56",
"5001400US0107","Congressional District 7 (114th Congress), Alabama","1073","252","547","138","88","59","88","59","0","27","0","27","0","27","459","112","459","112","0","27","0","27","0","27","526","183","75","55","62","49","13","24","13","24","0","27","451","169","422","156","29","52","0","27","29","52",
"5001400US0200","Congressional District (at Large) (114th Congress), Alaska","102743","1424","51993","885","17092","520","17092","520","0","22","0","22","0","22","34901","587","34732","580","169","80","95","62","74","53","50750","797","15665","536","15665","536","0","22","0","22","0","22","35085","563","34970","559","115","50","93","48","22","22",
"5001400US0401","Congressional District 1 (114th Congress), Arizona","169646","2207","81863","1168","27281","708","27243","690","38","56","0","30","38","56","54582","736","54319","704","263","133","64","49","199","129","87783","1337","27432","741","27397","733","35","49","3","5","32","49","60351","809","60275","790","76","65","0","30","76","65",
"5001400US0402","Congressional District 2 (114th Congress), Arizona","9632","998","5076","558","1317","294","1247","290","70","84","25","42","45","65","3759","387","3483","384","276","121","157","90","119","79","4556","599","1118","285","1118","285","0","30","0","30","0","30","3438","451","3135","430","303","110","167","72","136","85",
"5001400US0403","Congressional District 3 (114th Congress), Arizona","30553","1902","15073","951","5120","529","5077","532","43","45","16","24","27","37","9953","623","9654","620","299","130","143","67","156","108","15480","1129","4926","461","4899","458","27","43","0","30","27","43","10554","786","10144","773","410","155","157","87","253","120",
"5001400US0404","Congressional District 4 (114th Congress), Arizona","14110","1709","6949","931","2008","653","2008","653","0","30","0","30","0","30","4941","466","4795","443","146","64","39","35","107","58","7161","970","2314","470","2293","472","21","36","0","30","21","36","4847","682","4564","683","283","132","179","95","104","70",
"5001400US0405","Congressional District 5 (114th Congress), Arizona","8596","1247","3703","615","1418","426","1412","426","6","12","0","30","6","12","2285","345","2083","344","202","147","132","117","70","54","4893","780","1533","371","1515","369","18","21","11","18","7","12","3360","507","3247","513","113","68","41","39","72","55",
"5001400US0406","Congressional District 6 (114th Congress), Arizona","10870","1109","5207","596","1549","326","1549","326","0","30","0","30","0","30","3658","465","3557","465","101","51","32","27","69","46","5663","655","1641","344","1641","344","0","30","0","30","0","30","4022","466","3921","460","101","65","40","37","61","54",
"5001400US0407","Congressional District 7 (114th Congress), Arizona","20467","1627","9625","907","3212","468","3203","467","9","15","0","30","9","15","6413","674","6083","645","330","155","144","80","186","95","10842","956","3299","503","3299","503","0","30","0","30","0","30","7543","675","7279","624","264","99","97","55","167","73",
"5001400US0408","Congressional District 8 (114th Congress), Arizona","7200","1116","3657","728","1202","388","1202","388","0","30","0","30","0","30","2455","456","2407","445","48","48","29","29","19","23","3543","510","850","229","836","225","14","20","0","30","14","20","2693","405","2534","377","159","120","76","57","83","75",
"5001400US0409","Congressional District 9 (114th Congress), Arizona","19706","1588","10003","979","2959","513","2954","514","5","10","5","10","0","30","7044","712","6758","702","286","145","109","77","177","117","9703","882","2757","447","2746","447","11","14","5","9","6","10","6946","635","6800","619","146","85","22","25","124","79",
"5001400US0501","Congressional District 1 (114th Congress), Arkansas","2562","319","1401","186","236","94","236","94","0","27","0","27","0","27","1165","159","1130","161","35","33","24","29","11","21","1161","245","234","104","234","104","0","27","0","27","0","27","927","210","877","196","50","46","29","36","21","29",
"5001400US0502","Congressional District 2 (114th Congress), Arkansas","2554","375","1318","239","212","122","212","122","0","27","0","27","0","27","1106","198","1079","190","27","30","0","27","27","30","1236","226","143","87","132","82","11","18","0","27","11","18","1093","187","1076","186","17","29","0","27","17","29",
"5001400US0503","Congressional District 3 (114th Congress), Arkansas","9106","727","4157","438","1244","239","1232","240","12","20","0","27","12","20","2913","357","2557","303","356","193","109","94","247","143","4949","407","1216","225","1175","224","41","49","27","43","14","22","3733","341","3478","290","255","150","46","44","209","136",
"5001400US0504","Congressional District 4 (114th Congress), Arkansas","4115","450","2133","304","454","162","443","158","11","19","11","19","0","27","1679","248","1585","233","94","66","12","19","82","69","1982","262","522","150","522","150","0","27","0","27","0","27","1460","186","1401","190","59","48","42","39","17","23",
"5001400US0601","Congressional District 1 (114th Congress), California","12956","850","6519","514","1607","289","1607","289","0","29","0","29","0","29","4912","389","4673","344","239","126","70","58","169","111","6437","500","1607","327","1607","327","0","29","0","29","0","29","4830","336","4688","325","142","96","13","19","129","92",
"5001400US0602","Congressional District 2 (114th Congress), California","16101","1151","8030","668","2577","405","2530","402","47","37","0","29","47","37","5453","399","5053","350","400","146","35","36","365","142","8071","675","2254","381","2225","379","29","31","17","26","12","15","5817","494","5406","455","411","165","88","59","323","152",
"5001400US0603","Congressional District 3 (114th Congress), California","7807","689","4127","424","1140","203","1130","204","10","16","0","29","10","16","2987","380","2727","358","260","101","120","66","140","76","3680","458","994","241","976","242","18","30","0","29","18","30","2686","328","2484","306","202","110","127","93","75","58",
"5001400US0604","Congressional District 4 (114th Congress), California","8712","1041","4515","551","1042","281","1028","276","14","22","14","22","0","29","3473","403","3347","392","126","102","54","59","72","79","4197","641","944","322","933","321","11","19","11","19","0","29","3253","395","3194","383","59","57","40","51","19","23",
"5001400US0605","Congressional District 5 (114th Congress), California","7404","1200","3442","636","882","294","789","238","93","124","0","29","93","124","2560","444","2174","338","386","206","65","73","321","189","3962","672","871","247","770","210","101","114","0","29","101","114","3091","507","2539","359","552","251","204","114","348","213",
"5001400US0606","Congressional District 6 (114th Congress), California","6626","779","3116","434","956","236","955","237","1","2","0","29","1","2","2160","299","1963","283","197","87","89","52","108","66","3510","478","917","228","855","212","62","65","0","29","62","65","2593","366","2318","362","275","102","145","72","130","71",
