"GEO_ID","NAME","B05003D_001E","B05003D_001M","B05003D_002E","B05003D_002M","B05003D_003E","B05003D_003M","B05003D_004E","B05003D_004M","B05003D_005E","B05003D_005M","B05003D_006E","B05003D_006M","B05003D_007E","B05003D_007M","B05003D_008E","B05003D_008M","B05003D_009E","B05003D_009M","B05003D_010E","B05003D_010M","B05003D_011E","B05003D_011M","B05003D_012E","B05003D_012M","B05003D_013E","B05003D_013M","B05003D_014E","B05003D_014M","B05003D_015E","B05003D_015M","B05003D_016E","B05003D_016M","B05003D_017E","B05003D_017M","B05003D_018E","B05003D_018M","B05003D_019E","B05003D_019M","B05003D_020E","B05003D_020M","B05003D_021E","B05003D_021M","B05003D_022E","B05003D_022M","B05003D_023E","B05003D_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US0101","Congressional District 1 (114th Congress), Alabama","9598","450","4817","326","1225","214","1020","191","205","124","15","20","190","115","3592","201","674","194","2918","232","1305","187","1613","241","4781","223","1048","118","900","125","148","86","54","51","94","65","3733","172","530","111","3203","192","1666","235","1537","214",
"5001400US0102","Congressional District 2 (114th Congress), Alabama","8199","576","3824","411","1154","209","877","228","277","112","93","87","184","90","2670","271","525","169","2145","272","1002","198","1143","229","4375","302","882","147","570","141","312","112","90","49","222","99","3493","244","761","205","2732","245","1403","190","1329","238",
"5001400US0103","Congressional District 3 (114th Congress), Alabama","9235","555","4428","382","1073","180","583","165","490","143","30","34","460","145","3355","295","361","120","2994","297","869","197","2125","241","4807","343","1103","175","575","174","528","132","83","59","445","142","3704","224","317","111","3387","221","1359","201","2028","199",
"5001400US0104","Congressional District 4 (114th Congress), Alabama","3880","453","1775","298","482","154","313","109","169","99","48","59","121","89","1293","225","243","130","1050","195","642","148","408","127","2105","270","522","157","310","124","212","108","160","100","52","48","1583","198","153","72","1430","198","954","170","476","125",
"5001400US0105","Congressional District 5 (114th Congress), Alabama","11212","457","4767","351","1057","222","698","189","359","130","120","81","239","116","3710","245","733","202","2977","294","1457","222","1520","275","6445","304","1235","209","906","184","329","117","197","97","132","74","5210","216","618","179","4592","265","2434","221","2158","287",
"5001400US0106","Congressional District 6 (114th Congress), Alabama","12096","567","5636","353","1522","202","1124","199","398","134","160","104","238","100","4114","267","710","209","3404","266","1804","243","1600","260","6460","331","1849","173","1229","191","620","169","290","107","330","126","4611","264","588","224","4023","267","2175","214","1848","268",
"5001400US0107","Congressional District 7 (114th Congress), Alabama","4102","568","1894","355","211","113","194","114","17","27","0","27","17","27","1683","328","215","90","1468","335","613","310","855","204","2208","329","309","126","296","126","13","14","13","14","0","27","1899","266","242","108","1657","252","648","150","1009","214",
"5001400US0200","Congressional District (at Large) (114th Congress), Alaska","40976","1042","19117","587","5015","380","3962","437","1053","275","339","137","714","241","14102","357","3279","415","10823","450","5919","451","4904","470","21859","656","5179","406","4006","493","1173","334","423","115","750","313","16680","436","3474","351","13206","482","7830","513","5376","445",
"5001400US0401","Congressional District 1 (114th Congress), Arizona","11163","920","5003","564","1347","275","1015","245","332","175","144","126","188","130","3656","440","1160","261","2496","344","1269","289","1227","272","6160","512","1163","235","900","215","263","91","142","72","121","53","4997","442","897","193","4100","415","2405","353","1695","297",
