"GEO_ID","NAME","B05003E_001E","B05003E_001M","B05003E_002E","B05003E_002M","B05003E_003E","B05003E_003M","B05003E_004E","B05003E_004M","B05003E_005E","B05003E_005M","B05003E_006E","B05003E_006M","B05003E_007E","B05003E_007M","B05003E_008E","B05003E_008M","B05003E_009E","B05003E_009M","B05003E_010E","B05003E_010M","B05003E_011E","B05003E_011M","B05003E_012E","B05003E_012M","B05003E_013E","B05003E_013M","B05003E_014E","B05003E_014M","B05003E_015E","B05003E_015M","B05003E_016E","B05003E_016M","B05003E_017E","B05003E_017M","B05003E_018E","B05003E_018M","B05003E_019E","B05003E_019M","B05003E_020E","B05003E_020M","B05003E_021E","B05003E_021M","B05003E_022E","B05003E_022M","B05003E_023E","B05003E_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US0101","Congressional District 1 (114th Congress), Alabama","60","41","40","34","0","27","0","27","0","27","0","27","0","27","40","34","40","34","0","27","0","27","0","27","20","22","0","27","0","27","0","27","0","27","0","27","20","22","20","22","0","27","0","27","0","27",
"5001400US0102","Congressional District 2 (114th Congress), Alabama","120","89","77","66","5","9","5","9","0","27","0","27","0","27","72","64","56","64","16","26","0","27","16","26","43","39","7","9","2","4","5","8","5","8","0","27","36","39","36","39","0","27","0","27","0","27",
"5001400US0103","Congressional District 3 (114th Congress), Alabama","274","115","75","35","33","46","33","46","0","27","0","27","0","27","42","22","29","23","13","13","9","12","4","8","199","114","53","33","38","29","15","18","0","27","15","18","146","101","102","85","44","49","8","13","36","47",
"5001400US0104","Congressional District 4 (114th Congress), Alabama","186","97","52","51","14","24","14","24","0","27","0","27","0","27","38","32","26","26","12","19","12","19","0","27","134","72","4","7","4","7","0","27","0","27","0","27","130","72","83","55","47","48","28","36","19","30",
"5001400US0105","Congressional District 5 (114th Congress), Alabama","504","157","340","120","39","38","35","37","4","8","4","8","0","27","301","116","286","114","15","20","9","16","6","12","164","89","25","24","25","24","0","27","0","27","0","27","139","78","78","51","61","56","25","34","36","42",
"5001400US0106","Congressional District 6 (114th Congress), Alabama","108","87","88","87","0","27","0","27","0","27","0","27","0","27","88","87","88","87","0","27","0","27","0","27","20","20","13","17","13","17","0","27","0","27","0","27","7","11","7","11","0","27","0","27","0","27",
"5001400US0107","Congressional District 7 (114th Congress), Alabama","178","160","112","127","50","80","50","80","0","27","0","27","0","27","62","57","62","57","0","27","0","27","0","27","66","54","0","27","0","27","0","27","0","27","0","27","66","54","66","54","0","27","0","27","0","27",
"5001400US0200","Congressional District (at Large) (114th Congress), Alaska","8335","335","4075","251","1539","185","1519","189","20","23","0","22","20","23","2536","145","1946","217","590","189","190","136","400","139","4260","199","1610","136","1564","142","46","49","5","9","41","48","2650","117","2148","185","502","148","146","88","356","141",
"5001400US0401","Congressional District 1 (114th Congress), Arizona","1189","310","847","227","80","65","80","65","0","30","0","30","0","30","767","197","684","179","83","54","30","30","53","44","342","146","114","78","114","78","0","30","0","30","0","30","228","97","199","87","29","34","0","30","29","34",
