"GEO_ID","NAME","B05003F_001E","B05003F_001M","B05003F_002E","B05003F_002M","B05003F_003E","B05003F_003M","B05003F_004E","B05003F_004M","B05003F_005E","B05003F_005M","B05003F_006E","B05003F_006M","B05003F_007E","B05003F_007M","B05003F_008E","B05003F_008M","B05003F_009E","B05003F_009M","B05003F_010E","B05003F_010M","B05003F_011E","B05003F_011M","B05003F_012E","B05003F_012M","B05003F_013E","B05003F_013M","B05003F_014E","B05003F_014M","B05003F_015E","B05003F_015M","B05003F_016E","B05003F_016M","B05003F_017E","B05003F_017M","B05003F_018E","B05003F_018M","B05003F_019E","B05003F_019M","B05003F_020E","B05003F_020M","B05003F_021E","B05003F_021M","B05003F_022E","B05003F_022M","B05003F_023E","B05003F_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US0101","Congressional District 1 (114th Congress), Alabama","4727","855","2729","586","696","268","543","256","153","104","16","32","137","110","2033","481","974","429","1059","339","302","155","757","295","1998","444","546","250","438","232","108","139","96","137","12","17","1452","310","761","281","691","326","214","154","477","255",
"5001400US0102","Congressional District 2 (114th Congress), Alabama","6579","935","3298","550","1235","318","1198","308","37","41","8","14","29","37","2063","315","625","170","1438","276","244","111","1194","249","3281","498","1273","283","1182","272","91","65","2","9","89","64","2008","303","794","200","1214","262","255","87","959","245",
"5001400US0103","Congressional District 3 (114th Congress), Alabama","5943","916","3547","612","1176","285","988","264","188","141","17","29","171","140","2371","504","909","478","1462","418","135","90","1327","417","2396","422","792","187","669","194","123","90","9","11","114","89","1604","324","598","175","1006","298","122","84","884","282",
"5001400US0104","Congressional District 4 (114th Congress), Alabama","10833","1630","5919","947","2598","533","2155","486","443","218","7","18","436","220","3321","564","448","149","2873","541","421","215","2452","521","4914","816","2142","506","1735","439","407","236","63","94","344","224","2772","436","589","208","2183","410","163","94","2020","404",
"5001400US0105","Congressional District 5 (114th Congress), Alabama","7592","1095","4354","615","1390","354","1056","260","334","182","189","159","145","81","2964","426","681","169","2283","375","475","174","1808","387","3238","605","1359","320","1122","287","237","135","72","58","165","117","1879","355","539","177","1340","302","526","195","814","233",
"5001400US0106","Congressional District 6 (114th Congress), Alabama","16399","1471","9370","920","3440","444","2610","425","830","277","35","40","795","269","5930","679","859","292","5071","639","507","180","4564","640","7029","719","3007","372","2473","323","534","250","17","29","517","249","4022","498","763","235","3259","392","413","141","2846","379",
"5001400US0107","Congressional District 7 (114th Congress), Alabama","6545","1182","3512","658","1191","364","1008","317","183","108","6","11","177","108","2321","479","464","152","1857","458","297","137","1560","417","3033","638","996","300","904","292","92","61","0","27","92","61","2037","434","886","311","1151","269","221","110","930","243",
"5001400US0200","Congressional District (at Large) (114th Congress), Alaska","8382","997","4234","556","1046","285","980","257","66","74","0","22","66","74","3188","392","1940","326","1248","270","727","220","521","143","4148","573","1097","267","1043","263","54","35","50","34","4","6","3051","432","1651","308","1400","281","775","195","625","180",
"5001400US0401","Congressional District 1 (114th Congress), Arizona","31831","2869","17688","1656","4335","823","4069","770","266","147","64","61","202","136","13353","1125","8529","824","4824","695","1010","228","3814","660","14143","1475","3936","678","3771","664","165","104","13","25","152","98","10207","969","7046","680","3161","563","868","214","2293","525",
"5001400US0402","Congressional District 2 (114th Congress), Arizona","41385","2408","20137","1311","5627","698","5231","701","396","196","27","18","369","196","14510","932","10095","865","4415","511","1419","240","2996","471","21248","1544","5612","670","5091","602","521","217","30","37","491","210","15636","1106","9871","758","5765","735","2305","348","3460","648",
"5001400US0403","Congressional District 3 (114th Congress), Arizona","94556","4534","47662","2422","14953","1197","14022","1178","931","241","176","105","755","242","32709","1689","18976","1209","13733","1159","4989","508","8744","957","46894","2431","14903","1200","14306","1150","597","190","121","79","476","171","31991","1525","16851","1006","15140","1018","6004","480","9136","813",
"5001400US0404","Congressional District 4 (114th Congress), Arizona","32071","2376","17291","1351","4603","631","4269","640","334","148","89","91","245","134","12688","1072","7043","705","5645","743","2148","471","3497","538","14780","1385","4740","816","4401","743","339","230","103","98","236","186","10040","932","5083","643","4957","671","1921","452","3036","428",
"5001400US0405","Congressional District 5 (114th Congress), Arizona","23966","1960","12149","1091","4174","611","4047","589","127","80","24","29","103","74","7975","689","4931","546","3044","397","1160","267","1884","384","11817","1187","4160","732","4007","706","153","124","32","35","121","109","7657","731","5119","636","2538","392","1112","196","1426","335",
"5001400US0406","Congressional District 6 (114th Congress), Arizona","20023","1731","9774","913","2990","482","2683","448","307","178","17","25","290","175","6784","623","2971","436","3813","508","943","268","2870","507","10249","1110","3513","639","3156","643","357","162","55","64","302","148","6736","663","2968","487","3768","509","1206","256","2562","447",
"5001400US0407","Congressional District 7 (114th Congress), Arizona","113946","5549","58324","3184","21344","1678","19325","1540","2019","394","120","107","1899","372","36980","2089","17473","1442","19507","1352","4416","507","15091","1264","55622","2837","20357","1536","18774","1430","1583","367","131","101","1452","367","35265","1603","16739","1089","18526","1243","4137","505","14389","1031",
"5001400US0408","Congressional District 8 (114th Congress), Arizona","19676","1995","9306","986","2788","533","2607","529","181","119","54","83","127","88","6518","707","4104","506","2414","393","955","264","1459","313","10370","1186","2667","499","2525","472","142","111","7","12","135","110","7703","814","4770","577","2933","460","1371","253","1562","370",
"5001400US0409","Congressional District 9 (114th Congress), Arizona","40579","2586","20386","1449","6300","787","6059","790","241","123","27","34","214","123","14086","1066","7950","908","6136","704","1720","371","4416","651","20193","1655","6348","903","5976","890","372","157","35","49","337","142","13845","1041","8356","802","5489","595","1480","277","4009","552",
"5001400US0501","Congressional District 1 (114th Congress), Arkansas","5174","745","3255","567","979","329","866","309","113","90","48","76","65","51","2276","363","813","217","1463","321","279","120","1184","309","1919","370","711","233","531","183","180","169","0","27","180","169","1208","273","662","208","546","155","153","82","393","142",
"5001400US0502","Congressional District 2 (114th Congress), Arkansas","6280","898","3767","619","1120","304","1045","299","75","69","56","60","19","31","2647","490","764","229","1883","437","457","158","1426","412","2513","465","841","275","743","238","98","118","45","74","53","98","1672","296","691","188","981","239","212","102","769","209",
"5001400US0503","Congressional District 3 (114th Congress), Arkansas","31540","2234","16687","1329","6566","684","5744","691","822","283","51","57","771","283","10121","856","2622","464","7499","798","1634","370","5865","724","14853","1100","5710","613","4808","582","902","252","63","65","839","255","9143","683","2550","397","6593","662","1555","312","5038","622",
"5001400US0504","Congressional District 4 (114th Congress), Arkansas","17571","1191","9372","736","3693","438","3276","444","417","162","66","60","351","140","5679","460","1608","259","4071","413","840","183","3231","400","8199","597","3197","323","2764","298","433","154","22","18","411","154","5002","401","1518","316","3484","382","504","153","2980","373",
"5001400US0601","Congressional District 1 (114th Congress), California","20586","1634","12154","963","2926","408","2592","411","334","154","138","111","196","108","9228","766","5395","631","3833","465","1082","215","2751","400","8432","914","2513","455","2334","411","179","96","62","52","117","80","5919","572","3487","419","2432","388","1116","225","1316","310",
"5001400US0602","Congressional District 2 (114th Congress), California","49211","3353","26851","1877","7626","772","6601","705","1025","386","299","305","726","230","19225","1424","6022","725","13203","1112","2441","378","10762","1113","22360","1761","6853","834","5930","729","923","348","164","152","759","265","15507","1097","5141","559","10366","924","3091","554","7275","795",
"5001400US0603","Congressional District 3 (114th Congress), California","74076","3223","39697","2114","12138","990","11416","949","722","243","116","78","606","232","27559","1558","12765","902","14794","1175","4483","514","10311","1091","34379","1633","11352","861","10610","811","742","255","99","70","643","212","23027","1199","10486","815","12541","916","4707","419","7834","833",
"5001400US0604","Congressional District 4 (114th Congress), California","21109","1567","11348","1013","2923","564","2715","546","208","117","21","25","187","115","8425","651","4284","465","4141","475","1022","211","3119","426","9761","831","3163","510","2990","481","173","114","13","23","160","112","6598","510","3335","418","3263","433","1203","227","2060","382",
"5001400US0605","Congressional District 5 (114th Congress), California","55490","3121","29969","1840","9224","861","8122","779","1102","369","90","92","1012","351","20745","1271","7391","781","13354","1227","4034","476","9320","1042","25521","1638","8711","904","7925","855","786","236","94","80","692","217","16810","974","6470","709","10340","831","3023","421","7317","736",
"5001400US0606","Congressional District 6 (114th Congress), California","64692","3147","32698","1813","11025","940","10420","910","605","234","32","46","573","224","21673","1347","10298","793","11375","927","3225","435","8150","803","31994","1645","10416","966","9606","856","810","255","134","140","676","205","21578","992","11643","757","9935","854","3126","470","6809","672",
"5001400US0607","Congressional District 7 (114th Congress), California","33095","2355","17245","1274","4567","565","4282","548","285","172","45","45","240","166","12678","994","7440","596","5238","701","1958","395","3280","569","15850","1348","4846","577","4602","590","244","136","9","16","235","133","11004","993","6235","725","4769","625","1985","375","2784","507",
"5001400US0608","Congressional District 8 (114th Congress), California","65114","4000","32827","1949","10016","969","9624","958","392","159","22","24","370","156","22811","1415","12526","967","10285","961","3506","477","6779","867","32287","2427","10947","1256","10428","1225","519","214","23","27","496","212","21340","1488","11361","933","9979","981","3477","513","6502","817",
"5001400US0609","Congressional District 9 (114th Congress), California","80682","3021","41750","1699","14158","1045","13299","1044","859","262","110","100","749","233","27592","1219","12251","828","15341","1042","4219","511","11122","920","38932","1698","12763","956","12173","957","590","190","69","51","521","185","26169","1239","12575","957","13594","832","4912","497","8682","696",
"5001400US0610","Congressional District 10 (114th Congress), California","70702","4183","36968","2440","12177","1257","11243","1188","934","277","49","35","885","277","24791","1517","11709","838","13082","1163","3999","432","9083","1075","33734","1934","10753","904","10135","904","618","184","9","14","609","185","22981","1304","10825","907","12156","875","4063","461","8093","720",
"5001400US0611","Congressional District 11 (114th Congress), California","58427","3399","29209","1659","9286","758","8443","707","843","235","53","36","790","231","19923","1242","6681","655","13242","1027","3235","444","10007","957","29218","2087","9817","1035","8770","951","1047","280","146","137","901","224","19401","1231","7116","682","12285","900","4165","460","8120","774",
"5001400US0612","Congressional District 12 (114th Congress), California","40198","2744","21536","1592","4012","567","3605","513","407","208","157","111","250","164","17524","1330","7081","724","10443","1153","3600","522","6843","997","18662","1493","3972","636","3754","626","218","111","63","57","155","90","14690","1067","5915","622","8775","883","3453","506","5322","677",
"5001400US0613","Congressional District 13 (114th Congress), California","54294","2913","28311","1664","7938","878","6941","819","997","204","31","37","966","207","20373","1180","7069","605","13304","899","2884","418","10420","797","25983","1598","7987","774","7065","653","922","256","47","50","875","256","17996","1014","7370","649","10626","720","2897","364","7729","636",
"5001400US0614","Congressional District 14 (114th Congress), California","62345","3404","32484","2151","8665","866","7868","781","797","238","105","69","692","206","23819","1599","8649","818","15170","1391","5222","638","9948","1161","29861","1571","7900","717","7044","654","856","286","166","154","690","233","21961","1173","7576","631","14385","1027","5893","493","8492","886",
"5001400US0615","Congressional District 15 (114th Congress), California","54708","2908","27445","1528","7959","804","7346","749","613","197","47","38","566","192","19486","1101","7516","645","11970","965","3997","399","7973","842","27263","1757","7905","959","7372","874","533","221","7","11","526","220","19358","1069","8506","771","10852","821","3527","400","7325","750",
"5001400US0616","Congressional District 16 (114th Congress), California","153970","4376","80412","2555","26001","1479","23935","1375","2066","399","179","114","1887","375","54411","1562","22599","1012","31812","1499","7199","641","24613","1330","73558","2248","23219","1079","21494","1034","1725","382","105","72","1620","382","50339","1627","23255","1089","27084","1292","6376","576","20708","1175",
"5001400US0617","Congressional District 17 (114th Congress), California","50912","2643","25270","1461","7756","713","7416","716","340","158","1","3","339","158","17514","1036","8543","822","8971","777","2829","410","6142","731","25642","1602","7403","816","6829","693","574","316","26","41","548","310","18239","1056","8591","740","9648","778","3122","404","6526","772",
"5001400US0618","Congressional District 18 (114th Congress), California","36348","3010","18866","1714","5942","774","5254","720","688","255","47","50","641","248","12924","1190","5621","685","7303","940","2063","422","5240","796","17482","1618","5269","891","4620","854","649","215","33","29","616","220","12213","1048","5185","739","7028","738","2094","301","4934","647",
"5001400US0619","Congressional District 19 (114th Congress), California","110523","4536","56071","2436","15938","960","14671","935","1267","268","130","80","1137","250","40133","1779","16735","1206","23398","1316","6081","472","17317","1285","54452","2535","17400","1259","16355","1199","1045","224","53","39","992","225","37052","1687","16900","1223","20152","1260","6372","625","13780","983",
"5001400US0620","Congressional District 20 (114th Congress), California","77435","3765","39976","2051","12769","864","11495","819","1274","301","135","68","1139","296","27207","1552","10439","715","16768","1240","4578","462","12190","1065","37459","2033","11864","1013","10939","987","925","287","98","54","827","289","25595","1320","10797","839","14798","898","4809","461","9989","773",
"5001400US0621","Congressional District 21 (114th Congress), California","132245","4543","70911","2545","22278","1303","20968","1235","1310","288","82","62","1228","283","48633","1634","22162","1141","26471","1141","5579","460","20892","1038","61334","2351","21954","1162","20653","1219","1301","290","126","68","1175","277","39380","1534","18784","1167","20596","1078","5114","492","15482","974",
"5001400US0622","Congressional District 22 (114th Congress), California","81774","4274","41239","2135","13384","1150","12868","1093","516","157","34","33","482","155","27855","1378","16109","937","11746","968","3322","408","8424","880","40535","2477","13283","1139","12630","1112","653","272","44","41","609","270","27252","1662","16559","1215","10693","951","3718","429","6975","794",
"5001400US0623","Congressional District 23 (114th Congress), California","57768","3346","31031","1864","10110","895","9886","894","224","119","12","19","212","118","20921","1288","12185","941","8736","846","3811","519","4925","701","26737","1782","7818","845","7576","849","242","126","25","21","217","124","18919","1242","11264","951","7655","698","3028","344","4627","595",
