"GEO_ID","NAME","B05003G_001E","B05003G_001M","B05003G_002E","B05003G_002M","B05003G_003E","B05003G_003M","B05003G_004E","B05003G_004M","B05003G_005E","B05003G_005M","B05003G_006E","B05003G_006M","B05003G_007E","B05003G_007M","B05003G_008E","B05003G_008M","B05003G_009E","B05003G_009M","B05003G_010E","B05003G_010M","B05003G_011E","B05003G_011M","B05003G_012E","B05003G_012M","B05003G_013E","B05003G_013M","B05003G_014E","B05003G_014M","B05003G_015E","B05003G_015M","B05003G_016E","B05003G_016M","B05003G_017E","B05003G_017M","B05003G_018E","B05003G_018M","B05003G_019E","B05003G_019M","B05003G_020E","B05003G_020M","B05003G_021E","B05003G_021M","B05003G_022E","B05003G_022M","B05003G_023E","B05003G_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US0101","Congressional District 1 (114th Congress), Alabama","11047","1073","5365","671","2658","539","2613","534","45","50","0","27","45","50","2707","364","2445","343","262","161","29","29","233","159","5682","638","2658","458","2477","461","181","185","0","27","181","185","3024","400","2801","387","223","90","36","39","187","80",
"5001400US0102","Congressional District 2 (114th Congress), Alabama","12473","951","6203","550","2870","378","2811","367","59","92","0","27","59","92","3333","320","3088","260","245","153","79","47","166","150","6270","569","3295","396","3173","387","122","106","53","56","69","85","2975","351","2754","348","221","101","76","45","145","92",
"5001400US0103","Congressional District 3 (114th Congress), Alabama","10096","949","4899","575","2524","444","2497","437","27","47","0","27","27","47","2375","315","2240","295","135","71","44","43","91","56","5197","592","3112","511","3065","502","47","56","47","56","0","27","2085","240","1934","236","151","75","119","67","32","36",
"5001400US0104","Congressional District 4 (114th Congress), Alabama","12149","1084","5992","581","2492","384","2492","384","0","27","0","27","0","27","3500","358","3224","366","276","208","94","70","182","187","6157","700","2819","458","2796","456","23","54","0","27","23","54","3338","404","3070","372","268","111","111","73","157","91",
"5001400US0105","Congressional District 5 (114th Congress), Alabama","16813","1237","8760","787","4406","624","4341","626","65","50","22","30","43","41","4354","416","3902","397","452","191","271","113","181","108","8053","712","3726","436","3676","438","50","49","50","49","0","27","4327","452","3992","411","335","110","181","81","154","75",
"5001400US0106","Congressional District 6 (114th Congress), Alabama","7775","853","4252","595","1938","361","1935","360","3","10","3","10","0","27","2314","370","2117","346","197","89","123","70","74","49","3523","421","1626","303","1591","304","35","31","0","27","35","31","1897","281","1721","259","176","85","85","57","91","49",
"5001400US0107","Congressional District 7 (114th Congress), Alabama","6075","720","2748","390","1116","255","1116","255","0","27","0","27","0","27","1632","290","1395","229","237","166","61","69","176","147","3327","493","1235","294","1221","296","14","23","14","23","0","27","2092","332","2059","329","33","37","26","35","7","12",
"5001400US0200","Congressional District (at Large) (114th Congress), Alaska","58521","1748","29714","1034","14866","696","14728","704","138","66","52","41","86","53","14848","658","14177","621","671","200","483","169","188","100","28807","1090","13706","756","13569","751","137","80","19","22","118","78","15101","787","14386","776","715","219","464","187","251","103",
"5001400US0401","Congressional District 1 (114th Congress), Arizona","21644","1491","11077","772","5806","594","5719","594","87","101","11","18","76","99","5271","494","4669","450","602","212","357","136","245","158","10567","999","5043","642","5043","642","0","30","0","30","0","30","5524","517","4958","531","566","192","268","84","298","165",
