"GEO_ID","NAME","B05003H_001E","B05003H_001M","B05003H_002E","B05003H_002M","B05003H_003E","B05003H_003M","B05003H_004E","B05003H_004M","B05003H_005E","B05003H_005M","B05003H_006E","B05003H_006M","B05003H_007E","B05003H_007M","B05003H_008E","B05003H_008M","B05003H_009E","B05003H_009M","B05003H_010E","B05003H_010M","B05003H_011E","B05003H_011M","B05003H_012E","B05003H_012M","B05003H_013E","B05003H_013M","B05003H_014E","B05003H_014M","B05003H_015E","B05003H_015M","B05003H_016E","B05003H_016M","B05003H_017E","B05003H_017M","B05003H_018E","B05003H_018M","B05003H_019E","B05003H_019M","B05003H_020E","B05003H_020M","B05003H_021E","B05003H_021M","B05003H_022E","B05003H_022M","B05003H_023E","B05003H_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US0101","Congressional District 1 (114th Congress), Alabama","453414","460","221281","269","48566","117","48412","162","154","132","79","64","75","119","172715","223","170176","417","2539","355","1382","250","1157","279","232133","304","46613","165","46464","201","149","117","46","36","103","110","185520","203","183171","449","2349","388","1376","229","973","275",
"5001400US0102","Congressional District 2 (114th Congress), Alabama","432195","1080","212286","640","45069","392","44888","391","181","98","36","28","145","99","167217","467","165942","496","1275","217","665","154","610","182","219909","706","42728","336","42662","336","66","47","13","16","53","45","177181","564","174875","626","2306","279","1481","236","825","167",
"5001400US0103","Congressional District 3 (114th Congress), Alabama","477849","1105","234982","661","50997","394","50875","383","122","104","82","79","40","43","183985","465","182448","613","1537","401","690","195","847","319","242867","719","47641","372","47550","375","91","66","36","32","55","57","195226","567","192756","653","2470","431","1266","238","1204","369",
"5001400US0104","Congressional District 4 (114th Congress), Alabama","576373","1555","281280","1082","62952","469","62783","478","169","116","160","115","9","14","218328","844","217443","893","885","209","415","109","470","183","295093","806","59392","378","59206","380","186","103","52","42","134","89","235701","718","234351","732","1350","268","738","186","612","186",
"5001400US0105","Congressional District 5 (114th Congress), Alabama","512427","200","252048","149","54241","73","54041","114","200","97","80","55","120","82","197807","115","195751","292","2056","276","1312","189","744","185","260379","106","51854","58","51778","70","76","37","27","28","49","34","208525","80","205596","378","2929","370","1946","290","983","209",
"5001400US0106","Congressional District 6 (114th Congress), Alabama","535428","1941","259548","1131","59078","531","58827","532","251","108","222","103","29","34","200470","921","198637","922","1833","264","1246","240","587","150","275880","1311","57259","538","57017","530","242","104","154","88","88","56","218621","1056","216485","1084","2136","283","1260","209","876","187",
"5001400US0107","Congressional District 7 (114th Congress), Alabama","218902","2360","106587","1359","17275","633","17196","621","79","73","11","18","68","72","89312","1135","88249","1098","1063","220","363","123","700","193","112315","1467","16192","573","16123","578","69","66","33","48","36","34","96123","1206","95215","1214","908","186","301","115","607","153",
"5001400US0200","Congressional District (at Large) (114th Congress), Alaska","458284","283","243270","190","49685","134","49056","255","629","234","242","138","387","196","193585","164","188639","585","4946","550","2801","400","2145","368","215014","227","46636","143","46331","217","305","123","144","88","161","92","168378","167","162006","655","6372","651","3574","395","2798","437",
"5001400US0401","Congressional District 1 (114th Congress), Arizona","366725","2949","184195","1776","33698","1102","33614","1094","84","71","59","68","25","20","150497","1522","145571","1495","4926","575","2468","331","2458","429","182530","1791","32943","972","32863","969","80","51","31","43","49","34","149587","1582","144211","1622","5376","484","2848","362","2528","363",
