"GEO_ID","NAME","B05003I_001E","B05003I_001M","B05003I_002E","B05003I_002M","B05003I_003E","B05003I_003M","B05003I_004E","B05003I_004M","B05003I_005E","B05003I_005M","B05003I_006E","B05003I_006M","B05003I_007E","B05003I_007M","B05003I_008E","B05003I_008M","B05003I_009E","B05003I_009M","B05003I_010E","B05003I_010M","B05003I_011E","B05003I_011M","B05003I_012E","B05003I_012M","B05003I_013E","B05003I_013M","B05003I_014E","B05003I_014M","B05003I_015E","B05003I_015M","B05003I_016E","B05003I_016M","B05003I_017E","B05003I_017M","B05003I_018E","B05003I_018M","B05003I_019E","B05003I_019M","B05003I_020E","B05003I_020M","B05003I_021E","B05003I_021M","B05003I_022E","B05003I_022M","B05003I_023E","B05003I_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"5001400US0101","Congressional District 1 (114th Congress), Alabama","20600","50","11191","169","3475","154","3251","179","224","112","16","32","208","118","7716","123","3733","567","3983","557","965","250","3018","576","9409","166","3362","143","3056","235","306","196","138","143","168","130","6047","91","3275","360","2772","373","788","193","1984","332",
"5001400US0102","Congressional District 2 (114th Congress), Alabama","24282","663","13449","509","4868","242","4604","250","264","120","11","10","253","119","8581","474","3717","303","4864","585","895","231","3969","510","10833","387","4120","268","3809","275","311","138","58","56","253","137","6713","210","3506","349","3207","399","718","156","2489","360",
"5001400US0103","Congressional District 3 (114th Congress), Alabama","19741","296","10835","313","3464","241","3095","236","369","178","17","29","352","177","7371","207","3801","490","3570","444","672","227","2898","473","8906","292","3336","239","3064","258","272","118","51","37","221","114","5570","167","2944","339","2626","322","503","169","2123","291",
"5001400US0104","Congressional District 4 (114th Congress), Alabama","40954","923","22222","639","9140","397","8257","474","883","271","96","86","787","258","13082","395","2791","385","10291","503","1407","366","8884","620","18732","514","8227","339","7204","429","1023","290","83","98","940","278","10505","305","3325","487","7180","403","850","235","6330","451",
"5001400US0105","Congressional District 5 (114th Congress), Alabama","33809","5","18437","160","6643","148","5916","255","727","255","305","179","422","187","11794","67","4663","401","7131","393","1390","286","5741","467","15372","161","6133","148","5364","380","769","388","135","78","634","396","9239","68","3872","338","5367","331","1539","361","3828","413",
"5001400US0106","Congressional District 6 (114th Congress), Alabama","34680","1032","18994","679","7006","401","5963","434","1043","326","55","50","988","315","11988","526","2642","426","9346","569","918","204","8428","628","15686","542","6571","266","5738","344","833","294","48","44","785","282","9115","398","2577","366","6538","440","1209","222","5329","451",
"5001400US0107","Congressional District 7 (114th Congress), Alabama","17772","1312","9773","836","2462","424","2221","401","241","113","7","11","234","113","7311","633","2077","351","5234","641","761","257","4473","602","7999","633","2735","297","2478","315","257","133","35","43","222","118","5264","495","2303","349","2961","387","617","207","2344","352",
"5001400US0200","Congressional District (at Large) (114th Congress), Alaska","45247","117","23839","177","8383","117","8240","150","143","89","10","12","133","90","15456","160","11237","505","4219","515","2054","294","2165","479","21408","151","7795","123","7643","146","152","79","116","75","36","25","13613","137","9990","437","3623","400","2087","250","1536","281",
"5001400US0401","Congressional District 1 (114th Congress), Arizona","151609","2792","78301","1557","26991","910","26088","908","903","202","107","83","796","186","51310","1167","36918","1277","14392","884","3952","432","10440","819","73308","1615","25256","843","24601","852","655","214","68","77","587","199","48052","1122","36767","1105","11285","764","4229","508","7056","709",
