"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US01","Alabama","4817678","*****","2336020","862","570659","792","563167","973","7492","705","1860","388","5632","601","1765361","559","1686585","1694","78776","1721","23461","1133","55315","1559","2481658","862","547259","789","539483","1157","7776","776","2070","315","5706","725","1934399","450","1861966","1678","72433","1556","28123","1023","44310","1282",
"0400000US02","Alaska","728300","*****","380119","398","96501","273","94416","561","2085","454","709","246","1376","369","283618","314","261046","969","22572","1008","12215","804","10357","831","348181","398","91589","287","89612","451","1977","379","777","172","1200","348","256592","267","231546","1097","25046","1095","14209","813","10837","754",
"0400000US04","Arizona","6561516","*****","3258791","607","826805","488","797733","1423","29072","1385","4754","562","24318","1282","2431986","486","2034128","4129","397858","4135","149860","2797","247998","3628","3302725","607","793687","402","764898","1269","28789","1220","5729","561","23060","1248","2509038","417","2081110","4486","427928","4480","179138","3054","248790","3674",
"0400000US05","Arkansas","2947036","*****","1447235","981","363368","939","356841","1077","6527","743","804","240","5723","688","1083867","635","1020446","1390","63421","1313","18241","1068","45180","1498","1499801","981","346189","878","340423","1218","5766","759","1238","288","4528","681","1153612","511","1093556","1336","60056","1313","20101","903","39955","1234",
"0400000US06","California","38066920","*****","18911519","903","4708767","757","4452460","4166","256307","4064","48050","1696","208257","3943","14202752","616","9468906","15650","4733846","15661","2212146","9785","2521700","16007","19155401","903","4503521","779","4257930","3533","245591","3479","48455","1589","197136","3256","14651880","512","9596988","15170","5054892","15050","2603248","9454","2451644","13505",
"0400000US08","Colorado","5197580","*****","2608270","929","632530","770","611953","1392","20577","1224","4322","458","16255","1019","1975740","684","1744363","3632","231377","3561","83473","1921","147904","3220","2589310","930","602167","749","581037","1391","21130","1129","6334","540","14796","1006","1987143","683","1753024","3249","234119","3193","98262","1995","135857","2667",
"0400000US09","Connecticut","3592053","*****","1750621","315","406711","276","390769","1215","15942","1175","4502","544","11440","970","1343910","204","1120731","2811","223179","2796","101730","2291","121449","2340","1841432","315","388374","307","372085","910","16289","870","5511","469","10778","726","1453058","203","1218008","2382","235050","2364","123764","1862","111286","2166",
"0400000US10","Delaware","917060","*****","443923","127","104009","117","101551","338","2458","350","886","237","1572","276","339914","47","304385","1158","35529","1160","15865","814","19664","1042","473137","127","100507","143","98027","388","2480","357","908","223","1572","309","372630","68","336218","1259","36412","1257","17868","867","18544","843",
"0400000US11","District of Columbia","633736","*****","300030","122","54503","78","52201","394","2302","387","522","179","1780","354","245527","92","204075","1434","41452","1417","15557","870","25895","1301","333706","122","53486","80","50768","397","2718","394","703","203","2015","314","280220","93","238066","1309","42154","1301","17701","792","24453","1158",
