"GEO_ID","NAME","B05003B_001E","B05003B_001M","B05003B_002E","B05003B_002M","B05003B_003E","B05003B_003M","B05003B_004E","B05003B_004M","B05003B_005E","B05003B_005M","B05003B_006E","B05003B_006M","B05003B_007E","B05003B_007M","B05003B_008E","B05003B_008M","B05003B_009E","B05003B_009M","B05003B_010E","B05003B_010M","B05003B_011E","B05003B_011M","B05003B_012E","B05003B_012M","B05003B_013E","B05003B_013M","B05003B_014E","B05003B_014M","B05003B_015E","B05003B_015M","B05003B_016E","B05003B_016M","B05003B_017E","B05003B_017M","B05003B_018E","B05003B_018M","B05003B_019E","B05003B_019M","B05003B_020E","B05003B_020M","B05003B_021E","B05003B_021M","B05003B_022E","B05003B_022M","B05003B_023E","B05003B_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US01","Alabama","1269808","2377","590837","1454","169777","1021","169329","1012","448","157","191","99","257","114","421060","856","415592","966","5468","774","2190","408","3278","619","678971","1443","165728","948","165146","960","582","192","180","100","402","160","513243","822","508133","993","5110","556","2300","388","2810","392",
"0400000US02","Alaska","25148","720","13909","524","2825","363","2705","371","120","122","73","87","47","81","11084","342","9532","416","1552","267","826","221","726","191","11239","503","3583","348","3402","333","181","90","70","56","111","71","7656","322","6695","394","961","266","306","120","655","261",
"0400000US04","Arizona","274380","2840","143949","1610","40354","1027","38483","1007","1871","444","405","151","1466","430","103595","959","91645","1299","11950","1100","5076","552","6874","901","130431","1702","37117","1117","34824","1034","2293","494","509","158","1784","453","93314","925","83422","1205","9892","821","4314","519","5578","615",
"0400000US05","Arkansas","458136","1600","218697","998","68103","686","67914","693","189","102","64","51","125","83","150594","605","149273","600","1321","247","385","125","936","209","239439","989","65247","683","65218","687","29","26","11","14","18","25","174192","649","172999","616","1193","273","347","116","846","243",
"0400000US06","California","2262323","6283","1117255","3600","273662","2363","268430","2448","5232","601","1878","351","3354","494","843593","2641","771274","3450","72319","2626","40938","1676","31381","1644","1145068","4128","261765","2606","256768","2720","4997","637","1419","270","3578","563","883303","2492","811590","2971","71713","1891","41376","1499","30337","1360",
"0400000US08","Colorado","209062","1875","112066","1257","28488","940","26541","910","1947","411","656","213","1291","325","83578","1078","70682","1405","12896","1001","6380","666","6516","807","96996","1322","26650","938","25133","923","1517","356","478","168","1039","327","70346","739","58962","1076","11384","987","4938","560","6446","727",
"0400000US09","Connecticut","365871","2458","175409","1505","49350","920","46615","954","2735","494","812","235","1923","357","126059","1089","96020","1474","30039","1200","14903","794","15136","993","190462","1549","46510","861","43814","960","2696","435","736","228","1960","344","143952","1113","107983","1523","35969","1346","20125","1053","15844","917",
"0400000US10","Delaware","198028","1208","93381","748","27156","622","26687","638","469","196","158","116","311","158","66225","386","60624","670","5601","564","3217","419","2384","382","104647","795","26373","575","26022","598","351","149","121","75","230","130","78274","436","71839","800","6435","687","3772","478","2663","453",
"0400000US11","District of Columbia","314138","1150","142485","690","34103","393","33459","441","644","210","171","97","473","196","108382","482","98393","783","9989","771","5030","511","4959","614","171653","638","33439","366","32726","387","713","263","127","70","586","233","138214","477","128328","824","9886","709","5028","473","4858","540",
"0400000US12","Florida","3114841","6863","1497677","4257","435121","2553","415433","3014","19688","1478","4135","501","15553","1355","1062556","3022","791083","4710","271473","4403","147522","2915","123951","3607","1617164","3745","419321","2172","398303","2673","21018","1265","5142","630","15876","1178","1197843","3205","874319","4350","323524","4640","185908","3872","137616","3275",
