"GEO_ID","NAME","B05003C_001E","B05003C_001M","B05003C_002E","B05003C_002M","B05003C_003E","B05003C_003M","B05003C_004E","B05003C_004M","B05003C_005E","B05003C_005M","B05003C_006E","B05003C_006M","B05003C_007E","B05003C_007M","B05003C_008E","B05003C_008M","B05003C_009E","B05003C_009M","B05003C_010E","B05003C_010M","B05003C_011E","B05003C_011M","B05003C_012E","B05003C_012M","B05003C_013E","B05003C_013M","B05003C_014E","B05003C_014M","B05003C_015E","B05003C_015M","B05003C_016E","B05003C_016M","B05003C_017E","B05003C_017M","B05003C_018E","B05003C_018M","B05003C_019E","B05003C_019M","B05003C_020E","B05003C_020M","B05003C_021E","B05003C_021M","B05003C_022E","B05003C_022M","B05003C_023E","B05003C_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US01","Alabama","25181","1098","12451","651","3032","301","2972","307","60","67","16","24","44","63","9419","539","8913","572","506","280","25","17","481","278","12730","738","2381","307","2338","298","43","44","42","43","1","6","10349","632","9847","558","502","256","69","44","433","234",
"0400000US02","Alaska","102743","1424","51993","885","17092","520","17092","520","0","22","0","22","0","22","34901","587","34732","580","169","80","95","62","74","53","50750","797","15665","536","15665","536","0","22","0","22","0","22","35085","563","34970","559","115","50","93","48","22","22",
"0400000US04","Arizona","290780","2884","141156","1715","46066","943","45895","951","171","115","46","48","125","99","95090","1196","93139","1130","1951","369","849","202","1102","298","149624","1725","45870","861","45744","866","126","82","19","21","107","79","103754","1214","101899","1165","1855","291","779","203","1076","207",
"0400000US05","Arkansas","18337","1081","9009","629","2146","323","2123","323","23","27","11","19","12","20","6863","514","6351","431","512","209","145","101","367","165","9328","656","2115","291","2063","293","52","53","27","43","25","28","7213","568","6832","477","381","175","117","77","264","142",
"0400000US06","California","287360","6860","144575","3706","36214","1624","35268","1563","946","256","227","106","719","216","108361","2881","89305","2325","19056","1264","6037","544","13019","1167","142785","3681","34969","1729","33729","1657","1240","297","244","84","996","285","107816","2508","90535","2090","17281","1141","6762","653","10519","812",
"0400000US08","Colorado","49917","1706","24980","1043","6753","481","6624","469","129","94","29","35","100","87","18227","795","17173","705","1054","272","275","96","779","248","24937","1048","6498","559","6354","588","144","165","27","30","117","161","18439","838","17629","815","810","218","339","122","471","176",
"0400000US09","Connecticut","8036","814","4047","481","1140","293","1071","278","69","67","14","21","55","63","2907","327","2279","262","628","188","227","107","401","151","3989","503","1031","215","942","210","89","53","49","48","40","34","2958","398","2476","377","482","176","165","102","317","128",
"0400000US10","Delaware","3134","461","1509","221","183","73","158","75","25","26","0","27","25","26","1326","200","1119","135","207","142","96","61","111","97","1625","348","275","121","275","121","0","27","0","27","0","27","1350","291","1195","286","155","124","21","20","134","127",
"0400000US11","District of Columbia","2072","407","903","199","134","65","120","61","14","23","14","23","0","29","769","175","491","107","278","140","57","67","221","136","1169","276","154","92","144","93","10","16","10","16","0","29","1015","239","855","174","160","123","150","122","10","12",
