"GEO_ID","NAME","B05003D_001E","B05003D_001M","B05003D_002E","B05003D_002M","B05003D_003E","B05003D_003M","B05003D_004E","B05003D_004M","B05003D_005E","B05003D_005M","B05003D_006E","B05003D_006M","B05003D_007E","B05003D_007M","B05003D_008E","B05003D_008M","B05003D_009E","B05003D_009M","B05003D_010E","B05003D_010M","B05003D_011E","B05003D_011M","B05003D_012E","B05003D_012M","B05003D_013E","B05003D_013M","B05003D_014E","B05003D_014M","B05003D_015E","B05003D_015M","B05003D_016E","B05003D_016M","B05003D_017E","B05003D_017M","B05003D_018E","B05003D_018M","B05003D_019E","B05003D_019M","B05003D_020E","B05003D_020M","B05003D_021E","B05003D_021M","B05003D_022E","B05003D_022M","B05003D_023E","B05003D_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US01","Alabama","58322","1002","27141","794","6724","451","4809","443","1915","285","466","202","1449","248","20417","540","3461","435","16956","648","7692","505","9264","581","31181","570","6948","399","4786","373","2162","276","887","201","1275","204","24233","418","3209","440","21024","533","10639","466","10385","587",
"0400000US02","Alaska","40976","1042","19117","587","5015","380","3962","437","1053","275","339","137","714","241","14102","357","3279","415","10823","450","5919","451","4904","470","21859","656","5179","406","4006","493","1173","334","423","115","750","313","16680","436","3474","351","13206","482","7830","513","5376","445",
"0400000US04","Arizona","191071","2065","88716","1201","20647","755","16154","893","4493","624","1387","389","3106","472","68069","801","16823","985","51246","980","27777","955","23469","1172","102355","1304","20551","826","15447","846","5104","567","1987","353","3117","467","81804","940","15071","938","66733","1147","39908","1107","26825","1006",
"0400000US05","Arkansas","38409","866","17683","580","4597","372","3569","406","1028","264","79","53","949","262","13086","392","2527","325","10559","444","4537","383","6022","509","20726","583","4740","399","3611","386","1129","267","455","187","674","191","15986","453","2721","349","13265","507","6671","461","6594","475",
"0400000US06","California","5130536","7902","2425790","4708","514114","2581","437501","3087","76613","1883","22806","1111","53807","1762","1911676","3517","507635","4431","1404041","5147","928134","4929","475907","4811","2704746","4568","488399","2558","413888","2789","74511","1760","24648","1046","49863","1416","2216347","3226","496270","4591","1720077","4574","1145538","4718","574539","5096",
"0400000US08","Colorado","146561","1841","66303","1194","15581","715","11876","741","3705","495","1398","257","2307","422","50722","944","14381","945","36341","931","20359","920","15982","870","80258","1014","17587","649","11512","615","6075","475","3581","387","2494","353","62671","687","13858","801","48813","922","28296","852","20517","973",
"0400000US09","Connecticut","145842","1437","70117","806","17394","482","13134","584","4260","419","1447","258","2813","367","52723","528","7605","674","45118","800","22059","827","23059","908","75725","855","17791","529","12537","524","5254","502","2533","300","2721","347","57934","579","8550","615","49384","798","24968","807","24416","980",
"0400000US10","Delaware","31745","489","15133","317","3591","225","3087","251","504","173","226","105","278","127","11542","230","1297","218","10245","285","5273","340","4972","408","16612","297","3609","171","2660","191","949","202","456","169","493","153","13003","218","1554","255","11449","306","5923","331","5526","394",
"0400000US11","District of Columbia","22785","630","9422","324","856","144","578","122","278","104","126","71","152","83","8566","300","3635","399","4931","357","2164","287","2767","388","13363","423","978","154","670","137","308","108","157","66","151","91","12385","386","4660","439","7725","411","3926","390","3799","409",
