"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B05003E_001E","Estimate!!Total"
"B05003E_001M","Margin of Error!!Total"
"B05003E_002E","Estimate!!Total!!Male"
"B05003E_002M","Margin of Error!!Total!!Male"
"B05003E_003E","Estimate!!Total!!Male!!Under 18 years"
"B05003E_003M","Margin of Error!!Total!!Male!!Under 18 years"
"B05003E_004E","Estimate!!Total!!Male!!Under 18 years!!Native"
"B05003E_004M","Margin of Error!!Total!!Male!!Under 18 years!!Native"
"B05003E_005E","Estimate!!Total!!Male!!Under 18 years!!Foreign born"
"B05003E_005M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born"
"B05003E_006E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen"
"B05003E_006M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen"
"B05003E_007E","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen"
"B05003E_007M","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen"
"B05003E_008E","Estimate!!Total!!Male!!18 years and over"
"B05003E_008M","Margin of Error!!Total!!Male!!18 years and over"
"B05003E_009E","Estimate!!Total!!Male!!18 years and over!!Native"
"B05003E_009M","Margin of Error!!Total!!Male!!18 years and over!!Native"
"B05003E_010E","Estimate!!Total!!Male!!18 years and over!!Foreign born"
"B05003E_010M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born"
"B05003E_011E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen"
"B05003E_011M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen"
"B05003E_012E","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen"
"B05003E_012M","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen"
"B05003E_013E","Estimate!!Total!!Female"
"B05003E_013M","Margin of Error!!Total!!Female"
"B05003E_014E","Estimate!!Total!!Female!!Under 18 years"
"B05003E_014M","Margin of Error!!Total!!Female!!Under 18 years"
"B05003E_015E","Estimate!!Total!!Female!!Under 18 years!!Native"
"B05003E_015M","Margin of Error!!Total!!Female!!Under 18 years!!Native"
"B05003E_016E","Estimate!!Total!!Female!!Under 18 years!!Foreign born"
"B05003E_016M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born"
"B05003E_017E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen"
"B05003E_017M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen"
"B05003E_018E","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen"
"B05003E_018M","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen"
"B05003E_019E","Estimate!!Total!!Female!!18 years and over"
"B05003E_019M","Margin of Error!!Total!!Female!!18 years and over"
"B05003E_020E","Estimate!!Total!!Female!!18 years and over!!Native"
"B05003E_020M","Margin of Error!!Total!!Female!!18 years and over!!Native"
"B05003E_021E","Estimate!!Total!!Female!!18 years and over!!Foreign born"
"B05003E_021M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born"
"B05003E_022E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen"
"B05003E_022M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen"
"B05003E_023E","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
"B05003E_023M","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen"
