"GEO_ID","NAME","B05003E_001E","B05003E_001M","B05003E_002E","B05003E_002M","B05003E_003E","B05003E_003M","B05003E_004E","B05003E_004M","B05003E_005E","B05003E_005M","B05003E_006E","B05003E_006M","B05003E_007E","B05003E_007M","B05003E_008E","B05003E_008M","B05003E_009E","B05003E_009M","B05003E_010E","B05003E_010M","B05003E_011E","B05003E_011M","B05003E_012E","B05003E_012M","B05003E_013E","B05003E_013M","B05003E_014E","B05003E_014M","B05003E_015E","B05003E_015M","B05003E_016E","B05003E_016M","B05003E_017E","B05003E_017M","B05003E_018E","B05003E_018M","B05003E_019E","B05003E_019M","B05003E_020E","B05003E_020M","B05003E_021E","B05003E_021M","B05003E_022E","B05003E_022M","B05003E_023E","B05003E_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US01","Alabama","1430","264","784","190","141","100","137","99","4","8","4","8","0","27","643","157","587","157","56","39","30","28","26","31","646","182","102","45","82","42","20","20","5","8","15","18","544","169","392","142","152","94","61","49","91","72",
"0400000US02","Alaska","8335","335","4075","251","1539","185","1519","189","20","23","0","22","20","23","2536","145","1946","217","590","189","190","136","400","139","4260","199","1610","136","1564","142","46","49","5","9","41","48","2650","117","2148","185","502","148","146","88","356","141",
"0400000US04","Arizona","12638","669","6768","421","2009","301","1933","298","76","79","40","51","36","47","4759","263","3938","318","821","169","266","104","555","141","5870","377","1972","276","1855","273","117","101","72","84","45","46","3898","221","3018","247","880","217","295","115","585","192",
"0400000US05","Arkansas","6278","493","3250","327","1383","216","852","182","531","161","0","27","531","161","1867","193","346","191","1521","210","30","35","1491","214","3028","309","1387","217","1048","256","339","281","0","27","339","281","1641","193","410","180","1231","206","72","60","1159","203",
"0400000US06","California","147286","1999","72818","1313","17934","716","16985","750","949","218","205","119","744","185","54884","940","37827","1185","17057","889","8637","597","8420","652","74468","1293","17164","807","16175","806","989","233","278","125","711","211","57304","910","38900","1085","18404","993","9829","568","8575","901",
"0400000US08","Colorado","6641","516","3223","295","709","193","659","194","50","59","5","8","45","59","2514","228","2165","239","349","138","115","70","234","113","3418","397","860","209","839","204","21","32","0","28","21","32","2558","290","2118","297","440","169","23","27","417","170",
"0400000US09","Connecticut","1105","263","494","172","104","33","88","34","16","24","9","18","7","12","390","163","294","145","96","91","17","20","79","87","611","176","89","63","64","58","25","28","25","28","0","28","522","174","386","157","136","91","37","35","99","70",
"0400000US10","Delaware","494","363","234","197","35","57","35","57","0","27","0","27","0","27","199","152","81","47","118","140","13","20","105","139","260","194","87","119","15","25","72","117","0","27","72","117","173","97","83","56","90","89","39","55","51","71",
"0400000US11","District of Columbia","195","107","49","67","0","29","0","29","0","29","0","29","0","29","49","67","16","25","33","59","33","59","0","29","146","91","0","29","0","29","0","29","0","29","0","29","146","91","146","91","0","29","0","29","0","29",
"0400000US12","Florida","12128","877","6149","622","1638","313","1492","290","146","106","84","80","62","71","4511","501","3620","513","891","221","388","140","503","184","5979","543","1377","304","1352","301","25","34","0","31","25","34","4602","420","3368","438","1234","284","681","231","553","167",
"0400000US13","Georgia","4317","533","2190","332","625","173","574","163","51","34","0","30","51","34","1565","255","1323","236","242","98","134","83","108","59","2127","361","502","152","467","154","35","34","0","30","35","34","1625","282","1169","265","456","166","135","74","321","141",
"0400000US15","Hawaii","138735","2578","70200","1382","21169","820","19507","836","1662","346","48","32","1614","347","49031","914","39480","1036","9551","811","1605","327","7946","707","68535","1523","19860","788","18202","775","1658","312","38","32","1620","315","48675","912","39297","1025","9378","845","1213","240","8165","802",
"0400000US16","Idaho","2177","404","1135","246","256","110","256","110","0","27","0","27","0","27","879","213","623","190","256","133","55","51","201","119","1042","233","315","129","248","119","67","48","39","40","28","25","727","183","619","175","108","54","21","23","87","48",
"0400000US17","Illinois","3240","387","1727","274","412","134","373","129","39","38","39","38","0","26","1315","223","936","185","379","132","56","42","323","130","1513","240","220","90","192","82","28","35","28","35","0","26","1293","189","1050","174","243","84","165","72","78","46",
"0400000US18","Indiana","2076","411","1025","280","304","133","252","108","52","64","31","51","21","35","721","187","578","164","143","99","0","27","143","99","1051","222","351","111","317","110","34","35","34","35","0","27","700","181","433","141","267","134","91","71","176","117",
"0400000US19","Iowa","1715","409","1047","260","260","131","238","128","22","30","0","22","22","30","787","193","562","156","225","125","7","11","218","125","668","228","164","101","141","100","23","24","0","22","23","24","504","148","217","86","287","130","78","59","209","104",
"0400000US20","Kansas","1655","253","946","221","208","91","188","87","20","19","20","19","0","24","738","186","637","179","101","51","23","28","78","39","709","138","211","87","207","87","4","8","4","8","0","24","498","120","436","131","62","106","9","15","53","102",
"0400000US21","Kentucky","2109","437","995","247","208","97","208","97","0","27","0","27","0","27","787","211","582","170","205","114","32","28","173","112","1114","277","354","149","338","142","16","26","0","27","16","26","760","191","534","146","226","107","48","28","178","103",
"0400000US22","Louisiana","1671","274","836","185","212","63","187","60","25","29","25","29","0","28","624","169","487","139","137","75","39","32","98","63","835","171","259","98","226","88","33","41","33","41","0","28","576","132","454","139","122","72","33","30","89","66",
"0400000US23","Maine","198","99","17","17","4","12","4","12","0","23","0","23","0","23","13","14","9","12","4","7","0","23","4","7","181","90","39","48","35","48","4","5","4","5","0","23","142","71","106","62","36","31","29","31","7","10",
"0400000US24","Maryland","2425","291","1170","189","294","90","275","81","19","31","19","31","0","28","876","180","729","167","147","77","103","66","44","34","1255","205","220","64","220","64","0","28","0","28","0","28","1035","178","818","203","217","108","149","96","68","54",
