"GEO_ID","NAME","B05003F_001E","B05003F_001M","B05003F_002E","B05003F_002M","B05003F_003E","B05003F_003M","B05003F_004E","B05003F_004M","B05003F_005E","B05003F_005M","B05003F_006E","B05003F_006M","B05003F_007E","B05003F_007M","B05003F_008E","B05003F_008M","B05003F_009E","B05003F_009M","B05003F_010E","B05003F_010M","B05003F_011E","B05003F_011M","B05003F_012E","B05003F_012M","B05003F_013E","B05003F_013M","B05003F_014E","B05003F_014M","B05003F_015E","B05003F_015M","B05003F_016E","B05003F_016M","B05003F_017E","B05003F_017M","B05003F_018E","B05003F_018M","B05003F_019E","B05003F_019M","B05003F_020E","B05003F_020M","B05003F_021E","B05003F_021M","B05003F_022E","B05003F_022M","B05003F_023E","B05003F_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US01","Alabama","58618","3252","32729","1946","11726","1042","9558","982","2168","448","278","182","1890","412","21003","1284","4960","781","16043","1102","2381","406","13662","1018","25889","1624","10115","916","8523","729","1592","450","259","178","1333","397","15774","982","4930","644","10844","805","1914","359","8930","690",
"0400000US02","Alaska","8382","997","4234","556","1046","285","980","257","66","74","0","22","66","74","3188","392","1940","326","1248","270","727","220","521","143","4148","573","1097","267","1043","263","54","35","50","34","4","6","3051","432","1651","308","1400","281","775","195","625","180",
"0400000US04","Arizona","418033","8469","212717","4501","67114","2337","62312","2341","4802","600","598","187","4204","586","145603","3177","82072","2486","63531","2306","18760","1209","44771","2176","205316","4958","66236","2724","62007","2603","4229","584","527","176","3702","538","139080","2863","76803","2198","62277","1929","20404","1021","41873","1586",
"0400000US05","Arkansas","60565","2676","33081","1688","12358","857","10931","899","1427","334","221","140","1206","299","20723","1090","5807","605","14916","950","3210","539","11706","907","27484","1288","10459","681","8846","633","1613","323","130","104","1483","307","17025","882","5421","562","11604","835","2424","365","9180","803",
"0400000US06","California","4890329","34831","2489281","17714","766853","7786","715851","7151","51002","2071","4783","628","46219","1848","1722428","12528","722354","6794","1000074","10180","296616","3478","703458","9556","2401048","18668","744953","8117","694368","8178","50585","1514","4654","501","45931","1462","1656095","12319","704529","6477","951566","8830","329264","4026","622302","6927",
"0400000US08","Colorado","240282","6588","124980","3546","40989","1912","37400","1722","3589","593","262","112","3327","586","83991","2330","45550","1604","38441","1798","8488","686","29953","1534","115302","3707","38710","1899","35772","1818","2938","433","451","197","2487","426","76592","2442","43546","1704","33046","1734","8440","660","24606","1496",
"0400000US09","Connecticut","183297","4401","94801","2320","26939","1191","25144","1179","1795","406","313","141","1482","379","67862","1861","35018","1355","32844","1829","5637","650","27207","1693","88496","2614","26624","1385","24719","1292","1905","383","244","114","1661","364","61872","1650","35730","1414","26142","1377","7584","700","18558","1414",
"0400000US10","Delaware","20369","1702","10559","1049","3302","511","2982","452","320","149","5","9","315","147","7257","700","3245","449","4012","530","1040","229","2972","504","9810","873","3131","485","2942","474","189","85","43","52","146","89","6679","614","3411","448","3268","505","762","215","2506","476",
"0400000US11","District of Columbia","23999","1851","12554","1039","2999","436","2584","396","415","183","15","27","400","186","9555","784","2673","461","6882","716","1833","327","5049","648","11445","1045","3122","466","2685","411","437","194","133","109","304","177","8323","738","2355","385","5968","654","1828","352","4140","641",
