"GEO_ID","NAME","B05003G_001E","B05003G_001M","B05003G_002E","B05003G_002M","B05003G_003E","B05003G_003M","B05003G_004E","B05003G_004M","B05003G_005E","B05003G_005M","B05003G_006E","B05003G_006M","B05003G_007E","B05003G_007M","B05003G_008E","B05003G_008M","B05003G_009E","B05003G_009M","B05003G_010E","B05003G_010M","B05003G_011E","B05003G_011M","B05003G_012E","B05003G_012M","B05003G_013E","B05003G_013M","B05003G_014E","B05003G_014M","B05003G_015E","B05003G_015M","B05003G_016E","B05003G_016M","B05003G_017E","B05003G_017M","B05003G_018E","B05003G_018M","B05003G_019E","B05003G_019M","B05003G_020E","B05003G_020M","B05003G_021E","B05003G_021M","B05003G_022E","B05003G_022M","B05003G_023E","B05003G_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US01","Alabama","76428","2711","38219","1579","18004","1068","17805","1049","199","127","25","32","174","127","20215","970","18411","882","1804","378","701","210","1103","314","38209","1664","18471","1075","17999","1081","472","221","164","85","308","193","19738","934","18331","884","1407","241","634","151","773","184",
"0400000US02","Alaska","58521","1748","29714","1034","14866","696","14728","704","138","66","52","41","86","53","14848","658","14177","621","671","200","483","169","188","100","28807","1090","13706","756","13569","751","137","80","19","22","118","78","15101","787","14386","776","715","219","464","187","251","103",
"0400000US04","Arizona","200532","6290","99673","3387","50192","2323","49514","2278","678","220","126","85","552","197","49481","1784","41703","1477","7778","775","3518","456","4260","589","100859","3610","48973","2230","48367","2217","606","152","93","69","513","163","51886","2033","43357","1889","8529","726","4825","561","3704","442",
"0400000US05","Arkansas","59238","1917","28894","1130","13105","771","13013","763","92","84","9","14","83","81","15789","802","14508","748","1281","294","503","159","778","243","30344","1208","13832","809","13761","804","71","45","43","42","28","18","16512","754","15247","738","1265","284","513","161","752","219",
"0400000US06","California","1698173","22403","851175","11621","381405","6562","374560","6539","6845","862","1705","305","5140","775","469770","7019","363508","5706","106262","2687","58374","1834","47888","1885","846998","12396","362112","6487","356053","6425","6059","581","1579","304","4480","497","484886","7547","376688","6384","108198","2899","63318","1936","44880","1651",
"0400000US08","Colorado","180206","4362","89672","2464","41409","1702","40931","1674","478","138","178","76","300","113","48263","1404","42895","1296","5368","546","2522","346","2846","459","90534","2544","40697","1540","40094","1508","603","201","263","116","340","144","49837","1530","45026","1348","4811","551","2312","357","2499","391",
"0400000US09","Connecticut","98797","3271","48329","2014","24342","1094","23725","1133","617","195","114","60","503","196","23987","1338","19462","1194","4525","456","1931","286","2594","364","50468","1948","23918","1310","23436","1277","482","161","182","96","300","136","26550","1129","21576","983","4974","470","2534","345","2440","359",
"0400000US10","Delaware","23936","1670","11651","927","6575","756","6501","754","74","81","52","72","22","35","5076","485","4470","473","606","179","304","92","302","146","12285","1041","6515","700","6462","697","53","41","26","28","27","32","5770","555","5103","521","667","163","332","121","335","124",
"0400000US11","District of Columbia","15592","1264","7178","667","2458","389","2411","382","47","42","11","18","36","39","4720","504","3554","396","1166","318","577","186","589","223","8414","801","2599","433","2351","401","248","130","73","68","175","106","5815","561","4730","499","1085","292","487","166","598","203",
"0400000US12","Florida","453399","9152","224868","5083","102915","3189","100397","3169","2518","473","682","198","1836","397","121953","3380","86238","2584","35715","1855","20219","1236","15496","1252","228531","5364","98540","2915","96067","2903","2473","473","813","225","1660","374","129991","3660","88732","2424","41259","2002","24896","1446","16363","1224",
"0400000US13","Georgia","200871","5437","95874","3284","51519","2385","50078","2377","1441","386","488","194","953","290","44355","2092","35946","1729","8409","871","3851","495","4558","689","104997","2839","52417","2018","51006","1994","1411","356","400","161","1011","321","52580","1846","43242","1610","9338","943","5222","636","4116","606",
"0400000US15","Hawaii","328433","4590","166434","2812","64850","1494","64315","1408","535","224","150","86","385","202","101584","2001","98446","2105","3138","425","1956","290","1182","281","161999","2668","61827","1558","61619","1575","208","79","39","29","169","69","100172","1974","96107","1960","4065","490","2554","307","1511","378",
"0400000US16","Idaho","39556","1652","20625","1054","9853","717","9612","695","241","145","87","109","154","87","10772","688","9866","603","906","274","248","103","658","236","18931","968","9042","694","8924","697","118","80","22","24","96","73","9889","648","8977","625","912","224","380","140","532","170",
"0400000US17","Illinois","277892","5507","138547","3163","71274","1883","69905","1916","1369","258","746","183","623","201","67273","2053","53053","1796","14220","839","7420","602","6800","682","139345","3259","68524","2186","67658","2198","866","180","407","121","459","163","70821","1905","58126","1641","12695","886","6999","563","5696","556",
"0400000US18","Indiana","141137","3364","71035","2115","39067","1716","38652","1692","415","178","57","52","358","169","31968","1267","28301","1165","3667","502","1396","304","2271","408","70102","1854","37568","1320","37127","1334","441","169","126","54","315","156","32534","1091","28938","961","3596","449","1512","280","2084","389",
"0400000US19","Iowa","58221","1917","30245","1358","16766","959","16614","977","152","94","38","45","114","84","13479","947","11360","762","2119","401","635","168","1484","340","27976","998","15981","758","15790","731","191","137","102","81","89","96","11995","687","10498","636","1497","326","640","137","857","290",
"0400000US20","Kansas","95030","2581","48644","1501","25336","1001","25133","973","203","109","81","46","122","87","23308","880","21323","863","1985","352","680","162","1305","310","46386","1610","23400","1144","23158","1125","242","128","55","34","187","126","22986","937","21091","891","1895","293","882","209","1013","216",
"0400000US21","Kentucky","86627","2944","42048","1649","23180","1203","22874","1170","306","159","158","85","148","106","18868","979","17206","937","1662","287","707","164","955","236","44579","1775","24787","1170","24271","1132","516","169","228","106","288","120","19792","945","18213","884","1579","332","746","187","833","243",
"0400000US22","Louisiana","77809","2558","38057","1554","18122","1089","17950","1095","172","96","83","58","89","67","19935","1127","16804","982","3131","545","782","205","2349","485","39752","1733","18522","1077","18335","1087","187","82","95","56","92","58","21230","1177","19332","1078","1898","332","1052","237","846","206",
"0400000US23","Maine","25242","924","12627","590","5961","410","5904","407","57","45","17","19","40","42","6666","423","6173","411","493","162","192","101","301","136","12615","626","5505","416","5356","426","149","99","74","51","75","89","7110","386","6653","371","457","125","182","88","275","116",
"0400000US24","Maryland","169506","4153","83108","2388","41240","1590","40331","1585","909","305","219","102","690","284","41868","1692","31623","1330","10245","891","5088","565","5157","663","86398","2606","41156","1736","40403","1735","753","198","282","104","471","165","45242","1654","35573","1573","9669","649","5806","525","3863","498",
"0400000US25","Massachusetts","190267","4464","96138","2718","41221","1471","39407","1427","1814","355","505","151","1309","309","54917","1885","30899","1429","24018","1398","6381","577","17637","1300","94129","2590","38326","1569","36528","1479","1798","424","343","136","1455","381","55803","1676","35120","1171","20683","1304","8227","777","12456","1001",
"0400000US26","Michigan","253535","5363","125463","2913","65377","1874","64216","1847","1161","295","524","164","637","229","60086","1780","52907","1568","7179","553","3910","396","3269","467","128072","3154","62541","1994","61681","1966","860","199","349","134","511","155","65531","1688","58472","1530","7059","493","3914","359","3145","342",
"0400000US27","Minnesota","139018","3322","69650","1775","40466","1208","39969","1185","497","143","213","83","284","97","29184","1146","25685","1025","3499","497","1813","265","1686","444","69368","2088","37634","1403","37245","1388","389","142","134","63","255","118","31734","1230","28246","1120","3488","473","1962","325","1526","345",
"0400000US28","Mississippi","34426","2051","16901","1298","9410","954","9296","951","114","70","13","22","101","71","7491","643","6683","607","808","278","192","78","616","243","17525","1206","9415","947","9366","950","49","53","0","29","49","53","8110","686","7484","646","626","178","256","110","370","154",
"0400000US29","Missouri","144268","3381","72053","2304","35706","1666","35160","1655","546","142","78","52","468","138","36347","1239","31665","1112","4682","552","1877","417","2805","452","72215","1721","34332","1316","33880","1307","452","200","78","57","374","181","37883","1144","33871","1065","4012","488","1877","308","2135","335",
"0400000US30","Montana","24899","1098","12250","757","5600","482","5546","485","54","44","42","39","12","17","6650","517","6439","537","211","118","98","65","113","84","12649","752","5777","506","5725","505","52","40","52","40","0","23","6872","515","6696","505","176","82","122","67","54","37",
"0400000US31","Nebraska","41316","1555","19979","883","11153","673","11076","667","77","51","41","40","36","31","8826","580","7708","576","1118","196","519","123","599","144","21337","1047","11206","719","11050","724","156","72","72","60","84","47","10131","735","9008","660","1123","252","430","129","693","198",
"0400000US32","Nevada","116058","3954","56695","2020","27622","1342","27207","1341","415","161","75","64","340","157","29073","1239","24172","1066","4901","635","2574","363","2327","406","59363","2442","27892","1517","27534","1498","358","140","101","96","257","101","31471","1462","25905","1217","5566","580","3246","431","2320","372",
