"GEO_ID","NAME","B05003H_001E","B05003H_001M","B05003H_002E","B05003H_002M","B05003H_003E","B05003H_003M","B05003H_004E","B05003H_004M","B05003H_005E","B05003H_005M","B05003H_006E","B05003H_006M","B05003H_007E","B05003H_007M","B05003H_008E","B05003H_008M","B05003H_009E","B05003H_009M","B05003H_010E","B05003H_010M","B05003H_011E","B05003H_011M","B05003H_012E","B05003H_012M","B05003H_013E","B05003H_013M","B05003H_014E","B05003H_014M","B05003H_015E","B05003H_015M","B05003H_016E","B05003H_016M","B05003H_017E","B05003H_017M","B05003H_018E","B05003H_018M","B05003H_019E","B05003H_019M","B05003H_020E","B05003H_020M","B05003H_021E","B05003H_021M","B05003H_022E","B05003H_022M","B05003H_023E","B05003H_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US01","Alabama","3206588","656","1568012","448","338178","293","337022","396","1156","295","670","217","486","207","1229834","280","1218646","823","11188","766","6073","518","5115","515","1638576","408","321679","281","320800","321","879","200","361","124","518","150","1316897","242","1302449","910","14448","887","8368","574","6080","597",
"0400000US02","Alaska","458284","283","243270","190","49685","134","49056","255","629","234","242","138","387","196","193585","164","188639","585","4946","550","2801","400","2145","368","215014","227","46636","143","46331","217","305","123","144","88","161","92","168378","167","162006","655","6372","651","3574","395","2798","437",
"0400000US04","Arizona","3734853","858","1846018","540","340911","274","337583","663","3328","603","1143","408","2185","399","1505107","422","1435911","2120","69196","2094","38441","1602","30755","1447","1888835","566","323944","351","320832","618","3112","513","1300","287","1812","395","1564891","398","1482657","2233","82234","2258","47185","1690","35049","1587",
"0400000US05","Arkansas","2178191","774","1070102","506","235911","312","235291","430","620","271","209","143","411","229","834191","299","826909","789","7282","735","3453","422","3829","585","1108089","497","222939","309","222437","382","502","224","187","102","315","211","885150","295","875899","741","9251","683","5061","515","4190","477",
"0400000US06","California","14905601","3435","7430460","1902","1265738","1060","1237197","1858","28541","1500","7594","734","20947","1209","6164722","1274","5549893","6835","614829","6766","388526","4784","226303","3660","7475141","1977","1198015","1001","1170251","1787","27764","1464","7776","679","19988","1215","6277126","1374","5598679","6497","678447","6491","453459","4879","224988","3699",
"0400000US08","Colorado","3605199","1164","1801032","840","364275","352","361202","593","3073","393","973","203","2100","342","1436757","769","1391398","1776","45359","1574","25524","1123","19835","1035","1804167","664","343400","375","340328","577","3072","426","904","224","2168","356","1460767","531","1403281","1824","57486","1711","34746","1194","22740","1205",
"0400000US09","Connecticut","2508360","979","1219993","529","241685","284","237915","508","3770","449","1316","274","2454","385","978308","386","901471","2041","76837","2164","46026","1576","30811","1357","1288367","625","228928","280","225293","494","3635","466","1287","235","2348","416","1059439","491","972565","1914","86874","1986","54996","1328","31878","1322",
"0400000US10","Delaware","590218","363","285924","238","54399","54","54113","110","286","100","186","84","100","48","231525","227","225557","538","5968","536","3850","406","2118","312","304294","200","51851","60","51603","115","248","100","162","72","86","50","252443","188","244854","644","7589","651","5105","476","2484","317",
"0400000US11","District of Columbia","224184","250","111425","156","10658","70","10269","154","389","142","114","64","275","126","100767","140","90672","695","10095","676","3912","359","6183","592","112759","148","10162","84","9675","216","487","196","59","41","428","190","102597","91","92372","697","10225","688","4515","409","5710","566",
"0400000US12","Florida","10958680","3470","5373500","1942","916926","1045","904449","1436","12477","998","3575","450","8902","847","4456574","1209","4178772","4191","277802","4158","155402","2678","122400","3125","5585180","1866","868422","820","855761","1275","12661","980","3812","551","8849","876","4716758","1495","4383211","4122","333547","4116","198134","3047","135413","2738",
"0400000US13","Georgia","5448717","1576","2683039","1003","589160","619","584407","840","4753","557","1759","311","2994","508","2093879","670","2032479","2122","61400","1965","32922","1282","28478","1426","2765678","900","558706","660","554287","823","4419","580","1758","346","2661","466","2206972","549","2138375","2194","68597","2043","39273","1311","29324","1325",
"0400000US15","Hawaii","318407","200","174469","122","21418","59","21108","124","310","114","46","38","264","112","153051","115","144179","620","8872","615","4540","385","4332","524","143938","145","20094","90","19809","150","285","119","45","35","240","118","123844","111","113822","752","10022","736","4962","491","5060","493",
"0400000US16","Idaho","1333061","471","664729","281","168154","141","167337","280","817","252","369","190","448","207","496575","273","488878","865","7697","784","3961","500","3736","593","668332","271","158415","127","157952","205","463","163","107","47","356","161","509917","223","498512","925","11405","859","6819","617","4586","533",
