"GEO_ID","NAME","B05003I_001E","B05003I_001M","B05003I_002E","B05003I_002M","B05003I_003E","B05003I_003M","B05003I_004E","B05003I_004M","B05003I_005E","B05003I_005M","B05003I_006E","B05003I_006M","B05003I_007E","B05003I_007M","B05003I_008E","B05003I_008M","B05003I_009E","B05003I_009M","B05003I_010E","B05003I_010M","B05003I_011E","B05003I_011M","B05003I_012E","B05003I_012M","B05003I_013E","B05003I_013M","B05003I_014E","B05003I_014M","B05003I_015E","B05003I_015M","B05003I_016E","B05003I_016M","B05003I_017E","B05003I_017M","B05003I_018E","B05003I_018M","B05003I_019E","B05003I_019M","B05003I_020E","B05003I_020M","B05003I_021E","B05003I_021M","B05003I_022E","B05003I_022M","B05003I_023E","B05003I_023M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Under 18 years","Margin of Error!!Total!!Male!!Under 18 years","Estimate!!Total!!Male!!Under 18 years!!Native","Margin of Error!!Total!!Male!!Under 18 years!!Native","Estimate!!Total!!Male!!Under 18 years!!Foreign born","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Male!!18 years and over","Margin of Error!!Total!!Male!!18 years and over","Estimate!!Total!!Male!!18 years and over!!Native","Margin of Error!!Total!!Male!!18 years and over!!Native","Estimate!!Total!!Male!!18 years and over!!Foreign born","Margin of Error!!Total!!Male!!18 years and over!!Foreign born","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Male!!18 years and over!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Under 18 years","Margin of Error!!Total!!Female!!Under 18 years","Estimate!!Total!!Female!!Under 18 years!!Native","Margin of Error!!Total!!Female!!Under 18 years!!Native","Estimate!!Total!!Female!!Under 18 years!!Foreign born","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!Under 18 years!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Female!!18 years and over","Margin of Error!!Total!!Female!!18 years and over","Estimate!!Total!!Female!!18 years and over!!Native","Margin of Error!!Total!!Female!!18 years and over!!Native","Estimate!!Total!!Female!!18 years and over!!Foreign born","Margin of Error!!Total!!Female!!18 years and over!!Foreign born","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Female!!18 years and over!!Foreign born!!Not a U.S. citizen",
"0400000US01","Alabama","191838","491","104901","627","37058","516","33307","659","3751","579","507","232","3244","536","67843","458","23424","1167","44419","1203","7008","722","37411","1327","86937","582","34484","508","30713","805","3771","632","548","203","3223","605","52453","357","21802","941","30651","914","6224","623","24427","946",
"0400000US02","Alaska","45247","117","23839","177","8383","117","8240","150","143","89","10","12","133","90","15456","160","11237","505","4219","515","2054","294","2165","479","21408","151","7795","123","7643","146","152","79","116","75","36","25","13613","137","9990","437","3623","400","2087","250","1536","281",
"0400000US04","Arizona","1977026","*****","992980","78","357037","79","338187","1164","18850","1170","1682","324","17168","1119","635943","*****","374754","3487","261189","3487","76261","1966","184928","3289","984046","78","344100","81","326267","1426","17833","1418","1839","311","15994","1329","639946","*****","375442","3583","264504","3584","85222","1855","179282","3350",
"0400000US05","Arkansas","198109","120","104844","589","40609","505","36469","605","4140","571","431","173","3709","553","64235","397","22267","1105","41968","1035","9516","908","32452","1335","93265","592","38388","517","34736","741","3652","585","542","205","3110","553","54877","332","20689","983","34188","1041","7537","619","26651","1094",
"0400000US06","California","14534449","*****","7326154","331","2422163","238","2281599","3122","140564","3103","14342","1001","126222","2967","4903991","361","2328536","10892","2575455","10893","813166","7003","1762289","13362","7208295","331","2331958","226","2198489","2683","133469","2740","13085","754","120384","2732","4876337","177","2365881","9294","2510456","9265","916638","6840","1593818","10172",
"0400000US08","Colorado","1088602","*****","554752","664","195530","543","184060","1075","11470","935","1214","314","10256","805","359222","552","225936","2778","133286","2723","29307","1071","103979","2603","533850","659","186098","487","176190","924","9908","834","1130","275","8778","797","347752","531","234426","2426","113326","2409","28848","1344","84478","2091",
"0400000US09","Connecticut","512795","*****","256519","50","85091","50","80262","632","4829","622","839","220","3990","544","171428","*****","103942","2003","67486","2004","17575","999","49911","1857","256276","50","81515","50","77249","464","4266","462","813","216","3453","416","174761","*****","115699","1490","59062","1489","21943","1114","37119","1499",
"0400000US10","Delaware","78598","*****","40423","*****","14430","*****","13296","268","1134","267","281","143","853","221","25993","*****","12665","698","13328","701","3343","392","9985","746","38175","*****","14111","*****","13201","217","910","217","156","91","754","209","24064","*****","13598","731","10466","731","2797","356","7669","587",
"0400000US11","District of Columbia","62637","*****","32206","*****","7418","*****","6424","227","994","227","150","85","844","227","24788","*****","8680","699","16108","699","4287","511","11821","749","30431","*****","7294","*****","6255","229","1039","229","349","164","690","195","23137","*****","8945","553","14192","552","4254","397","9938","638",
"0400000US12","Florida","4517191","170","2231622","529","588512","459","524212","2133","64300","2030","11377","847","52923","1777","1643110","377","659675","6097","983435","6125","443540","4841","539895","6943","2285569","477","561582","412","502220","1991","59362","2000","11408","839","47954","1871","1723987","275","675153","6168","1048834","6167","564018","4838","484816","5915",
"0400000US13","Georgia","896717","655","477785","1272","169699","1050","153066","1636","16633","1417","1793","368","14840","1406","308086","968","91805","2526","216281","2513","40454","1690","175827","2756","418932","1138","161015","996","146266","1494","14749","1106","2061","471","12688","1079","257917","620","93167","1976","164750","1951","38361","1475","126389","2288",
"0400000US15","Hawaii","133485","*****","68661","*****","25666","*****","25571","54","95","53","47","35","48","39","42995","*****","37079","622","5916","621","3363","429","2553","397","64824","*****","24208","*****","24054","87","154","88","107","77","47","34","40616","*****","34690","609","5926","608","3631","443","2295","407",
"0400000US16","Idaho","186374","*****","96843","301","38340","234","35688","423","2652","361","335","154","2317","351","58503","193","28849","898","29654","922","8082","679","21572","835","89531","302","36866","239","34798","453","2068","369","241","112","1827","350","52665","201","29390","927","23275","938","6470","615","16805","887",
"0400000US17","Illinois","2095495","334","1077893","486","369895","304","346754","1256","23141","1211","3483","419","19658","1189","707998","403","302565","3546","405433","3523","126785","2344","278648","3763","1017602","460","356161","346","334537","1222","21624","1211","3419","468","18205","1140","661441","317","305524","2940","355917","2907","122138","2236","233779","2879",
