District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Nationwide,USA,62.1,12.3,17.3,5.4,0.7,2.2,65.2,11.9,15.2,5.5,0.6,1.5,65.7,12.8,14.3,4.2,0.7,2.3,69.8,12.4,11.4,4.2,0.7,1.6,"318,558,105","197,855,775","39,330,370","55,199,100","17,145,189","2,098,970","6,928,840","244,945,685","159,602,340","29,243,750","37,252,350","13,591,144","1,532,785","3,723,304","296,343,270","194,778,760","37,790,825","42,518,510","12,418,839","2,087,110","6,749,165","224,603,595","156,786,755","27,889,185","25,502,380","9,330,739","1,522,275","3,572,279"
Alabama's 1st,AL-01,65.4,27.7,3.0,1.5,0.9,1.5,67.8,26.2,2.6,1.4,1.0,1.1,66.2,28.0,2.3,1.0,1.0,1.5,68.7,26.5,1.8,0.9,1.0,1.1,"699,595","457,745","193,805","20,830","10,260","6,630","10,325","536,070","363,600","140,300","13,740","7,520","5,210","5,700","688,770","455,630","193,165","16,105","7,100","6,600","10,160","526,450","361,635","139,660","9,590","4,825","5,180","5,555"
Alabama's 2nd,AL-02,62.6,30.7,3.5,1.2,0.4,1.6,65.1,29.4,2.8,1.2,0.4,1.1,63.4,31.1,2.7,0.7,0.4,1.6,66.1,29.9,1.8,0.7,0.4,1.1,"683,015","427,630","209,880","23,860","8,005","2,430","11,200","525,595","342,300","154,760","14,565","6,155","1,890","5,925","671,185","425,750","208,900","18,225","4,850","2,420","11,045","514,995","340,575","153,890","9,380","3,445","1,885","5,825"
Alabama's 3rd,AL-03,68.5,25.3,2.9,1.6,0.3,1.5,70.2,24.7,2.4,1.5,0.3,0.9,69.4,25.7,2.3,0.8,0.3,1.5,71.4,25.1,1.7,0.7,0.3,0.9,"700,550","479,895","177,130","20,320","11,120","1,785","10,300","544,465","382,445","134,430","13,010","8,355","1,500","4,720","687,545","477,470","176,380","16,020","5,630","1,785","10,260","532,720","380,170","133,730","8,915","3,720","1,500","4,680"
Alabama's 4th,AL-04,84.0,6.9,6.2,0.7,0.7,1.6,86.1,6.8,4.6,0.6,0.7,1.2,86.2,7.0,4.0,0.5,0.7,1.6,88.8,6.9,1.8,0.5,0.7,1.3,"683,605","574,240","47,040","42,320","4,555","4,750","10,705","527,355","454,055","35,740","24,050","3,310","3,775","6,430","664,720","573,010","46,610","26,335","3,350","4,750","10,665","510,100","452,980","35,350","9,260","2,330","3,775","6,395"
Alabama's 5th,AL-05,73.3,17.2,4.9,1.7,0.6,2.4,75.3,16.8,3.9,1.7,0.6,1.7,75.0,17.4,3.5,1.2,0.6,2.4,77.3,17.1,2.2,1.1,0.6,1.6,"704,795","516,840","121,015","34,490","11,750","3,925","16,775","546,890","411,900","91,940","21,200","9,570","3,240","9,040","686,530","514,600","119,585","24,065","8,025","3,915","16,340","530,085","409,960","90,580","11,585","6,095","3,230","8,635"
Alabama's 6th,AL-06,77.1,14.7,4.9,1.7,0.2,1.4,79.3,14.1,3.8,1.6,0.2,0.9,79.2,15.0,3.0,1.2,0.2,1.4,81.8,14.4,1.6,1.0,0.2,0.9,"694,370","535,565","102,025","33,720","12,015","1,510","9,525","530,430","420,620","74,645","20,200","8,750","1,225","4,985","673,110","533,360","100,655","20,235","8,070","1,510","9,285","511,790","418,605","73,710","8,140","5,340","1,225","4,760"
Alabama's 7th,AL-07,32.1,63.4,2.7,0.8,0.1,1.0,35.0,60.9,2.3,0.8,0.1,0.8,32.5,64.3,1.6,0.4,0.1,1.0,35.6,62.1,1.1,0.4,0.1,0.8,"675,230","216,635","427,850","17,960","5,335",930,"6,515","525,175","183,905","320,035","12,120","4,420",705,"3,985","662,645","215,315","426,305","10,880","2,795",930,"6,425","513,355","182,625","318,590","5,505","2,040",705,"3,885"
Alaska's At-Large,AK-AL,62.1,3.2,6.7,7.1,13.7,7.3,66.1,3.2,5.8,7.0,12.5,5.4,63.5,3.1,6.4,5.4,14.1,7.5,67.9,3.1,5.4,5.0,13.0,5.6,"736,855","457,540","23,235","49,030","52,365","100,715","53,970","549,240","363,045","17,565","31,785","38,660","68,595","29,590","712,745","452,800","21,855","45,260","38,585","100,690","53,555","527,810","358,490","16,520","28,280","26,625","68,570","29,325"
Arizona's 1st,AZ-01,49.6,2.2,21.7,1.7,22.8,2.0,54.4,2.2,19.2,1.8,20.8,1.6,50.8,2.2,20.1,1.3,23.7,2.0,56.1,2.2,17.1,1.3,21.8,1.6,"735,985","365,115","15,955","159,405","12,605","168,035","14,870","554,690","301,885","12,050","106,260","10,195","115,495","8,815","709,770","360,450","15,500","142,430","8,970","167,985","14,440","530,215","297,295","11,750","90,410","6,880","115,445","8,445"
