State,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino, Asian and Pacific Islander,Native American,Other/Multi,Total,White (Non-Latino),Black,Latino,Asian and Pacific Islander,Native American,Other/Multi
Nationwide,62.1,12.3,17.3,5.4,0.7,2.2,65.2,11.9,15.2,5.5,0.6,1.5,65.7,12.8,14.3,4.2,0.7,2.3,69.8,12.4,11.4,4.2,0.7,1.6,"318,558,105","197,855,775","39,330,370","55,199,100","17,145,189","2,098,970","6,928,840","244,945,685","159,602,340","29,243,750","37,252,350","13,591,144","1,532,785","3,723,304","296,343,270","194,778,760","37,790,825","42,518,510","12,418,839","2,087,110","6,749,165","224,603,595","156,786,755","27,889,185","25,502,380","9,330,739","1,522,275","3,572,279"
Alabama,66.3,26.4,4.0,1.3,0.5,1.6,68.5,25.5,3.2,1.3,0.5,1.1,67.5,26.9,2.8,0.8,0.5,1.6,70.0,26.0,1.7,0.8,0.5,1.1,"4,841,160","3,208,550","1,278,745","193,500","63,040","21,960","75,345","3,735,980","2,558,825","951,850","118,885","48,080","17,545","40,785","4,734,505","3,195,135","1,271,600","131,865","39,820","21,910","74,180","3,639,495","2,546,550","945,510","62,375","27,795","17,500",39735
Alaska,62.1,3.2,6.7,7.1,13.7,7.3,66.1,3.2,5.8,7.0,12.5,5.4,63.5,3.1,6.4,5.4,14.1,7.5,67.9,3.1,5.4,5.0,13.0,5.6,"736,855","457,540","23,235","49,030","52,365","100,715","53,970","549,240","363,045","17,565","31,785","38,660","68,595","29,590","712,745","452,800","21,855","45,260","38,585","100,690","53,555","527,810","358,490","16,520","28,280","26,625","68,570",29325
Arizona,56.3,4.0,30.5,3.2,4.0,2.0,61.3,3.9,26.4,3.3,3.6,1.4,60.0,4.2,27.0,2.4,4.3,2.1,66.4,4.1,21.5,2.5,4.0,1.5,"6,728,580","3,786,195","271,740","2,054,850","213,570","266,975","135,245","5,108,965","3,131,220","200,910","1,348,580","169,235","185,970","73,060","6,192,380","3,713,075","257,705","1,671,880","150,875","266,305","132,560","4,613,575","3,062,780","190,080","991,500","113,155","185,380",70685
Arkansas,73.5,15.5,7.0,1.6,0.5,1.9,76.3,14.6,5.5,1.6,0.6,1.4,75.6,15.9,5.0,1.1,0.6,2.0,78.9,15.1,3.0,0.9,0.6,1.4,"2,968,470","2,180,390","458,875","207,055","48,875","16,325","56,980","2,261,240","1,725,465","330,180","125,495","35,935","12,815","31,365","2,874,015","2,171,525","456,850","142,530","30,670","16,295","56,150","2,175,340","1,717,230","328,360","66,205","20,095","12,790",30665
California,38.6,5.6,38.6,14.1,0.4,2.7,42.3,5.8,34.4,15.0,0.4,2.1,43.2,6.3,34.2,12.8,0.4,3.1,48.9,6.7,28.0,13.5,0.4,2.4,"38,654,210","14,906,720","2,179,645","14,903,970","5,467,440","138,565","1,057,885","29,513,915","12,484,440","1,700,180","10,166,495","4,435,330","109,655","617,770","33,355,855","14,398,410","2,117,530","11,422,245","4,256,750","137,295","1,023,655","24,582,595","12,021,740","1,644,655","6,891,460","3,327,435","108,530",588785
Colorado,69.1,3.9,21.1,3.0,0.5,2.2,72.8,3.8,18.1,3.1,0.5,1.7,72.6,3.8,18.4,2.3,0.6,2.3,77.1,3.7,14.6,2.3,0.6,1.7,"5,359,300","3,705,555","209,565","1,132,295","162,670","28,930","120,285","4,113,115","2,993,445","156,290","745,285","127,145","22,540","68,395","5,041,535","3,657,845","193,740","927,210","115,965","28,850","117,915","3,824,440","2,949,810","143,075","556,665","86,110","22,485",66305
Connecticut,68.9,9.8,15.0,4.3,0.1,1.8,72.0,9.4,13.0,4.3,0.1,1.2,72.1,9.5,13.3,2.9,0.1,1.9,76.0,9.1,10.8,2.7,0.1,1.3,"3,588,570","2,473,260","351,360","537,725","155,055","5,035","66,115","2,814,920","2,025,990","264,670","365,945","119,700","3,930","34,695","3,333,940","2,404,860","317,455","444,715","98,130","4,880","63,900","2,582,880","1,962,115","234,745","280,100","69,200","3,800",32935
Delaware,63.7,21.2,8.8,3.7,0.3,2.2,67.2,20.2,7.2,3.7,0.3,1.3,66.2,21.6,7.2,2.4,0.3,2.3,70.5,20.6,5.1,2.2,0.3,1.3,"934,695","595,050","198,445","82,660","34,740","2,945","20,850","730,505","491,130","147,915","52,610","27,255","2,340","9,255","890,715","589,905","191,990","63,760","21,635","2,930","20,495","689,655","486,215","142,015","34,980","15,190","2,340",8915
Florida,55.8,15.6,24.1,2.7,0.2,1.6,58.9,14.3,22.7,2.7,0.2,1.1,59.8,15.7,20.4,2.2,0.2,1.7,64.0,14.4,18.2,2.1,0.2,1.2,"19,934,455","11,123,515","3,101,725","4,806,855","533,800","41,175","327,390","15,868,175","9,350,625","2,275,690","3,603,425","429,895","33,095","175,430","18,101,505","10,833,110","2,835,805","3,685,480","391,425","40,520","315,175","14,195,890","9,080,835","2,037,745","2,579,475","300,690","32,480",164645
