District,Clinton,Trump,Obama,Romney,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
USA,48.4,46.3,51.1,47.3,31.5,177,35.2,199,"$60,293",194,"$65,912",214
AK-AL,37.6,52.8,41.2,55.3,29.2,220,35.6,192,"$76,715",74,"$85,448",81
AL-01,34.1,63.5,37.4,61.8,24.3,311,27.7,305,"$47,952",365,"$57,003",320
AL-02,33.0,64.9,36.4,62.9,22.5,344,25.2,352,"$46,817",373,"$54,917",351
AL-03,32.3,65.3,36.8,62.3,21.7,354,23.2,387,"$46,576",377,"$52,592",383
AL-04,17.4,80.4,24.0,74.8,17.2,412,17.9,428,"$43,458",401,"$45,625",424
AL-05,31.3,64.7,34.9,63.9,31.8,171,33.0,226,"$55,043",256,"$59,834",281
AL-06,26.1,70.8,24.7,74.3,36.1,120,38.0,163,"$65,464",152,"$69,555",185
AL-07,69.8,28.6,72.4,27.1,20.0,389,29.1,287,"$36,447",431,"$53,385",371
AR-01,30.2,65.0,36.3,61.0,16.4,417,17.9,427,"$40,980",419,"$44,982",426
AR-02,41.7,52.4,42.9,54.7,29.6,214,32.3,237,"$50,929",329,"$57,617",311
AR-03,30.5,61.9,31.6,65.5,27.3,255,29.1,286,"$50,554",332,"$52,593",381
AR-04,31.3,64.2,35.9,61.8,16.6,416,18.0,425,"$40,937",420,"$45,565",425
AZ-01,46.6,47.7,47.9,50.4,24.6,303,34.2,207,"$52,705",299,"$61,166",264
AZ-02,49.6,44.7,48.4,49.9,34.0,143,38.9,157,"$52,267",308,"$56,123",333
AZ-03,62.4,32.5,61.4,36.9,16.2,419,26.3,331,"$46,643",376,"$55,631",338
AZ-04,27.5,67.7,31.0,67.2,19.2,400,20.7,411,"$50,135",342,"$49,965",408
AZ-05,36.5,57.6,34.6,63.8,35.9,122,37.1,175,"$74,185",88,"$74,840",145
AZ-06,42.4,52.4,38.8,59.5,44.0,55,47.2,81,"$70,776",108,"$75,335",139
AZ-07,71.8,22.6,71.7,26.5,14.3,427,27.8,303,"$41,714",414,"$48,900",416
AZ-08,37.0,58.1,36.9,61.7,29.4,218,31.0,254,"$65,813",150,"$66,361",210
AZ-09,54.7,38.4,51.1,46.6,38.5,98,45.3,91,"$56,869",237,"$64,433",231
CA-01,36.5,56.2,40.3,56.6,24.4,307,26.0,338,"$51,104",324,"$52,934",375
CA-02,69.0,23.3,69.0,27.0,41.5,69,46.4,85,"$72,596",99,"$77,205",122
CA-03,53.0,40.4,54.3,43.1,25.4,290,29.4,283,"$64,891",156,"$69,482",187
CA-04,39.3,54.0,39.5,57.9,33.3,153,34.0,213,"$75,935",75,"$76,095",135
CA-05,69.2,24.3,69.7,27.5,31.7,172,38.3,159,"$75,524",78,"$79,811",108
CA-06,69.2,24.4,69.1,28.3,28.5,232,37.1,176,"$54,819",263,"$63,723",239
CA-07,52.3,40.9,50.8,46.8,33.4,151,35.2,197,"$74,541",85,"$76,770",125
CA-08,39.6,54.7,41.7,55.6,16.8,414,20.6,413,"$52,244",310,"$55,625",339
CA-09,56.6,38.0,57.8,40.1,20.2,387,25.1,353,"$64,283",163,"$76,677",127
CA-10,48.5,45.5,50.6,47.0,17.6,410,22.1,399,"$62,837",176,"$68,315",193
CA-11,71.5,22.7,67.6,30.0,44.1,53,56.5,36,"$88,762",37,"$106,958",21
CA-12,86.2,8.7,84.1,12.5,58.9,8,77.3,2,"$105,548",13,"$133,153",2
CA-13,87.4,6.8,87.5,9.0,48.2,30,71.2,7,"$75,420",79,"$107,171",20
CA-14,76.9,18.2,74.2,23.6,47.4,33,56.9,33,"$107,681",10,"$121,639",7
CA-15,69.9,24.2,68.0,29.8,44.5,50,46.8,83,"$109,911",8,"$113,439",16
CA-16,58.0,36.4,58.6,39.4,12.6,431,21.8,401,"$43,327",403,"$55,308",347
CA-17,73.9,20.5,71.9,25.5,57.0,11,52.8,48,"$125,675",2,"$117,010",11
CA-18,73.4,20.2,68.2,28.9,62.7,3,65.6,14,"$129,821",1,"$134,480",1
CA-19,72.9,21.5,71.2,26.5,35.9,123,49.6,67,"$98,314",23,"$120,114",8
CA-20,70.4,23.2,70.9,26.2,27.8,248,45.2,93,"$69,872",121,"$84,159",85
CA-21,55.2,39.7,54.6,43.5,8.3,435,17.8,430,"$42,155",410,"$59,609",286
CA-22,42.6,52.1,41.6,56.6,24.9,297,32.6,231,"$59,240",203,"$70,990",176
CA-23,36.1,58.1,36.1,61.5,20.4,381,24.6,362,"$59,119",205,"$65,631",215
CA-24,56.7,36.5,54.1,43.1,34.2,142,44.7,98,"$71,225",105,"$78,286",117
CA-25,50.3,43.6,47.8,49.7,27.6,251,33.2,224,"$79,198",67,"$90,561",61
CA-26,57.9,36.0,54.0,43.7,33.3,155,44.9,95,"$82,350",56,"$93,482",54
CA-27,66.0,28.4,62.6,35.0,42.2,64,54.5,41,"$75,672",76,"$93,787",50
CA-28,72.1,22.3,70.3,26.5,45.3,45,50.1,63,"$66,387",147,"$70,424",177
CA-29,77.7,16.8,77.0,20.5,19.9,391,35.2,198,"$53,324",286,"$57,856",310
CA-30,69.1,25.7,65.3,32.1,43.6,58,50.7,58,"$79,836",66,"$86,697",75
CA-31,57.7,36.6,57.2,40.6,23.6,321,33.1,225,"$61,219",191,"$73,797",151
CA-32,66.6,27.7,65.2,32.5,21.3,362,31.3,252,"$67,871",136,"$74,888",144
CA-33,67.8,26.5,60.6,36.8,64.7,2,67.8,10,"$108,188",9,"$115,965",14
CA-34,83.6,10.7,83.0,14.1,26.4,269,59.4,28,"$42,959",405,"$68,570",192
CA-35,67.7,26.9,67.4,30.6,15.9,422,23.3,385,"$61,852",185,"$66,257",211
CA-36,52.2,43.4,50.7,47.5,20.8,370,30.6,262,"$48,534",359,"$55,442",344
CA-37,85.7,9.6,84.9,12.7,38.6,97,66.6,13,"$57,795",221,"$87,760",68
CA-38,67.0,27.4,64.9,33.0,23.3,330,26.5,328,"$69,596",124,"$75,069",142
CA-39,51.5,42.9,47.1,50.8,41.5,71,42.9,109,"$87,752",41,"$95,060",45
CA-40,82.2,12.8,81.5,16.5,10.0,433,22.6,397,"$46,484",378,"$56,902",321
CA-41,61.0,33.1,61.5,36.3,17.4,411,26.0,339,"$63,921",167,"$76,444",130
CA-42,41.4,53.4,41.4,56.5,25.5,287,27.9,302,"$82,030",58,"$87,208",73
CA-43,78.4,16.7,78.0,20.0,26.4,268,44.7,97,"$57,130",230,"$83,977",86
CA-44,83.0,12.3,84.7,13.6,12.8,430,28.6,290,"$52,173",311,"$64,797",224
CA-45,49.8,44.4,43.0,54.8,54.7,16,55.4,37,"$102,575",17,"$106,696",22
CA-46,66.3,27.9,61.4,36.2,18.9,403,31.4,250,"$63,750",170,"$74,023",147
CA-47,62.6,31.0,60.0,37.5,32.0,168,42.2,116,"$67,451",138,"$83,451",87
CA-48,47.9,46.2,43.0,54.7,45.2,47,52.2,53,"$91,464",32,"$99,424",36
CA-49,50.7,43.2,45.7,52.2,44.8,49,52.4,52,"$87,919",40,"$95,759",43
CA-50,39.6,54.6,37.6,60.4,28.7,231,34.0,211,"$74,605",84,"$80,381",106
CA-51,71.8,22.8,69.4,28.9,14.6,426,25.7,347,"$47,569",369,"$61,609",258
CA-52,58.1,35.6,52.1,45.7,58.4,9,61.6,22,"$94,302",29,"$97,021",39
CA-53,64.5,29.6,61.4,36.4,37.7,106,47.0,82,"$73,421",94,"$78,664",115
CO-01,69.0,23.2,69.0,28.8,47.6,32,61.2,23,"$65,874",148,"$77,962",118
CO-02,56.2,34.9,57.9,39.5,54.8,15,57.1,32,"$78,311",70,"$80,761",101
CO-03,40.0,52.0,45.8,51.8,30.9,193,36.0,186,"$53,778",276,"$58,216",304
CO-04,34.3,57.4,39.2,58.5,34.7,137,39.2,155,"$74,481",86,"$80,236",107
CO-05,33.2,57.2,38.3,59.1,36.2,119,39.9,144,"$63,890",168,"$67,190",203
CO-06,50.2,41.3,51.6,46.5,42.4,62,50.3,61,"$80,264",62,"$90,886",59
CO-07,51.4,39.4,56.1,41.3,33.2,157,39.8,148,"$69,173",127,"$74,987",143
CT-01,59.4,36.3,63.3,35.6,37.0,113,42.2,117,"$72,552",101,"$84,758",82
CT-02,48.7,45.8,55.9,42.6,35.3,129,36.8,180,"$76,947",73,"$80,572",103
CT-03,55.9,40.4,62.6,36.3,36.2,117,39.5,151,"$69,186",126,"$79,368",112
CT-04,59.6,36.6,55.1,44.0,49.6,26,60.9,25,"$95,749",24,"$122,257",6
CT-05,49.9,45.8,53.5,45.3,36.5,116,41.2,130,"$72,591",100,"$82,894",92
DE-AL,53.4,41.9,58.6,40.0,31.4,178,33.7,216,"$65,627",151,"$71,295",174
FL-01,28.2,67.5,30.1,68.5,27.8,246,30.2,274,"$55,779",249,"$60,276",273
FL-02,30.6,66.2,34.0,64.6,23.5,325,24.5,363,"$48,717",358,"$50,960",400
FL-03,40.2,56.2,41.9,56.6,27.1,256,27.9,301,"$49,527",347,"$53,777",366
FL-04,34.1,62.1,32.8,66.1,39.6,87,40.3,137,"$70,059",116,"$72,608",165
FL-05,61.3,35.9,63.6,35.4,20.2,386,23.2,386,"$41,255",417,"$50,298",405
FL-06,39.9,56.9,46.6,52.2,23.8,319,24.8,360,"$48,810",356,"$51,522",392
FL-07,51.4,44.1,49.4,49.4,39.0,94,43.8,103,"$60,137",196,"$67,527",200
FL-08,37.7,58.4,42.1,56.6,29.0,225,30.3,270,"$53,969",273,"$56,534",328
FL-09,54.8,41.9,55.6,43.4,23.6,322,26.9,318,"$51,094",325,"$57,185",315
FL-10,61.8,34.9,60.7,38.4,30.8,194,39.9,146,"$52,843",297,"$67,236",202
FL-11,32.5,64.8,39.8,59.2,20.6,376,21.5,404,"$46,297",382,"$47,189",422
FL-12,38.8,57.4,45.5,53.0,27.5,252,27.1,315,"$52,568",302,"$52,339",384
FL-13,49.6,46.4,54.6,43.9,29.7,211,31.6,248,"$50,319",338,"$52,901",377
FL-14,57.2,39.0,57.6,41.2,35.8,125,46.2,89,"$53,306",287,"$69,002",190
FL-15,43.1,53.1,46.6,52.2,25.2,293,26.6,324,"$54,333",267,"$59,523",288
FL-16,43.0,53.7,45.1,53.7,32.3,166,35.3,196,"$59,440",202,"$62,132",254
FL-17,35.0,62.2,41.3,57.6,21.5,357,23.3,384,"$48,734",357,"$51,264",395
FL-18,44.1,53.3,47.7,51.4,31.1,188,34.5,204,"$58,721",213,"$62,406",247
FL-19,37.5,59.6,38.7,60.5,32.5,162,37.2,174,"$57,611",226,"$62,699",246
FL-20,80.2,18.1,82.5,17.1,21.0,367,27.7,304,"$46,252",383,"$54,670",353
FL-21,58.6,39.1,60.4,38.9,35.0,135,41.5,124,"$58,430",217,"$63,383",243
FL-22,56.8,41.0,56.3,43.0,39.0,93,44.5,99,"$62,550",179,"$69,184",189
FL-23,61.9,35.8,61.4,38.0,39.4,91,41.5,125,"$64,827",157,"$69,503",186
FL-24,82.9,15.4,85.7,13.9,20.1,388,37.8,165,"$39,943",422,"$60,095",280
FL-25,47.9,49.7,44.9,54.5,24.3,310,36.1,185,"$49,970",343,"$72,453",167
FL-26,56.8,40.5,55.4,43.9,26.4,267,35.2,200,"$56,696",242,"$74,607",146
FL-27,58.5,38.9,53.0,46.3,39.4,89,63.7,17,"$55,451",253,"$93,927",49
GA-01,40.9,56.4,43.0,55.9,25.5,286,29.4,282,"$51,484",321,"$59,025",292
GA-02,55.0,43.3,58.6,40.8,17.8,407,23.0,391,"$38,051",428,"$51,333",394
GA-03,32.8,64.3,33.0,65.9,26.5,266,28.6,289,"$57,657",224,"$64,151",234
GA-04,75.3,22.2,73.6,25.6,31.1,187,39.7,149,"$54,824",262,"$67,019",205
GA-05,85.0,11.9,83.1,15.8,41.6,68,72.0,6,"$51,005",326,"$87,728",69
GA-06,46.8,48.3,37.5,60.8,61.1,5,66.8,11,"$90,875",33,"$105,885",23
GA-07,44.8,51.1,38.3,60.2,41.3,75,47.5,77,"$74,060",89,"$89,146",64
GA-08,34.4,63.3,37.5,61.6,21.4,359,24.3,369,"$45,339",392,"$53,698",367
GA-09,19.3,77.8,20.5,78.1,22.8,339,25.3,351,"$53,505",281,"$56,477",330
GA-10,35.8,61.3,36.3,62.5,26.0,280,29.9,281,"$54,034",271,"$62,255",250
GA-11,35.3,60.3,31.5,66.9,41.3,73,43.7,104,"$73,492",92,"$80,481",104
GA-12,40.7,56.9,43.6,55.4,21.1,365,24.5,366,"$44,547",396,"$52,926",376
GA-13,71.0,26.6,69.2,30.0,28.9,230,27.1,316,"$57,839",220,"$62,383",248
GA-14,22.1,75.0,25.3,73.2,17.7,409,18.3,424,"$50,353",336,"$51,863",387
