State,Clinton,Trump,Obama,Romney,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
USA,48.4,46.3,51.1,47.3,31.5,19,35.2,21,"$60,293",20,"$65,912",20
Alabama,34.4,62.1,38.4,60.5,24.9,44,27.6,44,"$48,486",44,"$55,690",42
Alaska,36.6,51.3,40.8,54.8,29.2,29,35.6,19,"$76,715",5,"$85,448",4
Arizona,44.6,48.1,44.4,53.5,28.9,31,35.1,21,"$56,213",30,"$62,261",26
Arkansas,33.7,60.6,36.9,60.6,22.6,48,24.4,48,"$45,726",48,"$49,996",49
California,61.5,31.5,60.2,37.1,33.3,13,43.2,6,"$71,228",9,"$82,970",6
Colorado,48.2,43.3,51.4,46.1,40.1,2,46.4,1,"$68,811",11,"$74,992",10
Connecticut,54.6,40.9,58.1,40.7,38.9,4,43.6,5,"$76,106",6,"$86,697",3
Delaware,53.1,41.7,58.6,40.0,31.4,19,33.7,25,"$65,627",14,"$71,295",16
Florida,47.4,48.6,49.9,49.0,29.2,29,32.7,27,"$53,267",37,"$58,853",37
Georgia,45.3,50.4,45.4,53.2,30.7,24,34.5,22,"$55,679",31,"$64,755",20
Hawaii,62.2,30.0,70.5,27.8,32.5,18,45.7,3,"$78,084",3,"$78,572",7
Idaho,27.5,59.2,32.4,64.1,26.9,39,28.8,38,"$53,089",38,"$54,599",44
Illinois,55.2,38.4,57.5,40.7,34.1,12,38.1,11,"$63,575",16,"$70,972",17
Indiana,37.5,56.5,43.8,54.0,25.9,42,26.8,46,"$54,325",35,"$57,646",39
Iowa,41.7,51.1,52.0,46.2,28.2,35,28.8,38,"$58,580",26,"$60,579",30
Kansas,35.7,56.2,38.0,59.7,32.9,16,35.4,20,"$57,422",28,"$60,985",28
Kentucky,32.7,62.5,37.8,60.5,23.6,47,23.9,49,"$48,392",45,"$50,398",48
Louisiana,38.4,58.1,40.6,57.8,23.7,46,27.9,42,"$47,942",47,"$59,267",35
Maine,47.8,44.9,56.3,41.0,30.9,22,31.0,31,"$55,425",32,"$56,100",41
Maryland,60.3,33.9,62.0,35.9,39.6,3,44.6,4,"$81,868",1,"$91,898",1
Massachusetts,60.0,32.8,60.7,37.5,42.9,1,46.0,2,"$77,378",4,"$84,442",5
Michigan,47.0,47.3,54.0,44.6,28.6,32,29.7,35,"$54,938",33,"$59,441",33
Minnesota,46.4,44.9,52.7,45.0,35.4,10,37.0,14,"$68,411",12,"$71,944",14
Mississippi,40.1,57.9,43.8,55.3,21.8,49,25.5,47,"$43,567",50,"$54,459",46
Missouri,37.9,56.4,44.3,53.6,28.6,32,29.6,36,"$53,560",36,"$56,891",40
Montana,35.4,55.6,41.7,55.3,31.2,21,32.5,28,"$52,559",39,"$54,051",47
Nebraska,33.7,58.7,38.0,59.8,31.3,20,33.4,26,"$59,116",25,"$62,607",24
Nevada,47.9,45.5,52.4,45.7,24.2,45,29.1,37,"$57,598",27,"$63,583",23
New Hampshire,46.8,46.5,52.0,46.4,36.5,8,36.4,17,"$74,057",7,"$74,973",11
New Jersey,55.0,41.0,58.2,40.5,38.9,4,43.1,7,"$79,363",2,"$90,860",2
New Mexico,48.3,40.0,53.0,42.8,27.1,38,40.5,10,"$48,059",46,"$58,181",38
New York,59.0,36.5,63.3,35.2,35.9,9,42.2,8,"$65,323",15,"$75,528",9
North Carolina,46.2,49.8,48.4,50.4,30.5,25,34.2,24,"$52,413",40,"$59,421",34
North Dakota,27.2,63.0,38.7,58.3,29.5,26,30.4,33,"$63,473",17,"$66,668",19
Ohio,43.2,51.3,50.6,47.6,27.8,36,28.8,38,"$54,533",34,"$59,163",36
Oklahoma,28.9,65.3,33.2,66.8,25.2,43,27.5,45,"$51,424",41,"$55,372",43
Oregon,50.1,39.1,54.2,42.1,32.9,16,34.5,22,"$59,393",23,"$61,206",27
Pennsylvania,47.5,48.2,52.0,46.6,30.8,23,32.2,30,"$59,445",22,"$63,856",21
Rhode Island,54.4,38.9,62.7,35.2,33.3,13,36.6,16,"$63,296",18,"$69,896",18
South Carolina,40.7,54.9,44.1,54.6,27.4,37,32.3,29,"$51,015",42,"$59,565",32
South Dakota,31.7,61.5,39.9,57.9,28.5,34,30.3,34,"$56,499",29,"$59,813",31
Tennessee,34.7,60.7,39.0,59.4,26.6,41,27.9,42,"$50,972",43,"$54,469",45
Texas,43.2,52.2,41.4,57.1,29.3,28,38.0,12,"$59,570",21,"$73,059",12
Utah,27.2,45.1,24.7,72.5,33.3,13,36.0,18,"$68,374",13,"$71,859",15
Vermont,56.7,30.3,66.6,31.0,37.3,7,37.3,13,"$60,076",20,"$60,787",29
Virginia,49.8,44.4,51.2,47.3,38.2,6,41.6,9,"$71,564",8,"$77,315",8
Washington,52.5,36.8,55.8,41.0,35.3,11,36.7,15,"$70,116",10,"$72,813",13
West Virginia,26.2,67.9,35.5,62.1,20.3,50,20.0,50,"$44,921",49,"$45,449",50
Wisconsin,46.5,47.2,52.8,45.9,29.5,26,31.0,31,"$59,209",24,"$62,539",25
Wyoming,21.9,68.2,27.8,68.6,26.9,39,28.5,41,"$62,268",19,"$63,842",22
