District,Biden,Trump,Clinton,Trump,Obama,Romney,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
USA,51.4,46.9,48.4,46.3,51.1,47.3,32.1,176,35.8,199,"$62,843",192,"$68,785",210
AK-AL,43.0,53.1,37.6,52.8,41.2,55.3,29.6,227,36.1,195,"$77,640",87,"$85,841",94
AL-01,35.3,63.7,34.1,63.5,37.4,61.8,24.7,310,28.0,306,"$49,773",357,"$58,828",322
AL-02,35.1,63.9,33.0,64.9,36.4,62.9,22.9,340,25.8,346,"$48,611",369,"$57,192",340
AL-03,33.7,65.3,32.3,65.3,36.8,62.3,22.4,351,23.8,386,"$49,110",365,"$54,477",369
AL-04,17.8,81.2,17.4,80.4,24.0,74.8,17.3,412,18.0,430,"$45,111",390,"$47,566",411
AL-05,35.7,62.7,31.3,64.7,34.9,63.9,32.5,171,33.4,229,"$57,758",251,"$62,647",265
AL-06,31.8,67.0,26.1,70.8,24.7,74.3,36.9,117,38.8,166,"$67,967",155,"$72,059",187
AL-07,70.8,28.5,69.8,28.6,72.4,27.1,20.6,384,29.8,284,"$37,960",418,"$54,858",367
AR-01,27.9,69.1,30.2,65.0,36.3,61.0,16.6,418,18.1,429,"$42,417",405,"$46,529",413
AR-02,44.3,53.1,41.7,52.4,42.9,54.7,29.9,222,32.4,245,"$52,417",328,"$59,427",307
AR-03,35.2,61.9,30.5,61.9,31.6,65.5,28.2,250,30.1,282,"$52,428",327,"$54,293",372
AR-04,29.6,67.7,31.3,64.2,35.9,61.8,16.9,416,18.4,427,"$42,398",406,"$47,190",412
AZ-01,50.1,48.4,46.6,47.7,47.9,50.4,24.9,304,34.7,210,"$54,503",302,"$62,865",262
AZ-02,54.5,43.9,49.6,44.7,48.4,49.9,34.5,146,39.4,159,"$53,864",312,"$58,209",327
AZ-03,62.8,35.7,62.4,32.5,61.4,36.9,16.4,421,27.1,325,"$49,422",361,"$58,287",326
AZ-04,30.6,68.0,27.5,67.7,31.0,67.2,19.7,396,21.2,408,"$52,411",329,"$52,153",394
AZ-05,41.9,56.4,36.5,57.6,34.6,63.8,36.8,120,37.7,173,"$77,763",85,"$78,484",141
AZ-06,47.3,51.4,42.4,52.4,38.8,59.5,44.4,58,47.5,86,"$74,373",106,"$78,455",142
AZ-07,73.7,24.7,71.8,22.6,71.7,26.5,14.9,427,28.5,302,"$44,893",392,"$51,950",397
AZ-08,41.4,57.3,37.0,58.1,36.9,61.7,30.2,214,32.1,252,"$68,977",145,"$69,661",204
AZ-09,60.8,37.3,54.7,38.4,51.1,46.6,39.7,96,46.4,93,"$60,050",225,"$67,296",224
CA-01,41.1,56.4,36.5,56.2,40.3,56.6,24.8,307,26.4,339,"$54,202",306,"$56,189",352
CA-02,73.6,23.9,69.0,23.3,69.0,27.0,42.1,74,47.0,91,"$76,349",95,"$81,089",118
CA-03,54.9,42.7,53.0,40.4,54.3,43.1,25.9,287,29.7,285,"$68,603",150,"$73,611",176
CA-04,43.9,53.7,39.3,54.0,39.5,57.9,34.0,155,34.7,209,"$79,843",75,"$80,046",127
CA-05,72.4,25.3,69.2,24.3,69.7,27.5,32.2,176,38.9,165,"$79,832",76,"$84,561",100
CA-06,70.3,27.2,69.2,24.4,69.1,28.3,28.9,237,37.2,181,"$58,122",244,"$67,858",216
CA-07,55.6,41.9,52.3,40.9,50.8,46.8,33.7,159,35.4,201,"$77,269",89,"$80,263",122
CA-08,43.6,54.0,39.6,54.7,41.7,55.6,17.2,414,20.8,417,"$54,509",301,"$57,108",342
CA-09,57.9,39.9,56.6,38.0,57.8,40.1,20.7,383,25.6,347,"$68,396",151,"$80,706",120
CA-10,50.3,47.4,48.5,45.5,50.6,47.0,17.7,409,22.0,399,"$65,670",173,"$71,168",192
CA-11,74.3,23.6,71.5,22.7,67.6,30.0,44.7,55,57.2,35,"$95,469",33,"$113,454",19
CA-12,86.1,11.9,86.2,8.7,84.1,12.5,59.9,8,78.3,2,"$114,085",10,"$148,026",1
CA-13,88.9,9.0,87.4,6.8,87.5,9.0,49.6,29,72.3,7,"$80,540",72,"$114,503",18
CA-14,77.7,20.5,76.9,18.2,74.2,23.6,48.4,33,57.9,32,"$116,113",8,"$129,608",6
CA-15,71.5,26.4,69.9,24.2,68.0,29.8,46.2,46,48.2,81,"$117,574",5,"$118,293",16
CA-16,58.8,38.9,58.0,36.4,58.6,39.4,12.6,431,21.5,405,"$46,362",385,"$57,625",335
CA-17,72.5,25.5,73.9,20.5,71.9,25.5,58.2,11,54.4,46,"$133,493",2,"$124,501",10
CA-18,76.4,21.3,73.4,20.2,68.2,28.9,63.7,3,66.7,14,"$139,971",1,"$144,894",2
CA-19,70.0,27.9,72.9,21.5,71.2,26.5,36.7,122,50.2,69,"$103,663",19,"$124,922",8
CA-20,72.7,25.0,70.4,23.2,70.9,26.2,28.2,249,45.7,98,"$74,396",105,"$88,300",84
CA-21,54.4,43.5,55.2,39.7,54.6,43.5,9.1,435,19.6,424,"$44,293",399,"$63,363",259
CA-22,46.2,51.6,42.6,52.1,41.6,56.6,25.3,296,33.3,233,"$62,272",196,"$73,481",178
CA-23,40.5,57.1,36.1,58.1,36.1,61.5,20.9,378,25.0,361,"$60,549",219,"$66,430",234
CA-24,60.7,36.9,56.7,36.5,54.1,43.1,34.7,144,45.2,102,"$74,155",109,"$81,595",116
CA-25,54.0,43.9,50.3,43.6,47.8,49.7,28.1,251,34.3,217,"$82,366",68,"$94,272",61
CA-26,61.4,36.5,57.9,36.0,54.0,43.7,34.0,154,46.0,96,"$86,525",53,"$98,592",47
CA-27,67.2,30.8,66.0,28.4,62.6,35.0,43.4,62,55.7,40,"$80,807",71,"$99,500",45
CA-28,70.9,27.2,72.1,22.3,70.3,26.5,46.3,45,50.9,66,"$70,182",138,"$74,149",173
CA-29,74.1,23.7,77.7,16.8,77.0,20.5,20.7,381,36.7,188,"$56,022",270,"$60,952",293
CA-30,68.7,29.4,69.1,25.7,65.3,32.1,44.1,60,51.6,59,"$84,227",61,"$92,206",70
CA-31,58.8,38.9,57.7,36.6,57.2,40.6,24.3,317,34.2,220,"$64,779",180,"$77,394",145
CA-32,65.2,32.8,66.6,27.7,65.2,32.5,21.9,357,32.1,249,"$71,180",133,"$76,684",151
CA-33,69.0,29.0,67.8,26.5,60.6,36.8,65.4,2,68.3,10,"$111,735",11,"$120,585",13
CA-34,80.8,16.9,83.6,10.7,83.0,14.1,27.5,257,60.3,28,"$46,539",383,"$75,684",165
CA-35,65.1,32.6,67.7,26.9,67.4,30.6,16.8,417,24.3,374,"$65,014",177,"$70,962",193
CA-36,55.9,42.3,52.2,43.4,50.7,47.5,21.4,366,31.5,259,"$50,457",351,"$58,331",325
CA-37,84.3,13.8,85.7,9.6,84.9,12.7,39.2,100,68.3,11,"$62,057",199,"$94,426",58
CA-38,65.6,32.3,67.0,27.4,64.9,33.0,24.1,319,27.4,314,"$74,295",107,"$78,512",140
CA-39,54.1,44.0,51.5,42.9,47.1,50.8,42.1,73,43.0,117,"$91,607",41,"$98,545",49
CA-40,77.1,20.6,82.2,12.8,81.5,16.5,10.4,434,23.0,394,"$49,369",362,"$58,908",320
CA-41,61.7,36.1,61.0,33.1,61.5,36.3,17.9,408,27.0,329,"$67,246",161,"$79,850",130
CA-42,45.3,52.7,41.4,53.4,41.4,56.5,26.0,286,28.1,305,"$86,229",55,"$91,058",75
CA-43,76.9,20.9,78.4,16.7,78.0,20.0,27.3,262,47.1,90,"$61,277",212,"$87,498",86
CA-44,78.4,19.2,83.0,12.3,84.7,13.6,13.6,429,29.4,289,"$54,894",291,"$66,918",226
CA-45,54.6,43.3,49.8,44.4,43.0,54.8,55.7,13,55.9,38,"$107,787",15,"$112,564",20
CA-46,64.3,33.5,66.3,27.9,61.4,36.2,19.6,399,32.1,250,"$67,333",158,"$76,110",161
CA-47,62.4,35.3,62.6,31.0,60.0,37.5,32.9,165,42.8,122,"$70,173",139,"$86,222",90
CA-48,49.7,48.2,47.9,46.2,43.0,54.7,45.5,50,52.6,54,"$95,238",35,"$104,255",33
CA-49,55.2,42.5,50.7,43.2,45.7,52.2,45.7,49,53.4,51,"$93,626",37,"$101,476",38
CA-50,45.0,52.7,39.6,54.6,37.6,60.4,29.3,231,34.5,214,"$78,174",80,"$84,532",101
CA-51,66.9,30.9,71.8,22.8,69.4,28.9,15.1,426,27.0,328,"$49,965",355,"$64,914",246
CA-52,63.4,34.2,58.1,35.6,52.1,45.7,59.1,9,62.3,22,"$99,092",26,"$101,672",37
CA-53,67.0,30.9,64.5,29.6,61.4,36.4,38.6,107,47.9,84,"$77,128",90,"$82,267",112
CO-01,75.6,22.1,69.0,23.2,69.0,28.8,49.0,31,62.6,21,"$70,736",135,"$82,610",109
CO-02,63.7,33.6,56.2,34.9,57.9,39.5,55.4,16,57.8,33,"$82,178",69,"$85,022",96
CO-03,46.1,51.6,40.0,52.0,45.8,51.8,31.1,201,36.3,192,"$55,616",280,"$60,712",297
CO-04,40.8,56.6,34.3,57.4,39.2,58.5,35.5,136,40.1,152,"$77,919",84,"$84,301",103
CO-05,41.8,54.7,33.2,57.2,38.3,59.1,36.8,118,40.6,148,"$67,043",163,"$70,212",197
CO-06,58.2,39.2,50.2,41.3,51.6,46.5,42.7,67,50.7,67,"$83,877",62,"$94,369",59
CO-07,60.0,37.1,51.4,39.4,56.1,41.3,34.3,151,41.2,139,"$72,533",122,"$78,974",136
CT-01,63.3,35.3,59.4,36.3,63.3,35.6,37.4,115,42.8,121,"$75,236",102,"$87,569",85
CT-02,54.5,43.5,48.7,45.8,55.9,42.6,35.7,134,37.1,182,"$79,153",77,"$83,010",108
CT-03,59.9,38.8,55.9,40.4,62.6,36.3,36.3,126,40.1,153,"$71,475",131,"$81,692",115
CT-04,64.2,34.5,59.6,36.6,55.1,44.0,50.5,26,61.9,23,"$99,056",27,"$127,505",7
CT-05,54.6,43.9,49.9,45.8,53.5,45.3,36.5,124,41.3,138,"$74,568",104,"$84,968",97
DE-AL,58.8,39.8,53.4,41.9,58.6,40.0,32.0,182,34.6,211,"$68,287",152,"$74,014",174
FL-01,32.4,65.9,28.2,67.5,30.1,68.5,28.0,252,30.2,281,"$57,846",250,"$62,306",275
FL-02,32.0,67.0,30.6,66.2,34.0,64.6,23.8,324,24.9,364,"$50,647",350,"$52,857",388
FL-03,42.8,56.0,40.2,56.2,41.9,56.6,27.8,254,28.5,301,"$51,117",345,"$55,574",358
FL-04,38.9,59.9,34.1,62.1,32.8,66.1,40.6,86,41.3,137,"$73,345",116,"$76,169",159
FL-05,62.7,36.2,61.3,35.9,63.6,35.4,20.7,382,24.1,380,"$43,129",404,"$52,163",393
FL-06,40.8,58.3,39.9,56.9,46.6,52.2,24.2,318,25.4,353,"$51,167",343,"$53,699",378
FL-07,54.6,44.2,51.4,44.1,49.4,49.4,40.0,93,45.3,100,"$63,601",191,"$72,351",184
FL-08,40.6,58.3,37.7,58.4,42.1,56.6,29.9,221,31.3,262,"$56,474",263,"$59,146",314
FL-09,53.0,46.1,54.8,41.9,55.6,43.4,24.6,311,27.7,310,"$53,640",314,"$59,832",303
FL-10,62.0,37.0,61.8,34.9,60.7,38.4,31.6,190,41.4,135,"$56,030",269,"$71,925",188
FL-11,33.8,65.4,32.5,64.8,39.8,59.2,21.4,365,22.2,398,"$48,690",368,"$49,780",407
FL-12,41.0,57.9,38.8,57.4,45.5,53.0,27.9,253,27.3,318,"$54,654",297,"$54,308",371
FL-13,51.5,47.4,49.6,46.4,54.6,43.9,30.7,206,32.8,238,"$53,236",317,"$56,279",351
FL-14,57.2,41.6,57.2,39.0,57.6,41.2,36.8,119,48.0,83,"$55,691",279,"$72,356",183
FL-15,45.2,53.7,43.1,53.1,46.6,52.2,25.7,291,27.1,324,"$56,681",261,"$61,467",285
FL-16,45.5,53.6,43.0,53.7,45.1,53.7,32.6,169,35.6,199,"$62,794",192,"$65,328",244
FL-17,35.9,63.3,35.0,62.2,41.3,57.6,22.0,355,23.9,384,"$51,302",342,"$53,664",379
FL-18,45.5,53.9,44.1,53.3,47.7,51.4,32.2,175,35.5,200,"$62,019",200,"$66,523",232
FL-19,39.6,59.7,37.5,59.6,38.7,60.5,33.1,163,37.7,176,"$61,306",209,"$66,661",230
FL-20,77.3,22.1,80.2,18.1,82.5,17.1,21.1,374,29.1,291,"$47,743",375,"$56,075",353
FL-21,58.2,41.2,58.6,39.1,60.4,38.9,35.9,130,42.8,120,"$61,822",204,"$66,701",229
FL-22,57.1,42.3,56.8,41.0,56.3,43.0,39.8,95,45.1,103,"$64,929",178,"$72,345",185
FL-23,58.3,41.2,61.9,35.8,61.4,38.0,40.1,89,42.3,128,"$67,575",157,"$73,036",180
FL-24,75.4,24.0,82.9,15.4,85.7,13.9,20.5,386,38.9,164,"$41,694",410,"$61,125",291
FL-25,38.2,61.2,47.9,49.7,44.9,54.5,25.1,301,36.7,189,"$52,185",333,"$75,702",164
FL-26,46.9,52.5,56.8,40.5,55.4,43.9,27.7,255,37.1,185,"$60,405",223,"$79,623",132
FL-27,51.3,48.1,58.5,38.9,53.0,46.3,40.6,84,64.1,17,"$58,100",245,"$96,465",54
GA-01,43.1,55.5,40.9,56.4,43.0,55.9,25.8,289,29.7,286,"$53,102",318,"$60,993",292
GA-02,55.7,43.4,55.0,43.3,58.6,40.8,17.6,411,23.0,395,"$39,505",415,"$53,066",384
GA-03,36.8,62.0,32.8,64.3,33.0,65.9,26.9,271,28.9,295,"$62,112",198,"$68,528",210
GA-04,78.8,20.2,75.3,22.2,73.6,25.6,31.4,193,40.0,156,"$57,639",253,"$69,939",201
GA-05,86.2,12.6,85.0,11.9,83.1,15.8,43.2,64,73.2,6,"$54,166",307,"$93,397",64
GA-06,54.8,43.7,46.8,48.3,37.5,60.8,62.2,4,67.8,12,"$95,365",34,"$110,333",23
GA-07,52.4,46.1,44.8,51.1,38.3,60.2,42.3,70,48.8,77,"$77,978",82,"$93,347",65
GA-08,37.0,62.0,34.4,63.3,37.5,61.6,22.1,354,25.2,360,"$47,315",379,"$56,701",346
GA-09,22.4,76.4,19.3,77.8,20.5,78.1,23.4,332,26.0,345,"$56,010",271,"$59,267",310
GA-10,39.2,59.6,35.8,61.3,36.3,62.5,27.1,264,31.0,269,"$56,789",259,"$65,396",242
GA-11,41.5,56.9,35.3,60.3,31.5,66.9,42.2,71,44.6,106,"$76,444",94,"$83,563",107
GA-12,43.0,55.8,40.7,56.9,43.6,55.4,21.5,363,24.7,370,"$47,153",381,"$55,209",362
GA-13,75.6,23.4,71.0,26.6,69.2,30.0,29.1,234,27.0,326,"$61,289",211,"$64,878",247
GA-14,25.3,73.4,22.1,75.0,25.3,73.2,17.7,410,18.5,426,"$51,951",335,"$53,561",380
HI-01,63.8,34.5,63.1,30.5,69.7,29.0,36.2,127,51.0,64,"$84,993",59,"$90,356",77
HI-02,63.6,34.0,61.4,29.6,71.4,26.7,29.6,226,43.6,111,"$77,525",88,"$77,799",144
IA-01,47.4,50.8,45.2,48.7,56.2,42.5,27.0,267,27.4,312,"$60,495",220,"$62,438",271
IA-02,47.1,51.1,45.0,49.1,55.8,42.7,28.3,247,28.7,300,"$56,693",260,"$59,191",312
IA-03,49.0,49.1,45.0,48.5,51.4,47.2,33.6,161,35.2,204,"$66,928",165,"$70,201",198
IA-04,35.7,62.7,33.5,60.9,45.3,53.4,24.9,306,25.5,350,"$57,381",254,"$59,108",316
ID-01,30.1,67.1,25.4,63.7,32.2,64.9,25.9,288,27.4,316,"$56,854",257,"$58,090",328
ID-02,36.6,60.1,29.8,54.5,33.1,64.1,29.5,229,31.8,253,"$54,685",296,"$56,941",343
IL-01,73.9,24.7,75.4,21.4,78.9,20.2,29.1,235,37.6,177,"$54,618",298,"$82,170",113
IL-02,77.5,21.2,78.0,19.1,80.7,18.5,22.9,342,25.5,349,"$50,881",349,"$62,280",277
IL-03,55.5,42.9,55.2,39.9,55.9,42.6,28.6,244,33.9,225,"$70,263",137,"$76,958",149
IL-04,80.7,17.3,82.1,13.2,80.9,17.1,25.1,298,52.0,55,"$55,071",286,"$75,644",166
IL-05,72.1,26.0,70.5,23.9,66.0,31.8,55.3,17,61.4,25,"$87,320",51,"$93,113",67
IL-06,55.3,42.6,50.2,43.2,45.1,53.3,53.0,24,54.6,45,"$103,967",18,"$106,773",28
IL-07,86.3,12.1,87.4,9.2,87.2,11.8,43.1,65,76.6,4,"$60,216",224,"$109,295",25
IL-08,59.2,39.0,58.1,36.4,57.4,40.9,34.0,153,36.2,193,"$74,201",108,"$78,753",139
IL-09,71.0,27.4,70.1,24.9,65.0,33.3,54.4,20,60.5,27,"$74,914",103,"$87,215",88
IL-10,64.2,34.0,62.0,32.6,57.5,41.1,45.2,52,52.9,53,"$83,551",63,"$95,605",56
IL-11,61.9,36.2,58.9,35.4,57.8,40.6,35.6,135,42.2,130,"$78,069",81,"$86,464",89
IL-12,41.9,56.1,40.2,55.0,49.7,48.1,23.5,331,24.7,368,"$50,948",347,"$55,849",355
IL-13,47.0,50.5,44.2,49.7,48.6,48.9,30.7,207,30.6,278,"$52,936",322,"$57,447",337
IL-14,50.2,47.8,44.8,48.7,44.2,54.2,41.5,81,42.6,126,"$96,149",32,"$97,281",52
IL-15,25.9,72.2,24.5,70.7,34.1,63.9,20.0,393,20.5,419,"$53,873",311,"$55,024",365
IL-16,40.9,56.9,38.3,55.5,45.2,52.9,22.8,344,23.3,392,"$62,151",197,"$63,823",253
IL-17,48.1,49.7,46.7,47.4,57.6,40.6,19.4,401,21.1,410,"$49,599",358,"$53,274",383
IL-18,36.8,60.9,33.3,60.6,37.4,60.7,32.9,166,32.4,246,"$66,166",170,"$66,478",233
IN-01,53.6,44.8,54.1,41.5,61.2,37.4,23.5,330,26.6,335,"$59,049",239,"$67,524",219
IN-02,38.9,59.3,36.1,59.3,42.1,56.1,22.2,352,23.3,388,"$54,276",304,"$57,173",341
IN-03,34.0,63.9,30.1,65.1,35.7,62.5,23.4,333,24.3,376,"$55,862",275,"$58,890",321
IN-04,34.0,63.8,30.2,64.3,36.9,60.9,26.8,276,26.7,333,"$59,788",229,"$61,764",282
IN-05,47.9,50.1,41.3,53.1,40.7,57.5,46.5,43,47.2,89,"$72,723",121,"$76,214",157
IN-06,29.1,68.8,27.4,67.7,37.3,60.4,21.5,362,20.9,416,"$54,823",295,"$55,030",364
IN-07,62.9,35.3,59.0,36.2,62.9,35.3,24.1,321,28.9,293,"$44,256",400,"$53,012",385
IN-08,33.1,65.1,30.9,64.6,39.6,58.4,21.6,361,21.7,402,"$52,911",323,"$54,282",373
IN-09,37.2,60.8,34.2,61.1,40.7,57.2,26.9,269,26.4,338,"$57,939",248,"$59,521",306
KS-01,28.1,69.7,24.3,69.3,27.6,70.1,25.1,300,27.8,309,"$52,362",330,"$53,908",375
KS-02,41.3,56.3,37.4,55.8,42.2,55.4,29.3,233,30.4,279,"$54,867",294,"$57,396",338
KS-03,54.3,43.7,47.2,46.0,44.3,53.8,48.0,37,53.4,52,"$78,344",79,"$87,489",87
KS-04,38.0,59.7,33.0,60.2,36.1,61.6,29.5,228,32.1,251,"$56,238",267,"$60,321",302
KY-01,25.5,73.1,23.9,72.4,32.1,66.4,17.0,415,17.3,431,"$44,306",398,"$46,123",414
KY-02,30.6,67.6,27.6,67.5,35.1,63.3,20.8,380,20.9,415,"$52,188",332,"$53,520",381
KY-03,60.0,38.1,54.9,39.9,55.7,42.8,32.5,170,36.3,191,"$55,382",284,"$62,549",266
KY-04,33.4,64.7,29.3,65.2,34.8,63.4,28.7,240,28.9,294,"$64,263",185,"$66,162",235
