State,Biden,Trump,Clinton,Trump,Obama,Romney,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
USA,51.4,46.9,48.4,46.3,51.1,47.3,32.1,176,35.8,199,"$62,843",192,"$68,785",210
Alabama,36.6,62.0,34.4,62.1,38.4,60.5,25.5,43,28.1,44,"$50,536",45,"$57,935",42
Alaska,42.8,52.8,36.6,51.3,40.8,54.8,29.6,30,36.1,19,"$77,640",6,"$85,841",6
Arizona,49.2,48.9,44.6,48.1,44.4,53.5,29.5,31,35.7,21,"$58,945",29,"$64,657",26
Arkansas,34.8,62.4,33.7,60.6,36.9,60.6,23.0,48,24.8,48,"$47,597",48,"$51,681",49
California,63.4,34.3,61.5,31.5,60.2,37.1,33.9,15,44.0,7,"$75,235",8,"$87,089",5
Colorado,55.4,41.9,48.2,43.3,51.4,46.1,40.9,2,47.2,1,"$72,331",11,"$78,571",10
Connecticut,59.2,39.2,54.6,40.9,58.1,40.7,39.3,5,44.1,5,"$78,444",5,"$89,527",3
Delaware,58.7,39.8,53.1,41.7,58.6,40.0,32.0,19,34.6,25,"$68,287",15,"$74,014",16
Florida,47.8,51.1,47.4,48.6,49.9,49.0,29.9,28,33.5,27,"$55,660",37,"$61,682",35
Georgia,49.5,49.3,45.3,50.4,45.4,53.2,31.3,24,35.1,23,"$58,700",30,"$67,955",20
Hawaii,63.7,34.3,62.2,30.0,70.5,27.8,33.0,18,46.1,3,"$81,275",3,"$82,185",7
Idaho,33.1,63.8,27.5,59.2,32.4,64.1,27.6,38,29.4,38,"$55,785",36,"$57,543",43
Illinois,57.5,40.5,55.2,38.4,57.5,40.7,34.7,12,38.8,11,"$65,886",17,"$73,686",17
Indiana,41.0,57.0,37.5,56.5,43.8,54.0,26.5,42,27.3,46,"$56,303",35,"$59,861",38
Iowa,44.9,53.1,41.7,51.1,52.0,46.2,28.6,35,29.3,39,"$60,523",26,"$62,628",30
Kansas,41.6,56.2,35.7,56.2,38.0,59.7,33.4,17,36.0,20,"$59,597",28,"$63,078",28
Kentucky,36.2,62.1,32.7,62.5,37.8,60.5,24.2,46,24.5,49,"$50,589",44,"$52,387",48
Louisiana,39.9,58.5,38.4,58.1,40.6,57.8,24.1,47,28.2,43,"$49,469",47,"$60,959",37
Maine,53.1,44.0,47.8,44.9,56.3,41.0,31.8,22,31.9,31,"$57,918",32,"$58,522",41
Maryland,65.4,32.2,60.3,33.9,62.0,35.9,40.2,3,45.4,4,"$84,805",1,"$95,238",1
Massachusetts,65.6,32.1,60.0,32.8,60.7,37.5,43.7,1,46.9,2,"$81,215",4,"$88,656",4
Michigan,50.6,47.8,47.0,47.3,54.0,44.6,29.1,33,30.3,35,"$57,144",33,"$61,750",33
Minnesota,52.4,45.3,46.4,44.9,52.7,45.0,36.1,10,37.7,14,"$71,306",13,"$74,945",15
Mississippi,41.1,57.6,40.1,57.9,43.8,55.3,22.0,49,25.8,47,"$45,081",50,"$56,214",47
Missouri,41.4,56.8,37.9,56.4,44.3,53.6,29.2,32,30.2,36,"$55,461",38,"$59,138",40
Montana,40.5,56.9,35.4,55.6,41.7,55.3,32.0,19,33.2,28,"$54,970",39,"$56,501",46
Nebraska,39.2,58.2,33.7,58.7,38.0,59.8,31.9,21,34.1,26,"$61,439",25,"$64,768",25
Nevada,50.1,47.7,47.9,45.5,52.4,45.7,24.7,45,29.6,37,"$60,365",27,"$66,440",21
New Hampshire,52.7,45.4,46.8,46.5,52.0,46.4,37.0,8,36.9,17,"$76,768",7,"$77,493",11
New Jersey,57.1,41.3,55.0,41.0,58.2,40.5,39.7,4,44.1,5,"$82,545",2,"$94,462",2
New Mexico,54.3,43.5,48.3,40.0,53.0,42.8,27.3,40,40.7,10,"$49,754",46,"$59,815",39
New York,60.8,37.7,59.0,36.5,63.3,35.2,36.6,9,43.0,8,"$68,486",14,"$78,782",9
North Carolina,48.6,49.9,46.2,49.8,48.4,50.4,31.3,24,35.0,24,"$54,602",40,"$62,036",32
North Dakota,31.8,65.1,27.2,63.0,38.7,58.3,30.0,27,31.2,33,"$64,894",18,"$68,524",19
Ohio,45.2,53.2,43.2,51.3,50.6,47.6,28.3,36,29.3,39,"$56,602",34,"$61,427",36
Oklahoma,32.3,65.4,28.9,65.3,33.2,66.8,25.5,43,28.0,45,"$52,919",43,"$57,071",45
Oregon,56.5,40.4,50.1,39.1,54.2,42.1,33.7,16,35.3,22,"$62,818",20,"$64,384",27
Pennsylvania,49.9,48.7,47.5,48.2,52.0,46.6,31.4,23,32.9,30,"$61,744",24,"$66,184",22
Rhode Island,59.4,38.6,54.4,38.9,62.7,35.2,34.2,13,37.7,14,"$67,167",16,"$73,652",18
South Carolina,43.4,55.1,40.7,54.9,44.1,54.6,28.1,37,33.1,29,"$53,199",42,"$62,388",31
South Dakota,35.6,61.8,31.7,61.5,39.9,57.9,28.8,34,30.7,34,"$58,275",31,"$61,746",34
Tennessee,37.5,60.7,34.7,60.7,39.0,59.4,27.3,40,28.7,42,"$53,320",41,"$57,216",44
Texas,46.5,52.1,43.2,52.2,41.4,57.1,29.9,28,38.7,12,"$61,874",22,"$75,879",13
Utah,37.2,57.5,27.2,45.1,24.7,72.5,34.0,14,36.8,18,"$71,621",12,"$75,227",14
Vermont,66.1,30.7,56.7,30.3,66.6,31.0,38.0,7,38.0,13,"$61,973",21,"$62,770",29
Virginia,54.1,44.0,49.8,44.4,51.2,47.3,38.8,6,42.2,9,"$74,222",9,"$80,036",8
Washington,58.0,38.8,52.5,36.8,55.8,41.0,36.0,11,37.4,16,"$73,775",10,"$76,454",12
West Virginia,29.7,68.6,26.2,67.9,35.5,62.1,20.6,50,20.4,50,"$46,711",49,"$47,128",50
Wisconsin,49.4,48.8,46.5,47.2,52.8,45.9,30.1,26,31.6,32,"$61,747",23,"$64,927",24
Wyoming,26.6,69.9,21.9,68.2,27.8,68.6,27.4,39,29.0,41,"$64,049",19,"$65,727",23
