State,Total Population by Race (2020 Census),,,,,,Voting Age Population by Race (2020 Census),,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
Nationwide,57.8,14.2,18.7,7.2,2.9,0.5,60.8,13.2,16.8,7.0,2.7,0.4,67.6,13.1,12.8,4.8,1.3,0.2,"331,449,281","191,697,647","46,936,733","62,080,044","24,000,998","9,666,058","1,586,463","258,343,281","157,118,573","34,092,162","43,322,792","18,138,612","6,982,636","1,069,995","233,440,505","157,836,515","30,504,911","29,875,840","11,313,247","2,993,515","353,726"
Alabama,63.1,27.2,5.3,2.0,2.6,0.1,65.5,25.9,4.3,1.9,2.5,0.1,69.0,26.6,2.1,1.1,1.2,0.0,"5,024,279","3,171,351","1,364,736","264,047","102,777","131,030","7,479","3,917,166","2,564,544","1,014,372","166,856","74,909","98,114","4,890","3,709,181","2,558,844","987,332","76,761","39,801","43,145","1,316"
Alaska,57.5,4.8,6.8,8.4,21.9,2.5,61.5,4.3,6.0,7.8,19.1,2.0,66.1,3.8,5.9,5.5,16.9,1.1,"733,391","421,758","35,454","49,824","61,460","160,287","18,668","554,003","340,580","23,665","33,441","43,407","105,737","11,184","532,540","351,991","20,368","31,283","29,103","90,039","5,596"
Arizona,53.4,6.2,30.7,4.9,6.3,0.5,58.1,5.5,26.9,4.6,5.8,0.4,63.5,4.9,23.7,3.0,4.5,0.2,"7,151,502","3,816,547","446,394","2,192,253","351,132","453,560","37,212","5,541,976","3,218,094","302,176","1,489,617","257,630","319,230","24,481","5,050,109","3,206,822","247,682","1,196,053","150,415","226,447","8,893"
Arkansas,68.5,16.5,8.5,2.3,3.8,0.6,71.5,15.2,7.0,2.1,3.7,0.4,77.7,15.4,3.8,1.1,1.8,0.1,"3,011,524","2,063,550","495,968","256,847","68,558","115,614","17,874","2,312,273","1,653,772","351,878","162,002","48,739","84,912","10,293","2,219,465","1,724,663","342,667","83,519","25,166","40,924","1,845"
California,34.7,7.1,39.4,17.8,3.6,0.8,37.9,6.8,36.0,17.9,3.4,0.8,45.7,7.1,30.5,14.8,1.0,0.4,"39,523,437","13,709,273","2,818,916","15,571,928","7,035,269","1,404,805","330,616","30,827,105","11,672,897","2,098,032","11,083,294","5,502,723","1,044,783","238,128","25,774,732","11,778,420","1,823,059","7,861,111","3,825,385","262,222","96,893"
Colorado,65.1,5.5,21.9,4.9,3.6,0.4,68.6,4.9,19.2,4.6,3.4,0.4,75.1,4.3,16.0,2.9,1.3,0.1,"5,773,714","3,760,663","318,179","1,263,390","285,784","207,787","24,714","4,509,576","3,095,664","219,101","864,196","205,838","151,224","16,350","4,154,043","3,119,960","180,375","664,319","122,275","53,537","5,225"
Connecticut,63.2,13.0,17.3,5.7,1.7,0.2,66.7,11.8,15.0,5.3,1.6,0.1,73.4,10.2,12.2,3.4,0.6,0.0,"3,605,944","2,279,232","467,416","623,293","205,693","60,910","5,971","2,869,227","1,913,793","339,200","430,695","150,724","44,697","4,294","2,615,899","1,919,988","267,226","320,287","89,683","14,931",695
Delaware,58.6,24.7,10.5,5.1,2.2,0.2,62.4,22.8,8.7,4.8,2.0,0.1,68.7,22.1,5.6,2.8,0.8,0.0,"989,948","579,851","244,944","104,290","50,969","21,392","1,547","783,543","489,226","178,357","67,906","37,878","15,627","1,057","723,115","496,684","159,697","40,333","19,969","5,706",257
Florida,51.5,17.2,26.5,3.9,1.8,0.2,54.7,15.5,25.0,3.7,1.7,0.2,61.2,15.0,20.4,2.5,0.6,0.1,"21,538,187","11,100,503","3,703,952","5,697,240","843,005","384,485","44,454","17,339,232","9,476,700","2,694,907","4,332,685","637,361","294,420","31,873","15,296,876","9,361,771","2,291,519","3,122,148","389,713","93,707","8,387"
Georgia,50.1,33.0,10.5,5.3,2.0,0.2,52.8,31.7,9.0,5.1,1.9,0.2,58.3,32.8,5.0,3.1,0.7,0.0,"10,711,908","5,362,156","3,538,146","1,123,457","565,644","214,041","19,020","8,220,274","4,342,333","2,607,986","742,918","416,584","157,885","12,728","7,482,264","4,358,439","2,450,949","377,593","230,170","50,860","3,567"
Hawaii,21.6,3.2,9.5,56.6,2.9,27.1,23.8,2.8,8.1,55.9,2.4,22.9,25.5,2.4,8.7,42.1,0.8,8.2,"1,455,271","314,365","46,783","138,923","824,143","41,528","394,102","1,155,905","275,624","31,984","93,107","646,555","28,129","264,451","1,020,539","260,084","24,435","89,183","429,397","8,058","83,620"
Idaho,78.9,1.5,13.0,2.6,3.6,0.5,81.5,1.2,11.0,2.4,3.3,0.4,87.1,0.8,8.3,1.5,2.0,0.1,"1,839,106","1,450,523","27,645","239,407","47,513","65,552","9,293","1,376,400","1,121,466","16,047","151,700","32,362","45,525","5,726","1,255,340","1,093,403","9,810","103,602","19,106","25,018","1,744"
Illinois,58.3,15.5,18.2,6.8,2.2,0.1,61.2,14.7,16.2,6.6,2.0,0.1,68.0,15.0,11.7,4.6,0.5,0.0,"12,812,508","7,472,751","1,992,213","2,337,410","875,488","280,985","16,842","9,999,469","6,123,548","1,468,381","1,620,312","662,189","204,938","11,949","9,064,416","6,166,550","1,363,419","1,058,582","420,688","41,369","2,660"
Indiana,75.5,11.2,8.2,3.1,2.1,0.2,78.3,9.9,6.8,2.9,2.0,0.2,84.0,9.5,4.2,1.5,0.7,0.0,"6,785,528","5,121,004","760,017","554,191","212,649","139,443","12,015","5,192,579","4,065,650","515,080","350,929","150,219","102,224","8,691","4,933,221","4,144,074","469,780","206,192","75,511","32,331","1,258"
Iowa,82.7,5.4,6.8,3.0,1.8,0.3,85.5,4.3,5.5,2.8,1.6,0.3,90.6,3.3,3.6,1.7,0.7,0.1,"3,190,369","2,638,201","172,988","215,986","96,861","55,958","10,073","2,450,103","2,093,769","104,136","134,104","67,950","38,717","6,628","2,331,851","2,113,100","77,568","83,292","38,755","16,159","1,427"
Kansas,72.2,7.6,13.0,3.8,3.8,0.3,75.5,6.6,10.8,3.5,3.5,0.2,82.2,6.2,7.2,2.4,1.7,0.1,"2,937,880","2,122,575","223,275","382,603","112,195","111,305","7,890","2,229,316","1,683,982","148,173","241,586","78,934","77,897","4,968","2,097,018","1,724,073","130,533","150,518","50,780","36,662","1,306"
Kentucky,81.3,9.7,4.6,2.2,2.0,0.2,83.4,8.6,3.8,2.0,2.0,0.2,88.1,8.2,1.8,1.1,0.7,0.0,"4,505,836","3,664,764","436,059","207,854","98,763","91,206","8,449","3,483,900","2,905,545","299,191","133,075","68,607","68,900","5,751","3,362,397","2,961,239","277,397","61,905","35,432","22,736","1,317"
Louisiana,55.8,33.1,6.9,2.4,2.2,0.1,58.3,31.2,6.3,2.3,2.1,0.1,62.3,32.0,3.1,1.4,1.1,0.0,"4,657,757","2,596,702","1,543,119","322,549","111,836","103,128","6,100","3,570,548","2,082,110","1,115,769","223,662","82,947","74,905","4,160","3,467,793","2,158,930","1,110,158","109,085","49,799","37,612",936
Maine,90.2,2.7,2.0,1.9,2.5,0.1,91.7,2.0,1.6,1.6,2.2,0.1,95.1,1.0,1.3,1.1,1.4,0.0,"1,362,359","1,228,264","36,304","26,609","25,473","33,502","1,619","1,110,085","1,017,504","21,960","17,656","18,011","24,805","1,148","1,070,545","1,017,870","10,890","14,311","11,738","14,916",124
Maryland,47.2,31.8,11.8,8.1,1.9,0.2,49.9,31.0,10.2,7.8,1.9,0.2,56.8,31.0,5.6,5.6,0.7,0.0,"6,175,403","2,913,263","1,964,359","729,673","502,844","116,744","11,029","4,815,202","2,401,360","1,492,989","492,262","376,559","93,633","7,849","4,313,314","2,448,900","1,338,145","241,096","243,609","29,860","1,616"
Massachusetts,67.6,9.5,12.6,8.3,1.3,0.1,70.4,8.6,11.0,7.9,1.2,0.1,78.6,6.8,8.8,5.2,0.5,0.0,"7,029,917","4,748,897","669,866","887,685","582,484","94,040","10,436","5,663,723","3,988,985","486,313","621,508","448,120","69,936","7,785","5,030,884","3,955,451","341,158","443,162","259,159","25,104","1,921"
Michigan,72.4,15.3,5.6,4.1,2.4,0.1,74.9,14.0,4.6,3.8,2.3,0.1,78.9,14.0,3.5,2.3,1.2,0.0,"10,077,331","7,295,651","1,544,122","564,422","411,928","246,458","11,255","7,914,602","5,928,796","1,111,506","367,645","300,440","178,471","7,503","7,528,663","5,937,381","1,055,583","264,972","175,580","88,676","2,118"
Minnesota,76.3,8.5,6.1,6.3,2.8,0.2,80.0,6.8,5.0,5.5,2.4,0.1,85.9,5.4,3.1,4.0,1.5,0.0,"5,706,494","4,353,880","483,646","345,640","357,704","157,651","9,387","4,389,033","3,509,053","298,786","218,767","241,531","104,347","6,091","4,113,379","3,535,145","222,129","126,049","162,671","61,503","1,390"
Mississippi,55.4,37.9,3.6,1.5,1.8,0.1,57.8,36.1,3.0,1.4,1.7,0.1,59.5,37.0,1.9,0.8,0.7,0.0,"2,961,279","1,639,077","1,123,613","105,220","44,931","53,729","3,235","2,277,599","1,315,451","823,080","68,637","32,717","39,081","2,214","2,238,102","1,331,584","828,757","41,685","18,017","16,268",906
Missouri,75.8,13.0,4.9,2.9,3.0,0.3,78.0,11.8,4.1,2.7,2.8,0.2,82.9,11.5,2.8,1.6,1.1,0.1,"6,154,913","4,663,907","798,623","303,068","179,336","183,435","17,870","4,775,612","3,723,642","562,207","197,173","129,505","135,751","11,326","4,630,114","3,836,442","533,037","127,593","73,509","51,550","3,408"
