District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
Nationwide,USA,59.6,13.4,18.7,6.5,1.2,0.2,62.5,12.7,16.7,6.5,1.2,0.2,62.8,13.8,16.1,5.4,1.3,0.2,66.5,13.1,13.5,5.1,1.3,0.2,"331,097,595","197,456,990","44,314,225","61,755,865","21,681,985","4,123,825","579,520","257,883,890","161,148,760","32,717,165","43,033,160","16,738,590","3,120,155","439,440","309,482,690","194,482,730","42,648,250","49,946,640","16,664,910","4,106,470","491,750","238,133,935","158,456,575","31,275,755","32,082,790","12,204,305","3,104,135","362,135"
Alabama's 1st,AL-01,65.3,27.4,3.5,1.9,1.6,0.0,67.5,25.8,3.0,1.7,1.7,0.0,65.9,27.7,2.9,1.6,1.6,0.0,68.3,26.1,2.3,1.4,1.7,0.0,"718,905","469,210","197,250","25,020","13,465","11,655",155,"557,645","376,560","143,960","16,665","9,685","9,390",150,"708,535","466,810","196,025","20,710","11,105","11,655",105,"548,455","374,540","143,035","12,720","7,450","9,390",95
Alabama's 2nd,AL-02,60.6,32.0,4.1,2.1,1.0,0.0,63.2,30.5,3.2,2.0,1.1,0.0,61.6,32.6,3.3,1.4,1.0,0.0,64.3,31.1,2.2,1.3,1.1,0.0,"714,525","433,330","228,870","29,085","15,005","7,140",70,"552,575","349,085","168,585","17,450","11,230","5,860",55,"700,735","431,385","228,090","22,905","10,125","7,130",65,"540,250","347,310","168,065","11,665","6,995","5,850",50
Alabama's 3rd,AL-03,68.2,25.6,3.4,1.7,0.8,0.1,69.8,24.7,2.8,1.6,0.8,0.1,69.0,25.9,2.8,1.1,0.8,0.1,70.8,25.0,2.1,0.9,0.9,0.1,"717,660","489,385","183,825","24,335","12,220","5,670",400,"566,410","395,290","140,010","15,715","9,220","4,745",295,"706,170","487,600","182,945","20,075","7,730","5,665",400,"556,010","393,565","139,185","11,895","5,220","4,745",295
Alabama's 4th,AL-04,82.5,8.1,6.9,0.8,1.6,0.0,84.8,7.6,5.0,0.7,1.6,0.0,84.4,8.2,5.0,0.6,1.6,0.0,87.1,7.8,2.7,0.6,1.7,0.0,"717,745","592,155","57,870","49,845","5,600","11,380",300,"556,165","471,765","42,390","28,085","4,095","9,150",240,"700,025","590,650","57,400","35,240","4,480","11,380",280,"540,005","470,370","42,035","14,785","3,000","9,150",220
Alabama's 5th,AL-05,71.3,18.9,5.7,2.3,1.6,0.0,73.3,18.2,4.4,2.2,1.7,0.0,72.8,19.2,4.4,1.8,1.6,0.0,75.1,18.6,2.9,1.7,1.7,0.0,"720,870","514,120","136,050","40,745","16,660","11,175",330,"565,775","414,805","103,030","25,100","12,580","9,345",225,"702,965","511,560","134,870","30,670","12,765","11,135",305,"549,440","412,430","102,010","15,835","9,070","9,305",210
Alabama's 6th,AL-06,70.9,20.9,5.3,2.0,0.7,0.0,73.5,19.6,4.1,1.9,0.8,0.0,72.2,21.3,3.9,1.7,0.8,0.0,75.3,20.0,2.4,1.5,0.8,0.0,"711,395","504,080","148,940","37,995","14,295","5,270",270,"545,445","400,885","106,915","22,495","10,445","4,340",235,"694,575","501,790","148,045","27,305","11,485","5,270",270,"529,850","398,820","106,095","12,505","7,850","4,340",235
Alabama's 7th,AL-07,37.0,57.5,3.5,1.4,0.5,0.0,39.4,55.8,2.7,1.4,0.6,0.0,37.6,58.5,2.3,1.0,0.6,0.0,40.1,56.9,1.5,0.9,0.6,0.0,"726,995","268,950","417,765","25,385","10,535","3,945",65,"573,435","226,105","319,770","15,740","8,130","3,225",65,"711,860","267,405","416,550","16,705","6,960","3,945",55,"560,040","224,690","318,800","8,160","4,820","3,225",55
Alaska's At-Large,AK-AL,59.3,4.2,7.5,7.7,18.5,1.5,63.3,3.9,6.5,7.5,16.5,1.3,60.5,4.2,7.2,6.4,19.1,1.4,64.8,3.9,6.2,5.9,17.1,1.1,"734,820","436,030","30,980","54,890","56,615","135,985","10,950","555,485","351,895","21,915","36,265","41,870","91,820","7,020","712,100","430,570","29,850","51,190","45,555","135,855","9,795","534,725","346,615","21,035","33,030","31,740","91,685","6,005"
Arizona's 1st,AZ-01,70.5,4.3,17.3,5.4,2.0,0.2,73.8,4.0,14.9,5.0,1.9,0.2,73.3,4.4,15.4,4.3,2.1,0.2,77.3,4.1,12.4,3.7,2.0,0.2,"789,175","556,150","34,105","136,310","42,760","15,765","1,585","648,295","478,615","25,920","96,415","32,115","12,215","1,330","741,880","543,455","32,665","113,940","32,180","15,705","1,490","604,630","467,105","24,700","75,225","22,580","12,155","1,240"
