State,Total Population by Race (2020 Census),,,,,,Voting Age Population by Race (2020 Census),,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
Nationwide,59.6,13.4,18.7,6.5,1.2,0.2,62.5,12.7,16.7,6.5,1.2,0.2,62.8,13.8,16.1,5.4,1.3,0.2,66.5,13.1,13.5,5.1,1.3,0.2,"331,097,595","197,456,990","44,314,225","61,755,865","21,681,985","4,123,825","579,520","257,883,890","161,148,760","32,717,165","43,033,160","16,738,590","3,120,155","439,440","309,482,690","194,482,730","42,648,250","49,946,640","16,664,910","4,106,470","491,750","238,133,935","158,456,575","31,275,755","32,082,790","12,204,305","3,104,135","362,135"
Alabama,65.1,27.3,4.6,1.7,1.1,0.0,67.3,26.2,3.6,1.7,1.2,0.0,66.1,27.7,3.5,1.3,1.1,0.0,68.6,26.7,2.3,1.2,1.2,0.0,"5,028,090","3,271,225","1,370,580","232,405","87,785","56,240","1,590","3,917,450","2,634,490","1,024,660","141,250","65,380","46,045","1,260","4,924,860","3,257,200","1,363,930","173,605","64,645","56,185","1,475","3,824,040","2,621,730","1,019,225","87,570","44,400","45,995","1,160"
Alaska,59.3,4.2,7.5,7.7,18.5,1.5,63.3,3.9,6.5,7.5,16.5,1.3,60.5,4.2,7.2,6.4,19.1,1.4,64.8,3.9,6.2,5.9,17.1,1.1,"734,820","436,030","30,980","54,890","56,615","135,985","10,950","555,485","351,895","21,915","36,265","41,870","91,820","7,020","712,100","430,570","29,850","51,190","45,555","135,855","9,795","534,725","346,615","21,035","33,030","31,740","91,685","6,005"
Arizona,53.7,5.3,32.0,4.1,4.3,0.2,58.1,4.9,28.4,4.1,4.0,0.2,56.7,5.5,29.3,3.4,4.6,0.2,62.2,5.1,24.6,3.2,4.4,0.2,"7,172,280","3,850,230","381,250","2,297,515","297,185","307,960","12,925","5,578,820","3,243,070","272,780","1,584,280","228,895","224,660","10,200","6,681,080","3,789,020","366,220","1,955,930","226,140","307,595","11,615","5,118,555","3,185,580","261,015","1,259,165","165,105","224,300","9,090"
Arkansas,71.5,16.1,8.1,1.9,1.8,0.4,74.3,15.0,6.6,1.8,1.8,0.3,73.6,16.6,6.1,1.4,1.8,0.2,76.9,15.5,4.3,1.3,1.8,0.1,"3,018,670","2,159,400","487,120","243,320","58,135","53,750","11,090","2,321,400","1,725,495","348,780","153,840","42,315","41,145","7,035","2,920,760","2,150,710","484,320","179,480","42,220","53,745","4,755","2,233,470","1,717,850","346,310","94,935","28,600","41,140","2,120"
California,35.8,6.2,39.7,16.5,0.8,0.4,39.0,6.2,36.2,16.8,0.9,0.4,39.4,6.9,36.6,15.1,1.0,0.4,44.0,7.1,31.7,15.3,1.0,0.4,"39,356,105","14,099,515","2,450,320","15,617,930","6,489,585","332,895","141,855","30,581,535","11,928,785","1,904,520","11,084,740","5,151,220","265,030","113,270","34,550,270","13,609,700","2,379,290","12,662,405","5,227,415","330,580","123,850","26,078,140","11,485,705","1,841,855","8,266,065","3,997,305","262,900","96,705"
Colorado,67.2,4.8,22.1,4.2,1.2,0.1,70.6,4.4,19.3,4.0,1.2,0.1,70.0,4.7,20.0,3.5,1.3,0.1,74.1,4.4,16.7,3.2,1.3,0.1,"5,770,790","3,880,175","277,580","1,273,760","242,335","70,425","7,585","4,529,480","3,198,965","201,200","876,300","180,375","56,130","6,000","5,484,710","3,838,930","260,515","1,096,985","192,750","70,115","6,860","4,267,285","3,161,185","186,760","711,785","136,170","55,815","5,415"
Connecticut,65.1,11.3,17.4,5.4,0.6,0.0,68.3,10.7,15.1,5.1,0.5,0.0,68.0,11.1,15.8,4.2,0.6,0.0,72.0,10.5,13.1,3.7,0.6,0.0,"3,611,315","2,351,865","408,750","627,410","195,585","20,650",895,"2,868,440","1,960,560","307,265","434,305","146,470","15,735",745,"3,366,530","2,290,540","374,605","532,275","141,705","20,520",875,"2,646,720","1,904,700","277,115","347,130","98,215","15,620",725
Delaware,60.9,23.4,9.9,4.7,0.8,0.0,64.6,21.9,8.1,4.5,0.8,0.0,63.4,23.8,8.3,3.4,0.8,0.0,67.6,22.3,6.1,3.1,0.8,0.0,"993,635","605,390","232,820","98,695","46,220","7,535",255,"786,935","508,390","172,655","63,415","35,160","6,165",230,"948,665","601,385","225,930","78,580","32,660","7,485",240,"746,110","504,615","166,355","45,450","22,760","6,115",220
Florida,53.0,16.2,26.5,3.3,0.6,0.1,55.7,14.9,25.3,3.2,0.6,0.1,56.5,16.5,23.1,2.9,0.6,0.1,60.0,15.1,21.4,2.7,0.6,0.1,"21,634,530","11,456,835","3,514,645","5,738,285","723,115","124,440","12,155","17,399,100","9,689,365","2,585,145","4,409,240","563,720","103,385","10,065","19,740,210","11,149,765","3,264,350","4,563,130","568,760","122,690","10,700","15,698,795","9,412,820","2,363,440","3,352,805","424,870","101,755","8,780"
Georgia,51.4,32.7,10.1,4.8,0.7,0.1,54.1,31.7,8.6,4.8,0.7,0.1,53.7,33.8,7.8,3.7,0.7,0.1,57.0,33.0,5.6,3.4,0.8,0.0,"10,722,325","5,510,220","3,505,380","1,078,455","519,940","73,920","6,080","8,209,780","4,437,390","2,600,330","702,320","391,775","60,135","4,315","10,141,390","5,449,035","3,429,750","786,255","370,215","73,410","5,340","7,686,560","4,381,850","2,535,905","432,975","259,660","59,680","3,720"
Hawaii,21.4,2.3,11.0,41.4,0.7,9.7,23.5,2.3,8.7,44.0,0.7,9.2,22.4,2.4,11.4,39.6,0.7,9.1,24.8,2.5,9.1,42.1,0.8,8.3,"1,450,590","310,140","33,625","159,025","601,140","9,745","141,340","1,145,270","269,370","26,665","99,610","504,415","8,440","104,810","1,346,395","301,165","32,740","154,155","533,175","9,610","121,910","1,050,735","260,855","25,850","95,200","442,550","8,320","87,700"
Idaho,81.3,1.1,13.1,2.1,1.9,0.1,83.6,0.9,11.1,2.0,1.9,0.1,83.4,1.0,11.3,1.8,2.0,0.1,86.3,0.8,8.8,1.6,2.0,0.1,"1,854,110","1,508,200","20,525","242,235","39,275","35,350","2,365","1,399,330","1,170,425","12,815","156,005","28,190","26,670","1,775","1,795,410","1,497,960","18,795","202,615","32,400","35,340","2,180","1,344,940","1,161,335","11,380","118,745","21,810","26,655","1,605"
Illinois,60.2,14.8,17.8,6.5,0.5,0.0,63.0,14.1,15.9,6.4,0.5,0.0,63.2,15.5,15.4,5.2,0.5,0.0,66.9,15.0,12.6,4.9,0.5,0.0,"12,757,635","7,679,365","1,887,120","2,275,705","827,090","62,490","3,305","9,937,155","6,256,640","1,403,260","1,577,135","636,425","48,800","2,780","11,912,210","7,524,945","1,847,720","1,830,060","622,865","62,220","2,825","9,143,765","6,113,400","1,370,020","1,148,585","449,670","48,550","2,310"
Indiana,77.9,10.8,7.5,3.0,0.6,0.0,80.4,9.7,6.3,2.8,0.7,0.0,80.1,10.7,6.2,2.1,0.6,0.0,83.1,9.6,4.6,1.7,0.7,0.0,"6,784,405","5,283,850","731,655","510,985","200,270","42,700","2,290","5,206,940","4,187,720","504,405","325,590","146,115","34,665","1,930","6,566,030","5,258,335","705,795","410,280","135,475","42,530","1,970","5,009,620","4,164,400","483,100","232,800","87,375","34,490","1,645"
