District,Biden,Trump,Clinton,Trump,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
USA,51.4,46.9,48.4,46.3,34.3,181.5,38.0,205.5,"$74,755",199.5,"$80,404",217.5
AK-AL,43.0,53.1,37.6,52.8,30.7,245,37.3,215,"$88,121",109,"$96,116",112
AL-01,35.3,63.6,33.8,62.9,25.9,326,29.7,324,"$58,781",376,"$70,222",319
AL-02,34.8,64.2,32.3,64.8,25.1,335,27.5,358,"$57,561",382,"$68,651",338
AL-03,32.5,66.6,31.1,65.7,22.4,389,24.3,403,"$54,047",408,"$59,875",416
AL-04,18.6,80.4,18.0,79.0,18.5,425,19.2,432,"$54,960",399,"$57,129",424
AL-05,35.6,62.7,30.8,63.8,35.7,162,37.2,218,"$73,698",211,"$78,150",236
AL-06,34.4,64.4,28.5,66.8,38.8,131,42.0,155,"$78,796",175,"$87,771",173
AL-07,65.6,33.6,64.1,33.5,23.9,361,33.1,276,"$45,784",432,"$61,540",404
AR-01,28.1,69.0,30.1,65.0,17.6,429,19.0,433,"$50,233",421,"$55,153",430
AR-02,42.1,55.2,39.5,54.5,32.5,208,34.3,259,"$60,134",365,"$67,404",355
AR-03,36.8,60.2,31.8,60.4,31.1,236,34.2,262,"$66,414",291,"$68,692",337
AR-04,31.0,66.2,32.5,62.9,18.0,426,19.7,431,"$48,035",427,"$51,597",433
AZ-01,50.1,48.6,44.6,48.8,50.6,35,54.5,53,"$91,562",89,"$100,100",85
AZ-02,45.3,53.2,41.1,51.2,25.0,338,32.0,295,"$62,015",343,"$67,567",351
AZ-03,74.5,23.9,71.4,21.5,18.0,427,35.0,250,"$63,913",321,"$75,788",258
AZ-04,54.2,43.9,46.5,44.1,37.2,144,40.9,167,"$79,108",169,"$82,961",200
AZ-05,41.0,57.4,35.3,56.6,39.7,115,40.3,178,"$101,489",51,"$101,704",81
AZ-06,49.3,49.2,43.8,49.0,38.1,136,42.6,150,"$71,152",236,"$72,256",293
AZ-07,65.6,32.9,63.4,29.8,20.9,407,33.1,277,"$52,555",417,"$57,062",425
AZ-08,42.5,56.1,37.2,56.1,31.5,225,33.4,270,"$79,042",170,"$81,589",212
AZ-09,36.4,62.2,32.3,61.4,21.8,399,23.7,410,"$73,310",216,"$72,163",295
CA-01,39.2,58.3,35.6,57.4,22.7,384,25.3,392,"$64,471",312,"$65,445",373
CA-02,73.5,24.0,68.9,23.4,42.3,93,47.4,106,"$92,721",81,"$95,474",117
CA-03,47.9,49.7,42.5,50.3,40.2,112,40.7,171,"$98,689",63,"$98,523",94
CA-04,67.1,30.5,63.7,29.3,35.4,165,41.9,157,"$87,319",113,"$92,854",134
CA-05,42.7,55.0,39.3,54.6,30.2,253,32.6,284,"$84,734",130,"$88,838",168
CA-06,57.9,39.4,54.8,38.0,29.3,269,31.6,304,"$80,409",160,"$84,011",194
CA-07,67.4,30.3,66.3,27.7,33.4,192,42.2,154,"$85,158",127,"$94,033",123
CA-08,76.0,22.0,75.3,19.4,29.8,256,38.6,200,"$91,501",90,"$97,244",102
CA-09,55.2,42.6,53.8,40.8,20.4,411,25.5,389,"$86,062",123,"$96,030",113
CA-10,68.6,29.3,65.1,28.9,54.8,21,56.5,46,"$143,122",5,"$141,158",12
CA-11,86.3,11.7,86.0,8.9,64.0,7,78.8,5,"$139,300",7,"$173,025",1
CA-12,89.3,8.6,87.6,6.5,53.5,26,74.6,10,"$100,136",58,"$149,770",8
CA-13,54.3,43.4,53.4,40.9,13.1,433,20.6,426,"$67,465",277,"$74,715",267
