State,Biden,Trump,Clinton,Trump,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
USA,51.4,46.9,48.4,46.3,34.3,19.5,38.0,19.5,"$74,755",18.5,"$80,404",20.5
Alabama,36.6,62.0,34.4,62.1,27.2,44,30.1,44,"$59,674",44,"$68,212",44
Alaska,42.8,52.8,36.6,51.3,30.7,33,37.3,22,"$88,121",11,"$96,116",6
Arizona,49.2,48.9,44.6,48.1,31.8,29,38.2,19,"$74,568",19,"$80,637",20
Arkansas,34.8,62.4,33.7,60.6,24.7,48,26.6,49,"$55,432",47,"$60,593",49
California,63.4,34.3,61.5,31.5,35.9,15,46.1,7,"$91,551",5,"$103,065",3
Colorado,55.4,41.9,48.2,43.3,43.7,2,50.2,1,"$89,302",8,"$95,026",7
Connecticut,59.2,39.2,54.6,40.9,41.4,6,46.5,6,"$88,429",10,"$98,533",5
Delaware,58.7,39.8,53.1,41.7,34.5,19,37.0,24,"$82,174",14,"$89,282",14
Florida,47.8,51.1,47.4,48.6,32.3,26,35.9,26,"$69,303",33,"$75,199",26
Georgia,49.5,49.3,45.3,50.4,33.6,24,37.2,23,"$72,837",21,"$82,642",19
Hawaii,63.7,34.3,62.2,30.0,34.7,17,46.9,4,"$92,458",4,"$93,988",8
Idaho,33.1,63.8,27.5,59.2,30.2,38,32.0,37,"$72,785",22,"$74,179",28
Illinois,57.5,40.5,55.2,38.4,36.7,12,40.8,13,"$76,708",17,"$83,745",18
Indiana,41.0,57.0,37.5,56.5,28.2,42,29.0,46,"$66,785",38,"$70,748",38
Iowa,44.9,53.1,41.7,51.1,30.3,37,31.1,41,"$69,588",31,"$71,772",34
Kansas,41.6,56.2,35.7,56.2,34.7,18,37.5,21,"$68,925",34,"$71,493",36
Kentucky,36.2,62.1,32.7,62.5,26.5,46,26.8,48,"$59,341",46,"$61,005",48
Louisiana,39.9,58.5,38.4,58.1,26.1,47,30.1,43,"$55,416",48,"$67,499",45
Maine,53.1,44.0,47.8,44.9,34.1,20,34.1,31,"$69,543",32,"$70,260",39
Maryland,65.4,32.2,60.3,33.9,42.2,4,47.4,3,"$94,991",2,"$107,314",1
Massachusetts,65.6,32.1,60.0,32.8,45.9,1,49.2,2,"$94,488",3,"$102,027",4
Michigan,50.6,47.8,47.0,47.3,31.1,32,32.3,34,"$66,986",37,"$71,829",33
Minnesota,52.4,45.3,46.4,44.9,38.2,10,39.8,15,"$82,338",13,"$85,844",17
Mississippi,41.1,57.6,40.1,57.9,23.9,49,27.7,47,"$52,719",50,"$64,313",46
Missouri,41.4,56.8,37.9,56.4,31.2,31,32.2,35,"$64,811",41,"$68,931",43
Montana,40.5,56.9,35.4,55.6,34.0,21,35.3,30,"$67,631",35,"$69,772",41
Nebraska,39.2,58.2,33.7,58.7,33.5,25,35.8,27,"$69,597",30,"$72,577",32
Nevada,50.1,47.7,47.9,45.5,26.5,45,31.7,38,"$72,333",23,"$78,344",21
New Hampshire,52.7,45.4,46.8,46.5,39.0,8,39.1,16,"$89,992",7,"$90,938",12
New Jersey,57.1,41.3,55.0,41.0,42.3,3,46.9,5,"$96,346",1,"$106,209",2
New Mexico,54.3,43.5,48.3,40.0,29.1,40,42.2,10,"$59,726",43,"$71,634",35
New York,60.8,37.7,59.0,36.5,38.8,9,45.4,8,"$79,557",16,"$90,104",13
North Carolina,48.6,49.9,46.2,49.8,33.9,22,37.6,20,"$67,481",36,"$75,565",25
North Dakota,31.8,65.1,27.2,63.0,31.4,30,32.4,33,"$71,970",25,"$76,600",24
Ohio,45.2,53.2,43.2,51.3,30.4,35,31.5,39,"$65,720",39,"$70,905",37
Oklahoma,32.3,65.4,28.9,65.3,27.3,43,29.9,45,"$59,673",45,"$63,747",47
Oregon,56.5,40.4,50.1,39.1,35.5,16,36.9,25,"$75,657",18,"$77,227",22
Pennsylvania,49.9,48.7,47.5,48.2,33.8,23,35.3,29,"$71,798",26,"$76,940",23
Rhode Island,59.4,38.6,54.4,38.9,36.3,13,40.1,14,"$81,854",15,"$86,640",15
South Carolina,43.4,55.1,40.7,54.9,30.6,34,35.4,28,"$64,115",42,"$73,731",29
South Dakota,35.6,61.8,31.7,61.5,30.4,36,32.2,36,"$69,728",29,"$72,908",31
Tennessee,37.5,60.7,34.7,60.7,29.7,39,31.1,40,"$65,254",40,"$69,743",42
Texas,46.5,52.1,43.2,52.2,32.3,27,41.0,12,"$72,284",24,"$86,229",16
Utah,37.2,57.5,27.2,45.1,36.1,14,38.9,18,"$89,168",9,"$93,223",9
Vermont,66.1,30.7,56.7,30.3,41.7,5,41.5,11,"$73,991",20,"$73,560",30
Virginia,54.1,44.0,49.8,44.4,41.0,7,44.2,9,"$85,873",12,"$92,063",11
Washington,58.0,38.8,52.5,36.8,38.0,11,39.0,17,"$91,306",6,"$92,277",10
West Virginia,29.7,68.6,26.2,67.9,22.7,50,22.6,50,"$54,329",49,"$55,460",50
Wisconsin,49.4,48.8,46.5,47.2,32.0,28,33.5,32,"$70,996",27,"$74,459",27
Wyoming,26.6,69.9,21.9,68.2,29.0,41,30.5,42,"$70,042",28,"$70,106",40
