"GEO_ID","NAME","P002001","P002002","P002003","P002004","P002005","P002006",
"Geography","Label for GEO_ID","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","682820","456228","389832","66396","226592","0",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","682820","373585","259770","113815","309235","0",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","682819","343078","248414","94664","339741","0",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","682819","236405","122567","113838","446414","0",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","682819","447466","404064","43402","235353","0",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","682819","472327","450442","21885","210492","0",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","682820","492715","450215","42500","190105","0",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","710231","468893","315756","153137","241338","0",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","710224","440755","209902","230853","269469","0",
"5001600US0402","Congressional District 2 (116th Congress), Arizona","710224","633371","547610","85761","76853","0",
"5001600US0403","Congressional District 3 (116th Congress), Arizona","710224","630678","512621","118057","79546","0",
"5001600US0404","Congressional District 4 (116th Congress), Arizona","710224","526419","343280","183139","183805","0",
"5001600US0405","Congressional District 5 (116th Congress), Arizona","710224","708174","708174","0","2050","0",
"5001600US0406","Congressional District 6 (116th Congress), Arizona","710224","688035","688035","0","22189","0",
"5001600US0407","Congressional District 7 (116th Congress), Arizona","710224","709714","709714","0","510","0",
"5001600US0408","Congressional District 8 (116th Congress), Arizona","710225","693291","688225","5066","16934","0",
"5001600US0409","Congressional District 9 (116th Congress), Arizona","710224","710222","710222","0","2","0",
"5001600US0501","Congressional District 1 (116th Congress), Arkansas","728765","332015","136593","195422","396750","0",
"5001600US0502","Congressional District 2 (116th Congress), Arkansas","729192","514971","465761","49210","214221","0",
"5001600US0503","Congressional District 3 (116th Congress), Arkansas","728959","492974","412984","79990","235985","0",
"5001600US0504","Congressional District 4 (116th Congress), Arkansas","729002","297629","137499","160130","431373","0",
"5001600US0601","Congressional District 1 (116th Congress), California","702905","440196","215916","224280","262709","0",
"5001600US0602","Congressional District 2 (116th Congress), California","702905","543569","362807","180762","159336","0",
"5001600US0603","Congressional District 3 (116th Congress), California","702906","610254","498117","112137","92652","0",
"5001600US0604","Congressional District 4 (116th Congress), California","702906","461298","316126","145172","241608","0",
"5001600US0605","Congressional District 5 (116th Congress), California","702905","648164","585165","62999","54741","0",
