"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N",
"Geography","Geographic Area Name","!!Total:","!!Total:!!Urban","!!Total:!!Rural","!!Total:!!Not defined for this file",
"5001900US0101","Congressional District 1 (119th Congress), Alabama","717754","388657","329097","0",
"5001900US0102","Congressional District 2 (119th Congress), Alabama","717754","503557","214197","0",
"5001900US0103","Congressional District 3 (119th Congress), Alabama","717754","350943","366811","0",
"5001900US0104","Congressional District 4 (119th Congress), Alabama","717754","238623","479131","0",
"5001900US0105","Congressional District 5 (119th Congress), Alabama","717754","461471","256283","0",
"5001900US0106","Congressional District 6 (119th Congress), Alabama","717755","460268","257487","0",
"5001900US0107","Congressional District 7 (119th Congress), Alabama","717754","497361","220393","0",
"5001900US0200","Congressional District (at Large) (119th Congress), Alaska","733391","475967","257424","0",
"5001900US0401","Congressional District 1 (119th Congress), Arizona","794611","776606","18005","0",
"5001900US0402","Congressional District 2 (119th Congress), Arizona","794612","452031","342581","0",
"5001900US0403","Congressional District 3 (119th Congress), Arizona","794612","793879","733","0",
"5001900US0404","Congressional District 4 (119th Congress), Arizona","794611","793835","776","0",
"5001900US0405","Congressional District 5 (119th Congress), Arizona","794612","786268","8344","0",
"5001900US0406","Congressional District 6 (119th Congress), Arizona","794611","659098","135513","0",
"5001900US0407","Congressional District 7 (119th Congress), Arizona","794611","676072","118539","0",
"5001900US0408","Congressional District 8 (119th Congress), Arizona","794610","780311","14299","0",
"5001900US0409","Congressional District 9 (119th Congress), Arizona","794612","667130","127482","0",
"5001900US0501","Congressional District 1 (119th Congress), Arkansas","752509","306321","446188","0",
"5001900US0502","Congressional District 2 (119th Congress), Arkansas","752710","520045","232665","0",
"5001900US0503","Congressional District 3 (119th Congress), Arkansas","753219","541074","212145","0",
"5001900US0504","Congressional District 4 (119th Congress), Arkansas","753086","303237","449849","0",
"5001900US0601","Congressional District 1 (119th Congress), California","764578","509450","255128","0",
"5001900US0602","Congressional District 2 (119th Congress), California","765738","581153","184585","0",
"5001900US0603","Congressional District 3 (119th Congress), California","764630","570157","194473","0",
"5001900US0604","Congressional District 4 (119th Congress), California","765137","675150","89987","0",
"5001900US0605","Congressional District 5 (119th Congress), California","765010","564945","200065","0",
"5001900US0606","Congressional District 6 (119th Congress), California","756730","753458","3272","0",
"5001900US0607","Congressional District 7 (119th Congress), California","758120","723958","34162","0",
"5001900US0608","Congressional District 8 (119th Congress), California","758049","748104","9945","0",
"5001900US0609","Congressional District 9 (119th Congress), California","762029","703283","58746","0",
"5001900US0610","Congressional District 10 (119th Congress), California","760266","751002","9264","0",
"5001900US0611","Congressional District 11 (119th Congress), California","759192","759192","0","0",
"5001900US0612","Congressional District 12 (119th Congress), California","758548","758470","78","0",
"5001900US0613","Congressional District 13 (119th Congress), California","768072","619076","148996","0",
"5001900US0614","Congressional District 14 (119th Congress), California","759416","752075","7341","0",
"5001900US0615","Congressional District 15 (119th Congress), California","759058","758892","166","0",
"5001900US0616","Congressional District 16 (119th Congress), California","758823","739774","19049","0",
