ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,794611,555355,129929,36781,48562,27711,2877,650548,479118,90167,26116,35636,19976,1850,371758,165645,181468,386991,183759,197016
2,2,794612,439262,133934,25186,16397,187042,3240,628519,377323,92007,17206,12333,130920,2134,317058,130295,162484,331400,147209,176795
3,3,794612,155477,497430,99476,29025,41416,4031,568035,135143,330596,67446,21438,29136,2605,170143,121424,36498,177299,131484,41808
4,4,794611,438281,212504,59600,57732,38613,5715,628965,373705,145556,41594,45759,27295,3757,292378,136013,128842,302289,156461,138427
5,5,794612,532842,141062,41770,61660,22476,4918,584092,411245,89803,26563,42047,14972,3028,293915,103832,166365,323023,127801,188978
6,6,794611,501707,196567,41106,37198,28394,4976,642434,432642,136923,27963,27698,20616,3508,354405,155070,173737,368058,173479,187398
7,7,794611,226110,475267,43752,23815,49322,3173,601175,197763,333554,29754,18143,35015,2162,236125,149723,70427,238567,156296,77138
8,8,794610,510902,168012,50344,46829,26290,3572,628985,431740,113766,33748,33420,18558,2272,313776,116708,176019,327767,133741,187841
9,9,794612,456611,237548,48379,29914,32296,4710,609223,379415,157245,31786,21156,22742,3165,255099,82457,156561,276953,98509,173679
