ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_AsianAlone,T_10_CENS_NativeAlone,T_10_CENS_OtherAlone,T_10_CENS_TwoOrMore,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_AsianAlone,V_10_VAP_NativeAlone,V_10_VAP_OtherAlone,V_10_VAP_TwoOrMore,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,702905,555872,84261,14388,22959,32280,3061,9066,16472,13249,1232,21656,554136,455291,54690,9560,15333,21950,1994,7446,11975,9738,984,13173,316755,139534,177208
2,2,702905,511716,116969,16805,34076,31062,3286,11115,23714,14754,2070,21359,555305,423500,78229,12121,24017,20948,2231,9285,18946,10401,1554,12428,346621,255491,91129
3,3,702906,357493,195247,54256,88532,21214,7913,41303,69665,6112,1875,28113,526206,290101,124246,37234,65491,14119,4950,31967,55605,4599,1521,15749,248827,139674,109154
4,4,702906,549759,86868,12843,38955,20345,3453,8301,27801,7361,1397,20231,544601,441207,56598,8510,26278,14225,2160,6659,21016,5616,1021,11542,337472,149990,187497
5,5,702905,370810,180559,56657,89674,17544,7136,45219,73967,4421,1512,23214,544581,313874,117326,39213,67271,12133,4792,33968,59175,3443,1032,13229,297741,215830,81919
6,6,702905,273251,189445,111524,126639,20733,14843,88343,105178,4236,1763,32171,521275,228050,121466,73353,91097,13926,9984,63267,79465,3361,1187,18339,233674,162932,70736
7,7,702904,401755,113339,67103,117074,15739,9743,51612,95784,3598,1714,30288,525190,321672,71905,43331,81296,10555,6549,37057,70748,2809,1255,16124,289398,152694,136709
8,8,702905,352775,248397,66112,29587,21619,5227,52720,19858,6891,1283,18586,503201,281907,152327,40400,20568,14720,3097,35171,15849,5355,854,10068,215140,93613,121523
9,9,702904,259295,261187,72627,115952,16748,7423,58005,93246,3200,1259,23573,497569,209099,162458,45461,79164,10947,4574,39695,68185,2481,789,12539,215779,125120,90654
