ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_AsianAlone,T_10_CENS_NativeAlone,T_10_CENS_OtherAlone,T_10_CENS_TwoOrMore,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_AsianAlone,V_10_VAP_NativeAlone,V_10_VAP_OtherAlone,V_10_VAP_TwoOrMore,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,696345,522826,35983,104704,24786,12772,2395,94974,16416,5023,1152,19000,541696,420135,24637,71399,17910,9714,1568,67747,13668,4145,602,9997,358489,114948,240089
2,2,696345,545446,37802,93188,13413,9392,1065,86229,9934,3399,811,12350,552399,441031,26671,69499,9655,7171,717,66793,7766,2740,406,6696,337842,119522,214752
3,3,696345,490481,56614,120624,26642,7031,1207,110986,21367,2140,1342,13026,547085,399178,40216,84705,20605,5185,812,80493,17528,1691,749,6921,332479,147210,182117
4,4,696345,540189,47468,71379,35052,6395,1651,62725,27945,2022,1541,13864,543179,433225,33122,49293,24965,4716,1106,45441,21279,1623,876,7164,359883,124889,232404
5,5,696345,292916,46744,337652,20462,7064,1318,323710,15939,2278,1229,13183,529910,242631,32539,239030,15272,5260,893,232318,12683,1827,620,6998,321904,204539,115468
6,6,696345,531853,72538,77413,13678,6709,871,68200,10413,1947,1177,9970,562212,446837,49300,54297,10024,5036,615,50041,8306,1599,703,5228,346168,174083,169142
7,7,696345,443644,143444,81155,32955,6173,1423,66372,26498,1565,1961,12481,548325,364476,103697,57611,24701,4560,1010,49339,20902,1242,1218,7138,330985,169434,159082
8,8,696344,538737,62246,75503,18431,6783,1524,65498,13157,2037,1329,12881,559112,449554,42811,50968,13543,4973,1020,46584,10678,1650,782,6693,364396,160138,200862
9,9,696344,339205,242006,100419,25415,7088,2066,79619,19886,1560,2476,11159,523286,276965,165891,67820,18153,4994,1363,56029,15249,1252,1607,5975,272007,148946,121203
10,10,696345,284655,168274,206348,42260,6429,2842,186576,35230,1553,4909,14424,521757,231422,119262,141253,31881,4579,1999,129700,27646,1183,3452,8553,267783,163284,103019
11,11,696344,566859,61352,55528,10479,6381,936,47710,8023,2069,1112,8911,578009,487169,42326,38425,7626,4876,662,34860,6298,1706,658,4773,362118,154893,203598
12,12,696345,570597,70747,33807,19697,5853,1070,26180,15229,1645,1110,10485,556171,471403,47328,21714,13580,4318,693,18436,11453,1376,625,5297,345163,164289,177266
13,13,696345,515099,58491,94769,26333,6182,1491,85287,21665,1684,1411,12110,571710,444343,40744,64727,19534,4639,997,60538,16959,1435,823,6441,338995,188696,146603
14,14,696345,338799,189408,144750,33120,6452,1654,124802,26721,1454,1763,13032,538451,280376,138891,99920,24362,4694,1199,88498,20701,1179,1130,7376,294474,171187,121046
15,15,696345,438906,129589,107428,22620,7265,1503,93145,17462,2137,1935,12763,526620,353162,85591,71910,15996,5175,1032,64978,13283,1662,1154,6501,290138,136157,151614
16,16,696345,511185,106792,62713,15234,5379,1131,54193,11767,1401,1256,9427,553768,433221,68245,40505,10636,3781,732,36816,8946,1103,690,4514,335797,160570,172499
17,17,696345,528737,99947,55704,10049,6273,891,48595,7753,2355,805,7944,564981,451851,65343,38483,7234,4433,625,35370,5991,1727,461,4071,315335,138899,173402
18,18,696344,489603,99887,90945,16448,5765,1279,81500,12533,1332,1623,9547,556065,413619,68133,61933,11907,4020,946,57208,9723,998,1003,5135,335738,172152,161158
19,19,696345,503275,124452,57111,12135,4554,1135,48826,9127,1292,1595,7555,568936,438530,84381,36768,8752,3305,807,32741,7093,997,1103,3902,319110,135312,181609
20,20,696344,148661,157631,377372,22552,4654,2761,355542,17465,1225,2946,12588,517006,128387,114532,263197,16796,3214,2143,249588,13476,861,1859,8070,253426,205255,47247
21,21,696345,431426,141606,104274,20525,6495,1560,94213,16373,1174,2418,8890,559640,372332,101713,71064,14939,4500,1118,65319,12476,817,1619,5174,313891,199404,112829
22,22,696345,445859,124517,100743,24650,3750,1439,89719,19640,1033,4262,11048,565042,381499,93600,69765,18514,2793,1080,63310,15400,813,3200,7001,318023,185583,130719
23,23,696345,340721,228875,101070,31727,4362,1279,86319,25083,1596,2790,10680,543206,277794,173103,72326,23657,3023,956,62947,19453,1096,1770,6822,297812,184843,111431
24,24,696345,88937,247671,369183,13500,4492,2786,337663,9541,1046,1829,9433,529081,73381,194904,266767,10623,3209,2242,243997,7826,723,1208,6861,249040,209842,38472
25,25,696345,139410,518512,39777,9113,3093,842,26661,6788,1126,746,3049,543481,108499,407364,29173,6874,2088,630,19241,5350,744,403,1836,217863,87744,129129
26,26,696345,127132,472780,93438,15128,2971,1062,77194,10831,748,1394,6066,530215,100449,362150,64230,11597,2190,824,53174,8666,561,898,4153,244959,126494,117305
27,27,696345,169564,478430,43666,16679,2805,733,28662,12430,424,1540,5148,567876,136968,392688,34330,13536,2145,531,22397,10522,328,1083,3770,267089,133902,131999
