ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,807881,565520,61715,119614,35838,26649,3614,636380,462630,41999,84205,26058,20252,2348,349275,106528,242747,0,0,0,361546,106502,245815,376763,107092,265079
2,2,727856,537827,55005,96863,19323,18882,1680,588566,446456,39333,73084,14061,14572,1101,325069,110727,214342,0,0,0,331097,105030,219713,351029,101211,246787
3,3,766133,490232,86459,138327,37514,17176,1903,609560,407610,62753,98121,28893,13013,1316,323907,137649,186258,0,0,0,336731,139317,190509,336662,131147,201998
4,4,871884,612147,86345,98991,57740,17412,2540,691279,502634,61114,71642,41601,13063,1778,371717,123377,248340,0,0,0,416259,146255,261630,451985,158810,288452
5,5,748910,276549,74491,367467,26769,13892,1824,580527,233591,53084,268194,20547,10706,1286,310953,199964,110989,0,0,0,298765,184042,109283,275219,159089,112996
6,6,796254,559426,110333,92485,20361,17039,1419,658454,484011,79497,66626,15599,13258,1019,336956,158711,178245,0,0,0,368623,149143,212018,399693,146798,249436
7,7,788518,421207,207693,104611,53513,15367,2059,634763,356239,156479,77385,40736,11771,1481,329102,164738,164364,0,0,0,349123,181502,159170,341707,172173,165567
8,8,783753,558427,93322,88802,27720,16848,1983,645163,481232,66755,62431,20758,13057,1404,358897,153020,205877,0,0,0,391293,152531,229797,408402,152188,252114
9,9,955602,356187,418271,147178,41180,19334,2525,737088,297589,306139,105117,30659,14717,1851,268315,153222,115093,0,0,0,341422,180531,153774,356967,168486,184708
10,10,873804,291981,262666,248533,57067,14767,2588,669945,241146,193924,178864,43560,11344,1948,268847,165230,103617,0,0,0,305546,185785,113814,299882,169778,126899
11,11,820835,620297,97696,70452,16689,16769,1533,694239,546990,70232,50154,12832,13180,1048,363881,146428,217453,0,0,0,401272,132535,260572,448475,137782,307417
12,12,807137,589208,116215,55768,32117,16424,1628,653760,498107,81707,38143,23198,12553,1104,339923,156978,182945,0,0,0,369992,148589,212464,405533,153424,247744
13,13,727465,496830,81443,100685,35387,14357,1595,614181,441135,60260,72995,27536,11385,1118,330036,182971,147065,0,0,0,345818,175057,162428,345607,167282,174668
14,14,787447,333562,247323,153965,55211,13188,1925,626311,283087,188858,112048,41451,10140,1361,305053,178047,127006,0,0,0,315148,177097,131256,301831,155166,143016
15,15,819853,434723,205858,139594,34056,18857,1772,639081,362661,145300,98377,25488,14248,1265,307434,143468,163966,0,0,0,321756,140723,173625,328041,133881,190483
16,16,884047,578763,166861,97742,29466,15878,1579,715022,501672,113995,66722,21672,12041,1095,341209,155827,185382,0,0,0,395237,172453,214719,441159,182303,255040
17,17,779955,563043,125484,64394,14463,14166,1148,650151,495237,86218,46456,10795,10889,808,306892,127960,178932,0,0,0,343306,121046,215584,378842,120101,256087
18,18,794724,500555,142965,116721,24536,13469,1446,649064,435722,101273,84069,18479,10113,1076,338891,163274,175617,0,0,0,373135,169334,198270,398313,163239,232383
19,19,835012,558929,177133,69077,19561,12307,1101,700605,501876,126684,47508,14989,9288,820,321563,124513,197050,0,0,0,372744,136129,230931,391587,131575,257626
20,20,776283,121822,211163,424324,28121,9292,1422,593894,106904,158890,311003,21820,7003,1179,265676,219688,45988,0,0,0,272192,216774,52428,248995,179845,67181
21,21,788007,417538,197002,133334,29586,12812,1254,643275,369534,145248,96273,22483,9278,944,315220,191934,123286,0,0,0,340515,199210,136733,342627,182216,157957
22,22,785756,413394,179644,134289,35900,9208,1418,645611,361940,137977,98257,27529,7217,1048,322296,182553,139743,0,0,0,340002,194608,140793,334887,176319,156151
23,23,769356,287487,311985,124060,44481,8744,1353,613268,239876,243743,93297,33724,6718,1017,300338,186021,114317,0,0,0,317811,192522,120731,307893,163166,142423
24,24,742542,84549,326037,335093,15293,7962,928,587681,68900,263697,256330,12289,6259,763,249529,215022,34507,0,0,0,245592,197480,45024,219480,153316,64265
25,25,771434,153454,569397,40578,12984,7448,681,623579,124213,463740,30310,9957,5617,491,215297,98116,117181,0,0,0,246641,101319,141654,265440,81327,182493
26,26,787914,117925,566065,96538,17635,9169,801,623565,94477,451682,70738,13836,7056,600,244731,136601,108130,0,0,0,271405,139536,127636,281192,110911,168428
27,27,739825,158921,518669,44467,20494,7069,735,614220,131231,432104,36558,16811,5682,604,270818,144535,126283,0,0,0,281754,151287,126284,281590,128764,150880
