ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,769221,533911,59438,116673,35309,25419,3524,605557,436951,40502,81991,25681,19277,2297,367242,103970,243249,345089,103225,232937
2,2,769221,486775,54315,188670,23108,18717,1746,619356,405585,39777,143006,17234,14504,1142,381032,159976,204914,354039,154816,192332
3,3,769221,500368,89389,135375,30817,15704,1358,624295,422810,66407,99159,24257,12159,994,348275,141371,192669,331360,139136,185885
4,4,769221,400933,67385,262951,28670,16913,2425,590934,326940,46192,187108,21169,12759,1609,347759,149004,185561,333211,146202,180785
5,5,769221,497450,92795,107690,59075,14862,2346,606741,409497,65881,77684,42703,11078,1659,358884,131386,209914,349884,131968,210584
6,6,769221,548571,88354,99968,16943,16642,1396,634516,474364,62028,71174,13068,13076,1020,365067,133086,218572,350988,130987,213132
7,7,769221,472857,159630,90635,39599,16007,1707,616306,398072,116922,64914,29100,12048,1210,374512,163729,192372,357166,160612,188548
8,8,769221,550406,89241,87279,26948,16487,1912,633719,474699,63693,61355,20137,12774,1350,399442,149043,231383,385545,150157,226545
9,9,769221,231009,398290,106793,40772,14646,2513,593636,191983,297032,77314,30863,11244,1854,280154,171065,97224,264531,155462,103547
10,10,769221,272949,229989,217311,46845,13625,2304,610303,235180,174711,158531,37190,10652,1743,301864,191868,94641,282066,180068,95630
11,11,769221,456769,148527,109029,38409,14185,1656,618709,391486,105760,78945,28509,10928,1177,336343,136944,187297,336939,139415,191620
12,12,769221,578906,104305,49184,21492,17554,1484,626932,490923,73465,33192,15710,13365,974,360696,121582,223710,344364,121676,213972
13,13,769221,569083,85330,65273,34687,14862,1718,650487,502137,62165,46089,26682,11749,1224,403093,176056,207561,381934,172242,200604
14,14,769221,356844,208836,162110,40939,12861,1650,620281,306560,161068,118641,31047,10096,1145,340859,198789,125050,324210,189041,128021
15,15,769221,392970,193574,130484,48862,16345,1771,599800,329426,136420,92389,36096,12350,1230,314947,144035,156076,300258,139734,153576
16,16,769221,460213,166150,106142,30034,15045,1578,607353,391827,113409,72738,21880,11255,1112,329225,136445,178008,324485,138484,179031
17,17,769221,581035,105922,51707,17146,12547,1005,654821,517830,75570,36414,13046,9842,711,380937,151876,214866,369425,149975,212372
18,18,769221,425396,207594,112730,16114,17122,1370,603562,360926,142922,79749,12080,12835,985,298794,111665,175415,282192,105885,170389
19,19,769221,536453,146650,57118,18828,10884,1031,650465,481820,105527,39481,14409,8269,761,363814,134048,218191,354437,127767,221306
20,20,769221,158637,181082,407543,25320,9240,1525,595408,140153,136811,298383,20078,7063,1234,295755,228981,60010,277217,215481,58511
21,21,769221,491801,134691,109268,23461,13057,1389,629736,428764,95351,78571,17612,9782,1026,375659,162089,200663,363744,163134,195243
22,22,769220,389651,209738,137952,27606,13091,1253,625981,346268,154325,99406,20956,9491,961,337434,197951,129990,325034,191138,129516
23,23,769221,424407,168630,113634,36743,8610,1300,632647,369529,129741,83294,28005,6722,951,358007,199270,148433,339501,191578,143332
24,24,769221,135526,288794,338202,16639,7147,948,611792,111522,235273,258005,13572,5601,792,293373,236598,50237,273067,214955,54754
25,25,769221,250270,331599,142336,48563,9998,1404,607264,208608,256630,106416,36550,7642,1079,333718,209145,114367,311015,192401,114152
26,26,769221,149228,561193,56007,12322,7040,639,623498,122723,456512,43160,9479,5428,468,258392,130371,120448,240251,105569,131184
27,27,769221,132078,566370,55568,20431,6802,720,636002,107346,471763,44946,16646,5443,583,308545,175743,122321,289026,150929,133889
28,28,769221,116007,559429,86320,17323,9073,782,609131,92771,446828,62852,13602,6988,582,283595,158889,114744,263747,134300,125258
