ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,765137,440636,59328,230783,23547,15972,2682,589266,355947,39938,166025,17615,11791,1718,274027,110607,155973,284485,116585,163321,0,0,0
2,2,765137,305611,45499,393195,15236,12189,1946,587555,251047,30074,289612,11125,9075,1286,280721,150531,124987,280872,150513,127414,0,0,0
3,3,765136,492494,48285,188947,21220,16477,1082,586319,391849,31274,136708,14933,12255,694,317474,97676,210579,329845,105815,218414,0,0,0
4,4,765135,197536,88947,423763,53781,13509,1106,589470,166544,59670,321379,39718,10031,793,298597,222980,66892,313183,237281,70845,0,0,0
5,5,765137,273819,56496,392822,39932,10732,1096,621515,235652,41432,308271,33476,8361,866,310148,250154,49348,325699,260696,59201,0,0,0
6,6,765136,487400,78299,78871,105113,14224,1073,574797,382971,52353,56969,70556,10188,731,330560,113676,201677,351632,129429,213421,0,0,0
7,7,765137,225905,181851,239717,118444,16584,1355,566934,185838,120604,169071,89868,11762,909,259170,142925,106635,275727,160446,109426,0,0,0
8,8,765136,443123,54850,241628,16478,12877,1268,585857,354572,35732,175967,11877,9554,841,279771,93873,179794,287451,96999,187009,0,0,0
9,9,765137,495078,117758,87130,51420,18937,1007,592520,404611,76361,61747,38220,13976,649,290605,74464,206635,308493,84961,217499,0,0,0
10,10,765135,486487,58645,184137,22625,15352,1122,588874,389823,38336,133097,16567,11556,731,300847,102371,189254,319970,113388,201038,0,0,0
11,11,765137,469264,99794,143404,36270,18608,1080,595201,380895,66802,106811,26907,13697,783,307552,109108,185196,324288,123174,192989,0,0,0
12,12,765136,398843,43065,294961,20401,13325,2033,588119,321394,28628,215958,15023,9842,1312,287771,121481,159486,295121,124970,166138,0,0,0
13,13,765137,125106,93554,520094,28728,13404,1126,574789,108160,60467,383663,22023,9829,768,281922,214727,60920,297862,232677,61149,0,0,0
14,14,765135,520854,97086,118694,12449,21851,1044,579058,413030,61247,82708,8676,15968,647,273208,73390,191728,282886,81374,196352,0,0,0
