ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,753677,271776,69410,390300,19761,11292,736,589021,217813,46406,306380,15438,8185,528,359512,258515,86153,336031,234119,85107
2,2,753677,251234,115115,374697,10218,14600,840,580993,210713,77611,280964,7783,10704,615,330104,228009,88360,304273,207370,83285
3,3,753677,294530,356863,49086,55607,27342,1369,588880,251848,257871,35538,43017,20324,1026,267054,184409,65684,258170,175294,70541
4,4,753677,176438,500949,43251,34697,36994,907,563323,147658,356197,32793,26345,27272,660,227807,164935,49530,212673,150452,51994
5,5,753677,537619,88320,26813,94572,9935,956,618186,453104,65900,20617,72694,7407,730,360070,235988,98390,355241,227585,112661
6,6,753677,543039,102698,47441,52603,11028,733,593478,442873,70055,34837,38785,7954,548,356452,180640,151235,348484,179368,152323
7,7,753677,222189,118529,340341,73832,12023,1009,607675,198783,84153,261207,62079,8953,752,317580,272562,31019,294046,242294,38173
8,8,753677,410205,179147,41348,117924,17357,1050,586513,342671,121507,27923,88874,12304,759,290368,158507,113058,283301,153410,117102
9,9,753677,446387,98038,76904,125905,12479,1154,607511,374121,70826,58940,97378,9307,877,342357,233480,88297,335078,224211,98100
10,10,753677,436320,180649,58457,70016,17967,1379,575610,354504,122070,41054,50164,12712,979,322655,186067,112732,313534,175900,124823
11,11,753677,474649,142376,54717,72264,14862,912,574787,382643,94482,37948,51448,10326,612,332333,171819,136492,329510,170742,143082
12,12,753677,654662,21152,46547,11612,16196,1069,589350,518915,13972,32744,8335,12005,680,366997,95310,251552,343373,106527,223154
13,13,753677,486087,37204,175650,38751,16186,1166,595719,403862,25560,120909,32027,12223,768,348727,176530,147579,328627,175774,137489
14,14,753677,443276,172070,83511,46311,17724,804,564317,353681,113236,57426,31975,12358,543,310095,157151,130645,301845,158001,128566
15,15,753677,676214,21163,29684,8898,14224,928,592293,538096,14321,20045,6073,10541,594,370924,102580,244940,350599,106549,227061
16,16,753677,639296,49584,25596,21798,14715,764,582046,507844,30726,15473,14673,10444,506,367027,125721,213029,352360,126164,208285
17,17,753676,508830,84143,127870,20719,16061,1066,589767,424419,55419,83583,15101,11919,772,319863,158506,137320,299089,152768,131608
