ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,781103,542205,145763,66014,23437,14638,1472,625152,457747,98662,45708,17184,10946,1072,366617,201248,137157,332480,184468,139805
2,2,781101,552952,86964,58670,65529,11513,1086,626463,462756,60158,40727,48770,8623,755,363362,209107,123066,338937,197438,132437
3,3,781102,473766,170217,54868,71810,11614,1392,611501,393019,119115,38672,52040,8601,1049,344439,195231,121845,315240,179093,128143
4,4,781103,608591,47651,42292,61971,8280,972,615677,496109,31266,28391,43962,5901,699,378162,217826,132524,351285,202095,141256
5,5,781101,504362,81745,52735,113440,7738,955,631188,422500,59266,39564,87296,5787,727,372341,255386,92837,349713,238714,103879
6,6,781101,598923,84783,39093,45694,8995,914,624046,496648,57360,27150,32796,6595,628,410546,227630,152986,386206,216078,161216
7,7,781102,302053,171010,206558,102587,11644,1571,653761,275583,126572,158657,90316,9098,1292,297480,247479,34540,271812,221292,45812
8,8,781102,517990,53050,108481,83144,7729,1058,637174,440369,38201,78579,65087,5796,798,377770,228502,124147,354202,213227,133655
9,9,781102,648055,46502,41155,14872,11889,1016,638761,544254,30908,28865,10669,8589,765,414034,212641,171656,390760,202195,180253
