ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,745670,358722,56472,309743,9391,17339,1261,587318,297776,35824,237420,6705,12925,891,360481,184676,167460,376136,193489,177164,360533,183369,172154
2,2,745670,400547,96435,188408,52943,14818,1220,584067,332722,64157,140209,40031,10815,824,356956,221522,116605,390782,254289,126698,379377,250417,119751
3,3,745671,463854,79115,169697,19754,19230,2762,586125,382633,52590,125120,13954,13889,1925,321351,126032,184255,348095,141707,198636,336721,137007,192755
4,4,745671,395824,85915,162837,91532,14955,1034,574606,320577,56330,124857,64835,10683,736,357301,246910,92998,396893,281375,106823,389938,279889,101880
5,5,745671,507354,59024,146858,20317,16024,925,596194,421313,38431,111648,14529,12141,654,361478,148539,199157,384842,163417,212810,371211,157373,206307
6,6,745671,466399,80826,153914,31495,18475,1005,578293,382738,51069,111667,21727,13484,634,328056,125701,189948,361402,148273,204594,349025,144209,197478
7,7,745671,478702,61609,160874,15766,34276,2172,593673,400999,39354,119140,11043,24895,1379,347162,145404,188896,389123,170926,209262,381063,168135,204989
8,8,745671,453271,69986,137312,31786,57697,1013,563332,358376,44048,99678,21043,41818,685,333489,125654,194792,372257,148845,215214,362683,146641,208941
9,9,745671,437637,94277,177432,20803,25877,2651,577673,359252,60786,129182,14884,18440,1736,316101,126298,178638,350917,149080,194283,340622,145326,188566
10,10,745670,493055,84946,130655,24131,17568,1131,581822,404468,53640,96473,16563,12711,767,340665,134426,192722,376098,154379,212684,364952,150582,206578
11,11,745670,613832,57087,33066,10934,29250,1914,609924,516985,37835,23682,7822,21489,1302,373237,148019,207561,410882,178627,222117,403742,177300,217257
12,12,745670,267498,131029,295073,48891,15630,1213,580319,229032,87967,222293,36903,11502,852,301193,213377,73884,334024,240913,84314,319678,232962,78997
13,13,745670,470899,97421,149850,13969,19679,1678,562248,372444,60116,109385,9134,13717,978,314339,119692,182050,361944,147596,205976,355893,146551,201616
14,14,745671,504554,64454,128834,33737,17461,978,579505,410318,42164,92298,23232,12850,648,329755,123066,193665,370642,150130,212150,360235,148266,204810
