ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,773585,459821,115580,149917,48631,13847,1402,604707,381282,76390,107906,36302,9840,979,339091,203453,124314,295139,180873,108076
2,2,773584,494194,134110,106165,35010,16672,1509,616758,415583,91163,77944,26215,12116,1032,342600,153433,177679,303242,140199,156048
3,3,773586,491248,87333,113155,75966,11462,1205,614191,404599,60160,87116,56304,8355,861,369116,195590,160578,328184,177465,144280
4,4,773586,622261,79615,35144,25309,9370,710,589130,482913,53575,24859,19149,6746,499,348975,120268,217894,314584,115960,192347
5,5,773585,457907,125578,56183,133911,9046,1034,610580,373723,91062,42867,101764,6469,804,364588,190410,162315,322139,173600,142137
6,6,773586,323138,189896,102923,157258,12083,1179,611210,276011,134818,77733,120399,8782,912,290786,168248,113095,250095,145394,98940
7,7,773584,547950,94192,48691,74242,8849,863,609441,447713,65743,35818,53000,6405,599,388097,175248,197287,350711,163809,178584
8,8,773584,192335,394709,90811,99570,17962,1738,611790,164003,299470,68409,81566,13668,1364,216168,163542,46366,176772,134021,39106
9,9,773584,295557,321423,88057,77759,15691,1314,601128,245792,234804,65585,60860,11499,959,271851,165009,99667,225835,137288,83916
10,10,773584,145060,164996,413874,55759,11889,1514,597968,121366,120022,315201,44871,8731,1171,265683,217131,43223,221244,180562,37271
11,11,773584,476809,127683,62124,103444,8804,906,609524,390025,92745,47561,75748,6346,669,369254,198538,158881,327047,181866,139076
12,12,773584,308278,166222,139348,160007,12190,1245,604883,263386,116047,106823,117700,8700,953,307837,197408,100634,268282,171848,90727
