ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,776971,556131,120450,46020,48048,11424,824,624895,464464,83977,34504,36405,8221,587,376086,165585,195353,342503,175080,161237,0,0,0
2,2,776971,433649,215177,96418,31963,15721,963,611926,363964,152022,71156,23729,11198,688,320748,143763,164871,285420,148714,131769,0,0,0
3,3,776971,432998,108842,36238,193768,7058,986,621744,362345,79497,28217,147038,5144,781,348162,176906,159062,311046,175373,130772,0,0,0
4,4,776971,393800,171562,148651,63605,10312,1092,609622,322474,123665,115479,47653,7764,811,352242,191158,148717,315700,188242,122798,0,0,0
5,5,776971,99311,159791,363560,136686,22110,3629,616662,81185,120717,291168,107725,17359,2961,239268,200133,34377,209428,179664,27649,0,0,0
6,6,776971,188182,183275,41640,366825,12171,1571,635768,159068,144815,33251,300377,9281,1218,204730,140553,57437,177049,126383,46941,0,0,0
7,7,776971,281488,274246,117393,117005,18925,2457,629171,232661,214713,93335,97474,14997,1964,220367,186396,26247,199885,171377,23022,0,0,0
8,8,776972,214213,130271,380048,77283,11220,1648,610827,175685,96355,294524,60783,8635,1283,229832,181886,42661,204023,167579,33325,0,0,0
9,9,776972,252005,88290,359731,84233,9720,1242,600367,184052,67060,292429,63706,7551,985,236070,184937,44771,213750,175146,34738,0,0,0
10,10,776971,377605,148997,65916,186384,12615,2383,634394,315170,116969,52839,150367,9839,2082,266471,227341,28793,244189,210680,26497,0,0,0
11,11,776971,399675,142031,69607,171567,12439,1224,612426,331023,100842,50170,132718,8915,944,247539,110014,129447,223047,115992,103209,0,0,0
12,12,776971,506527,87200,53070,126732,6980,2127,682247,451233,74491,44697,107918,5862,1888,326197,271195,41591,297071,249223,40808,0,0,0
13,13,776971,119776,406407,265285,49320,23198,2701,632159,106775,318682,212653,42186,18398,2134,265125,243798,13951,231955,213250,14017,0,0,0
14,14,776972,137512,398657,174278,98172,25336,2327,613783,120039,302203,135884,77645,19290,1751,209408,171587,32233,182322,152461,26782,0,0,0
15,15,776971,72152,424926,320816,31800,22905,3058,586079,60645,313714,238005,24429,16879,2289,207141,186080,16844,176047,158712,15184,0,0,0
16,16,776971,307809,224212,193895,62398,14518,1382,603754,251709,162225,150203,45724,10712,1039,299622,208903,80140,266996,193987,68643,0,0,0
17,17,776971,500460,154592,71330,47298,10542,945,585295,384985,107837,54741,35072,7604,696,345210,179409,151621,311507,176451,128720,0,0,0
18,18,776971,488148,141838,104679,30831,16591,1177,605187,399740,98318,75981,23256,12115,823,317404,151946,149315,295641,158691,129016,0,0,0
19,19,776971,623209,51366,49389,33684,16903,1251,635246,521143,36339,34104,27527,12810,864,339430,155513,161077,316196,164418,140929,0,0,0
20,20,776971,562337,49480,95387,53288,15846,1446,624229,471438,33689,65160,39293,11810,1013,343846,180340,139716,317025,180863,125114,0,0,0
21,21,776971,676285,31804,28106,12319,22497,1316,621708,547742,22207,20894,8860,16781,857,323614,125044,175656,295949,132063,154218,0,0,0
22,22,776971,589499,43448,91445,37281,17126,1071,615360,487023,28704,60396,26419,12155,720,329662,157786,151125,307484,164292,132625,0,0,0
23,23,776971,683640,29205,28323,12788,18711,724,617991,554069,19022,18780,8916,13181,526,358821,126048,212403,326628,137110,180839,0,0,0
24,24,776971,677741,33001,34598,10006,17110,1009,618176,548508,21988,23635,7039,12659,692,336143,120489,192254,304263,126317,167866,0,0,0
25,25,776971,521570,73585,138049,40004,12564,1120,619082,437992,49058,95928,30135,9203,761,355581,190547,141997,323572,187514,125311,0,0,0
26,26,776971,503185,55379,160001,50431,15261,905,620037,426385,36777,112591,36441,10756,648,321851,178774,127893,287674,176564,103906,0,0,0
