ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,786630,530476,31733,167166,42775,13366,1352,607689,426780,20146,119428,30316,9794,882,379013,188237,173374,352066,175761,168719
2,2,786629,720074,11754,24510,7408,18636,714,609599,563480,7306,16482,4989,13866,414,346509,91114,241519,311239,90115,214681
3,3,786630,433335,49377,241098,53032,14451,1234,615714,366086,32826,167620,40244,10657,899,357640,239177,101909,332761,224326,101721
4,4,786630,669370,19763,50151,28605,15207,946,600351,521413,12273,33875,19006,10820,583,357430,103475,237194,330359,102638,220291
5,5,786630,659838,57243,44251,10945,15312,1409,612230,526766,36852,28818,7626,11163,889,364284,127150,218029,327472,122121,197199
6,6,786630,673037,25479,62754,6799,16473,731,628719,549311,16196,43669,4670,12079,486,376032,134076,226601,335734,131104,196998
7,7,786630,679580,28953,32708,29624,11929,750,623729,549219,19013,22359,21081,8732,514,387125,163047,207461,357455,157812,191588
8,8,786629,585818,38989,115521,29161,16520,1382,603741,467544,23849,78013,21079,12012,904,373812,130603,227466,338287,122999,208098
9,9,786630,585834,56848,114892,14622,16411,696,613653,476818,36058,77478,10574,12032,461,372338,174123,177612,331280,161598,161111
10,10,786630,556510,29651,156098,26426,17940,1437,616057,452896,19283,110485,19231,13358,956,373039,166482,189189,337758,153360,176690
11,11,786630,320534,61809,373227,28852,12337,1104,622351,277075,42831,275960,22634,9260,790,358591,282881,65718,316156,247082,63442
12,12,786630,693197,15197,42030,16137,16854,775,603837,540698,9576,27168,11099,12257,520,350749,115600,218596,321402,112524,201632
13,13,786630,595133,20952,120927,30649,16450,829,621319,489034,13399,82952,21244,11955,522,373038,182322,174471,341533,173089,160447
14,14,786630,675926,25167,52022,12735,15331,731,629265,552503,15888,35741,9437,11152,499,377111,154456,205894,343514,149219,185851
15,15,786630,575473,48393,107137,39533,17172,1091,599308,459269,30532,68936,27894,12441,753,333462,141421,175972,306600,136076,163694
