ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,767871,674765,37332,24950,9239,19531,1017,616550,552337,23185,16903,6671,15172,685,280824,55039,214656,277288,62302,210212
2,2,767871,630610,41560,55734,18436,20061,1023,609503,513806,26468,38404,13658,15340,677,288684,85250,186902,295094,102151,187019
3,3,767871,597466,44410,88094,15574,22174,1078,607013,485954,28002,63672,11359,17033,692,289486,86551,188419,292060,98590,188049
4,4,767872,582497,61910,84304,20160,19723,1122,587445,461084,38964,57907,13978,14896,716,257047,70072,175876,259998,81225,173863
5,5,767871,531224,79120,102908,40160,15364,1189,582505,418881,51058,73823,27435,11531,782,289102,111405,160782,303342,129464,165595
6,6,767871,596648,59323,79753,12965,19716,1078,603423,483180,38463,56693,9376,15119,757,276975,88343,176471,289654,105594,177834
7,7,767871,533197,57129,138302,22558,18400,2659,597796,429888,37116,99724,16900,13766,1620,256478,99393,143635,266769,112483,146984
8,8,767871,559984,27811,144048,20101,14713,934,597005,447346,17498,105799,13713,11250,676,313143,90202,212328,303776,92420,206184
9,9,767871,193855,70592,478021,19490,11754,908,583233,165820,44963,351812,15300,8954,640,256288,184440,63856,242836,175771,61578
