ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,766987,460088,130082,147139,12068,22129,1147,585265,371950,82669,107096,8526,16548,787,285120,70217,206443,277570,71239,202284
2,2,766987,378509,232511,100382,43253,22317,2432,557917,296409,151304,68462,30513,15876,1645,250892,79470,158846,263056,92828,164735
3,3,766987,429281,124107,84898,111888,21934,1848,559329,332029,80057,56991,76459,15296,1182,271386,92142,162737,294773,114029,173611
4,4,766987,456408,109555,80358,98443,26046,1523,577526,363615,71788,56043,68304,18424,1013,265077,80813,171752,281662,95762,180322
5,5,766987,367502,226402,118843,40568,25137,1258,573597,300372,148251,81400,30519,18654,856,242004,81981,151952,248967,91604,152901
6,6,766987,344553,259476,117497,32487,24714,2291,572594,279352,173016,83603,24448,18081,1468,225569,73210,143626,233544,83092,145985
7,7,766987,210438,230614,160142,164911,15986,1592,594919,179683,168560,116791,127236,11783,1066,215753,134817,70334,230715,145567,80335
8,8,766987,345586,249527,109718,51665,23942,1625,565897,276028,167949,74409,37361,17324,1019,227586,72919,145669,246771,85085,157095
9,9,766987,95246,301525,293568,81086,17656,1278,565956,78651,206142,218536,63617,12541,895,208499,160330,41371,214582,163300,47615
10,10,766987,429742,191251,83934,49513,19569,1480,591007,351567,129974,61608,36361,14435,1000,263492,89425,158809,282276,106190,169034
11,11,766987,334920,295916,104802,23349,22244,6034,567819,270981,200105,70145,16464,16297,3748,219524,58976,151599,220300,62272,153738
12,12,766987,421066,188697,101731,40567,23842,2323,580455,341653,125768,69461,29723,17459,1491,249192,86176,150134,266500,101772,158538
13,13,766987,445745,215932,62951,24575,27274,1615,585231,363053,144154,44023,17643,20339,1049,255383,56458,187566,252884,64003,183623
14,14,766987,404463,192809,130216,27828,19810,1171,585292,327812,130969,94668,20408,14715,782,264518,89704,164955,263659,91326,167349
15,15,766987,117166,624361,12125,10918,13105,645,551585,96801,434980,8655,8062,9840,402,179879,98423,74664,182750,93579,85757
16,16,766986,89996,629842,34595,16718,18274,2791,573880,74487,463686,23499,12123,13935,1750,196868,134086,51345,205113,139423,59355
17,17,766987,406452,193683,130592,25354,20403,1548,589524,333951,131353,94305,18552,15441,1105,243987,82072,150765,253063,92349,155422
18,18,766987,127965,332547,264490,43332,20858,2024,576291,111891,229406,198049,35620,15112,1480,194728,143856,43009,199993,147141,48814
19,19,766987,384927,293914,61084,18348,20658,1585,578679,310685,201052,42663,13951,15494,988,237096,55576,170518,235011,59792,170342
20,20,766987,135128,540441,59388,36952,22494,2921,574548,113466,392056,41320,26992,17195,1907,203649,128309,63311,212158,137451,69071
21,21,766987,451460,235714,37947,30083,22114,2558,604056,375418,168362,26729,21467,16711,1785,323150,107571,197602,347805,127637,212044
22,22,766987,324471,216902,99463,119105,15787,1205,557229,252124,146574,68178,82839,11298,810,253071,90105,152025,272797,105447,162039
23,23,766987,217997,482437,37248,27237,18938,2372,568074,177580,340976,26217,18844,13615,1564,229264,104396,113506,237693,108160,124396
24,24,766987,472474,133852,66043,77111,20767,3925,581738,377683,90349,44772,54234,15259,2583,323088,114421,191663,338767,132359,198674
25,25,766987,447757,166945,103284,32281,24157,2684,586313,364328,110135,72332,24566,17935,1700,275901,81368,182900,282060,91209,185207
26,26,766987,433991,147447,82275,85771,24352,1826,569880,341892,97018,56050,60224,17354,1190,258292,82916,162028,288612,106105,175787
27,27,766987,290582,410805,41818,17623,18357,1509,585427,242429,292191,29835,12872,14032,999,242061,90067,142437,241332,90513,146356
28,28,766987,132163,577559,43961,12278,16247,1882,552637,106857,402711,31283,8615,12040,1248,194341,111658,74375,198629,109574,84697
29,29,766987,63916,571563,113132,21429,22886,1207,547845,54519,396804,80103,16686,16681,839,144641,105469,33970,144170,102287,39267
30,30,766987,135970,276371,324212,30062,20456,1231,577974,123551,185018,242224,23959,14905,895,229166,175732,46836,238999,183502,50952
31,31,766987,453212,176860,75716,47009,24173,4540,574120,361417,116544,51356,31029,17261,2758,245933,78251,151813,273739,99646,166602
32,32,766987,247121,279559,161336,72967,21461,1489,593970,214855,193923,120350,57884,16297,1070,210872,127410,72553,225532,141971,77868
33,33,766987,101512,442093,155365,67105,20598,1415,555227,87980,302355,113394,48580,15217,960,148764,109941,33341,155881,116561,36224
34,34,766987,60732,692562,6954,6582,10939,549,542730,51797,480322,4506,5090,8023,368,166368,109913,49810,163357,99471,60578
35,35,766987,200819,422580,111684,33906,24097,4911,583808,173708,299295,81035,26860,18289,4110,183164,124558,47337,208343,148543,53754
36,36,766987,378381,237028,103866,36233,20368,1253,578116,306182,158989,74367,27369,15216,849,252166,79809,163619,253662,83554,165760
37,37,766987,402448,209889,55043,90108,20381,1989,622654,344351,156490,42510,69769,15971,1432,315810,217142,74823,339022,248038,80338
38,38,766987,384410,198359,86900,88513,19592,1520,577591,306886,136024,60873,65153,14011,1042,287154,98178,174813,300921,111730,182930
