ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_AsianAlone,T_10_CENS_NativeAlone,T_10_CENS_OtherAlone,T_10_CENS_TwoOrMore,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_AsianAlone,V_10_VAP_NativeAlone,V_10_VAP_OtherAlone,V_10_VAP_TwoOrMore,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,727366,510479,57554,129391,27585,9311,1501,116531,20307,2684,1370,17959,541283,392839,36408,90806,18344,6293,907,85910,15134,2070,597,7969,349739,157072,189997
2,2,708087,461627,46262,155627,45742,8786,2427,139030,35035,2303,1368,21511,542770,369383,30015,108922,32950,6169,1574,101893,27925,1811,722,10294,326303,159752,163616
3,3,746645,325346,38460,362075,24745,10286,2156,340518,17252,2632,1185,20445,571848,267674,26434,259998,18139,7275,1402,249447,14239,2122,649,10665,337819,225682,109976
4,4,727366,361782,32585,314760,17860,7948,1290,301867,13059,2778,1046,13809,563976,293612,22008,233208,13598,5815,843,226828,10943,2240,572,7434,345608,209659,133423
5,5,727365,531392,22973,156175,13764,5535,592,148287,10996,1543,957,11019,574341,428520,15077,117571,10565,4035,405,114675,8989,1232,499,5191,350173,167885,178907
6,6,727366,593533,31018,86634,13055,5947,703,78117,10250,1695,921,11618,572702,479309,19899,61280,9405,4360,473,58202,7819,1372,440,5473,327938,137661,186826
7,7,727366,505183,44656,140137,35774,6669,1073,128768,30533,1762,1581,14557,545932,390585,28826,99870,24706,4555,645,95452,22368,1333,778,6346,360240,164568,192766
8,8,727366,389808,135594,109721,92997,8391,1916,98638,79447,1471,2298,19539,580212,327441,98819,81916,71695,6139,1394,75614,63975,1170,1331,11416,344461,236141,105502
9,9,727366,659269,13904,40896,10084,4140,434,36340,8180,1185,500,7881,584877,534086,9226,30631,8169,3263,322,28995,6893,975,248,4356,306771,123425,179006
10,10,727365,484393,85367,57244,99674,5887,1436,47572,86642,1248,1789,19969,520811,359099,55325,38176,66971,3778,923,34494,61166,870,761,8791,338154,172460,163062
11,11,727366,363638,123452,100903,140919,8024,1894,88036,124597,1378,2323,23362,548595,290837,84820,69403,103310,5297,1279,63505,94689,978,1236,12051,329699,205227,121924
