ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,784672,555614,42300,115275,56289,15816,1607,610718,446165,27183,86550,38732,11265,1050,410156,164366,220149,404240,178444,218822
2,2,784672,460930,58585,197372,58781,18413,3415,609706,373699,38349,146054,42343,13177,2227,359148,159063,178908,340894,164552,170655
3,3,784672,305016,65272,375303,35513,19540,3673,613711,257534,45253,278424,27101,14548,2531,316813,202649,97251,281613,189302,87694
4,4,784672,330482,77370,343158,26279,16152,1679,629882,284553,52022,265407,21090,12300,1171,357428,226456,114324,333237,219074,109270
5,5,784672,537094,33229,175937,24169,14263,1058,634064,443770,22567,137809,18796,10716,689,391600,163720,207979,375227,164595,205193
6,6,784672,613429,61812,76003,18312,16594,1171,622681,503600,39734,53948,13352,12214,758,349889,119913,209513,336788,125572,205925
7,7,784672,398366,136766,185105,56343,21407,2799,585236,316916,89659,131330,39005,14988,1784,329818,158995,151848,321042,164133,151558
8,8,784672,387772,160598,112674,117170,16093,2004,619604,323268,114046,86661,89901,11991,1449,366045,264655,75619,340947,255556,78042
9,9,784672,675667,23444,52552,17100,14286,862,640412,556950,15730,41051,13826,11118,582,365400,99310,250107,338583,98577,235944
10,10,784672,413890,138727,81397,141672,15544,1850,574013,320464,92067,56802,97201,10787,1188,345987,174827,148538,344606,190206,148155
11,11,784673,382738,110266,79369,205452,11963,1978,605027,310060,77704,57167,153741,8639,1331,390468,247519,115207,367516,247044,112787
