ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,770539,460305,75892,31625,178364,20464,7298,593722,373624,50326,20770,129082,14498,4801,315830,185952,104596,349926,213926,129649
2,2,770531,531835,95062,32223,72744,35234,8335,616048,446927,62187,21414,55295,25320,5590,346835,190735,128467,389151,227130,155594
3,3,770527,579867,84867,24065,42531,31750,10938,593925,465423,52832,15005,30294,23030,6898,312295,132417,156118,361909,168263,188278
4,4,770535,393571,306171,14219,21053,43482,3385,557178,316389,191355,8418,14419,29606,2136,252486,89994,144696,283534,112768,167128
5,5,770526,607710,64444,24683,31065,36850,8370,610022,494864,43070,16200,22775,26457,5337,327079,126563,172318,368592,161092,201747
6,6,770523,555780,69642,42922,56081,42773,13778,625068,470242,46402,30269,41153,30543,8983,347922,179622,138177,393130,219442,166846
7,7,770521,481700,72968,53094,141885,20244,7074,652826,421072,55585,39018,118537,15992,5017,397414,331302,43799,421805,358759,57992
8,8,770512,532695,80954,27254,97429,26705,8955,581338,423082,51406,16833,65310,18705,5553,336893,160749,149805,384659,192213,186191
9,9,770536,312787,109699,114467,209762,22050,19940,602935,267554,74132,79981,160912,16673,13229,282807,194307,70572,313739,220982,88500
10,10,770531,462570,99514,81688,88932,34081,26116,591627,379327,63379,53582,64111,23730,16130,289653,151077,113199,329352,184421,138807
