,,,,2012,,,,,,2008,,,,
CD,Incumbent,Party,,Obama,Romney,Total,Obama%,Romney%,,Obama,McCain,Total,Obama%,McCain%
AK-AL,"Young, Don",(R),,"122,640","164,676","297,625",41.2%,55.3%,,"123,594","193,841","324,467",38.1%,59.7%
AL-01,"Byrne, Bradley",(R),,"111,735","184,786","298,837",37.4%,61.8%,,"115,975","183,753","301,556",38.5%,60.9%
AL-02,"Roby, Martha",(R),,"105,572","182,287","289,864",36.4%,62.9%,,"101,076","186,164","288,807",35.0%,64.5%
AL-03,"Rogers, Mike D.",(R),,"103,089","174,465","280,128",36.8%,62.3%,,"103,221","176,434","281,951",36.6%,62.6%
AL-04,"Aderholt, Rob",(R),,"65,818","205,423","274,505",24.0%,74.8%,,"71,095","204,123","278,483",25.5%,73.3%
AL-05,"Brooks, Mo",(R),,"103,598","189,860","297,263",34.9%,63.9%,,"107,005","184,225","294,444",36.3%,62.6%
AL-06,"Palmer, Gary",(R),,"77,517","233,566","314,343",24.7%,74.3%,,"78,559","232,644","313,838",25.0%,74.1%
AL-07,"Sewell, Terri",(D),,"228,276","85,488","315,244",72.4%,27.1%,,"225,642","88,803","315,625",71.5%,28.1%
AR-01,"Crawford, Rick",(R),,"92,086","154,549","253,460",36.3%,61.0%,,"102,670","151,918","262,118",39.2%,58.0%
AR-02,"Hill, French",(R),,"125,527","160,140","292,515",42.9%,54.7%,,"129,888","157,732","293,250",44.3%,53.8%
AR-03,"Womack, Steve",(R),,"81,413","168,703","257,668",31.6%,65.5%,,"85,866","161,902","253,566",33.9%,63.9%
AR-04,"Westerman, Bruce",(R),,"95,383","164,352","265,825",35.9%,61.8%,,"103,886","166,465","277,684",37.4%,59.9%
AZ-01,"Kirkpatrick, Ann",(D),,"124,550","131,115","260,056",47.9%,50.4%,,"123,079","131,208","257,294",47.8%,51.0%
AZ-02,"McSally, Martha",(R),,"144,966","149,651","299,691",48.4%,49.9%,,"150,877","153,747","308,531",48.9%,49.8%
AZ-03,"Grijalva, Raul",(D),,"108,902","65,482","177,248",61.4%,36.9%,,"102,818","71,980","176,761",58.2%,40.7%
AZ-04,"Gosar, Paul",(R),,"80,035","173,394","258,046",31.0%,67.2%,,"86,346","161,163","251,086",34.4%,64.2%
AZ-05,"Salmon, Matt",(R),,"101,511","187,304","293,748",34.6%,63.8%,,"104,014","179,566","286,711",36.3%,62.6%
AZ-06,"Schweikert, David",(R),,"121,661","186,537","313,417",38.8%,59.5%,,"130,426","182,747","316,599",41.2%,57.7%
AZ-07,"Gallego, Ruben",(D),,"101,028","37,353","140,907",71.7%,26.5%,,"85,991","45,289","132,868",64.7%,34.1%
AZ-08,"Franks, Trent",(R),,"107,335","179,555","291,126",36.9%,61.7%,,"110,610","174,516","288,189",38.4%,60.6%
AZ-09,"Sinema, Kyrsten",(D),,"135,244","123,263","264,563",51.1%,46.6%,,"140,546","129,894","274,042",51.3%,47.4%
CA-01,"LaMalfa, Doug",(R),,"122,379","171,902","303,928",40.3%,56.6%,,,,,,
CA-02,"Huffman, Jared",(D),,"230,212","89,908","333,442",69.0%,27.0%,,,,,,
CA-03,"Garamendi, John",(D),,"131,237","104,145","241,687",54.3%,43.1%,,,,,,
CA-04,"McClintock, Tom",(R),,"133,473","195,386","337,634",39.5%,57.9%,,,,,,
CA-05,"Thompson, Mike",(D),,"199,924","78,703","286,658",69.7%,27.5%,,,,,,
CA-06,"Matsui, Doris",(D),,"156,141","63,862","225,831",69.1%,28.3%,,,,,,
CA-07,"Bera, Ami",(D),,"145,147","133,888","285,997",50.8%,46.8%,,,,,,
CA-08,"Cook, Paul",(R),,"88,579","118,278","212,633",41.7%,55.6%,,,,,,
CA-09,"McNerney, Jerry",(D),,"127,418","88,403","220,312",57.8%,40.1%,,,,,,
CA-10,"Denham, Jeff",(R),,"108,923","101,160","215,113",50.6%,47.0%,,,,,,
CA-11,"DeSaulnier, Mark",(D),,"203,699","90,226","301,134",67.6%,30.0%,,,,,,
CA-12,"Pelosi, Nancy",(D),,"269,461","40,003","320,387",84.1%,12.5%,,,,,,
CA-13,"Lee, Barbara",(D),,"268,093","27,474","306,314",87.5%,9.0%,,,,,,
CA-14,"Speier, Jackie",(D),,"200,343","63,589","269,882",74.2%,23.6%,,,,,,
CA-15,"Swalwell, Eric",(D),,"177,243","77,748","260,611",68.0%,29.8%,,,,,,
CA-16,Jim Costa,(D),,"88,973","59,808","151,953",58.6%,39.4%,,,,,,
CA-17,"Honda, Mike",(D),,"163,862","58,193","227,806",71.9%,25.5%,,,,,,
CA-18,"Eshoo, Anna",(D),,"218,082","92,457","319,615",68.2%,28.9%,,,,,,
CA-19,"Lofgren, Zoe",(D),,"165,530","61,643","232,442",71.2%,26.5%,,,,,,
CA-20,"Farr, Sam",(D),,"168,956","62,427","238,341",70.9%,26.2%,,,,,,
CA-21,"Valadao, David",(R),,"65,146","51,917","119,232",54.6%,43.5%,,,,,,
CA-22,"Nunes, Devin",(R),,"92,005","125,213","221,278",41.6%,56.6%,,,,,,
CA-23,"McCarthy, Kevin",(R),,"82,119","139,816","227,297",36.1%,61.5%,,,,,,
CA-24,"Capps, Lois",(D),,"158,119","126,049","292,406",54.1%,43.1%,,,,,,
CA-25,"Knight, Steve",(R),,"120,701","125,258","252,249",47.8%,49.7%,,,,,,
CA-26,"Brownley, Julia",(D),,"147,753","119,677","273,647",54.0%,43.7%,,,,,,
CA-27,"Chu, Judy",(D),,"161,528","90,278","257,970",62.6%,35.0%,,,,,,
CA-28,"Schiff, Adam",(D),,"187,441","70,757","266,628",70.3%,26.5%,,,,,,
CA-29,"Cardenas, Tony",(D),,"129,323","34,454","167,889",77.0%,20.5%,,,,,,
CA-30,"Sherman, Brad",(D),,"186,301","91,680","285,226",65.3%,32.1%,,,,,,
CA-31,"Aguilar, Pete",(D),,"118,043","83,822","206,242",57.2%,40.6%,,,,,,
CA-32,"Napolitano, Grace",(D),,"133,061","66,269","204,169",65.2%,32.5%,,,,,,
CA-33,"Lieu, Ted",(D),,"210,010","127,421","346,504",60.6%,36.8%,,,,,,
CA-34,"Becerra, Xavier",(D),,"127,510","21,739","153,699",83.0%,14.1%,,,,,,
CA-35,"Torres, Norma",(D),,"108,983","49,433","161,732",67.4%,30.6%,,,,,,
CA-36,"Ruiz, Raul",(D),,"107,914","101,156","212,939",50.7%,47.5%,,,,,,
CA-37,"Bass, Karen",(D),,"222,329","33,307","261,858",84.9%,12.7%,,,,,,
CA-38,"Sanchez, Linda",(D),,"149,141","75,780","229,875",64.9%,33.0%,,,,,,
CA-39,"Royce, Ed",(R),,"124,108","133,742","263,530",47.1%,50.8%,,,,,,
CA-40,"Roybal-Allard, Lucille",(D),,"115,637","23,446","141,918",81.5%,16.5%,,,,,,
CA-41,"Takano, Mark",(D),,"114,040","67,314","185,429",61.5%,36.3%,,,,,,
CA-42,"Calvert, Ken",(R),,"96,212","131,438","232,520",41.4%,56.5%,,,,,,
CA-43,"Waters, Maxine",(D),,"173,342","44,485","222,219",78.0%,20.0%,,,,,,
CA-44,"Hahn, Janice",(D),,"155,459","24,995","183,586",84.7%,13.6%,,,,,,
CA-45,"Walters, Mimi",(R),,"133,114","169,489","309,399",43.0%,54.8%,,,,,,
CA-46,"Sanchez, Loretta",(D),,"95,479","56,252","155,493",61.4%,36.2%,,,,,,
CA-47,"Lowenthal, Alan",(D),,"147,456","92,010","245,624",60.0%,37.5%,,,,,,
CA-48,"Rohrabacher, Dana",(R),,"133,103","169,249","309,496",43.0%,54.7%,,,,,,
CA-49,"Issa, Darrell",(R),,"134,447","153,856","294,468",45.7%,52.2%,,,,,,
CA-50,"Hunter, Duncan",(R),,"102,649","165,104","273,289",37.6%,60.4%,,,,,,
CA-51,"Vargas, Juan",(D),,"115,610","48,108","166,684",69.4%,28.9%,,,,,,
CA-52,"Peters, Scott",(D),,"163,911","143,726","314,748",52.1%,45.7%,,,,,,
CA-53,"Davis, Susan",(D),,"174,616","103,513","284,333",61.4%,36.4%,,,,,,
CO-01,"DeGette, Diana",(D),,"254,400","106,334","368,798",69.0%,28.8%,,"238,267","92,818","336,293",70.9%,27.6%
CO-02,"Polis, Jared",(D),,"255,209","174,095","440,652",57.9%,39.5%,,"255,063","154,884","416,822",61.2%,37.2%
CO-03,"Tipton, Scott",(R),,"163,886","185,459","358,045",45.8%,51.8%,,"166,259","171,205","343,167",48.4%,49.9%
CO-04,"Buck, Ken",(R),,"140,404","209,415","357,971",39.2%,58.5%,,"138,609","186,271","330,465",41.9%,56.4%
CO-05,"Lamborn, Doug",(R),,"129,903","200,491","339,143",38.3%,59.1%,,"127,252","188,389","320,557",39.7%,58.8%
CO-06,"Coffman, Mike",(R),,"183,024","165,070","354,989",51.6%,46.5%,,"175,007","146,589","326,232",53.6%,44.9%
CO-07,"Perlmutter, Ed",(D),,"196,276","144,379","349,920",56.1%,41.3%,,"187,678","133,184","327,142",57.4%,40.7%
CT-01,"Larson, John",(D),,"200,960","112,982","317,496",63.3%,35.6%,,"220,181","110,296","334,807",65.8%,32.9%
CT-02,"Courtney, Joe",(D),,"177,544","135,235","317,687",55.9%,42.6%,,"199,414","136,155","340,366",58.6%,40.0%
CT-03,"DeLauro, Rosa",(D),,"191,296","110,912","305,600",62.6%,36.3%,,"203,090","117,258","324,233",62.6%,36.2%
CT-04,"Himes, Jim",(D),,"170,884","136,600","310,284",55.1%,44.0%,,"192,941","128,653","323,755",59.6%,39.7%
CT-05,"Esty, Elizabeth",(D),,"164,621","139,347","307,553",53.5%,45.3%,,"182,147","137,066","323,202",56.4%,42.4%
DE-AL,"Carney, John",(D),,"242,584","165,484","413,890",58.6%,40.0%,,"255,459","152,374","412,412",61.9%,36.9%
FL-01,"Miller, Jeff",(R),,"106,814.0","242,972.0","353,882",30.2%,68.7%,,"114,934.0","240,062.0","359,439",32.0%,66.8%
FL-02,"Graham, Gwen",(D),,"158,751.0","178,780.0","341,283",46.5%,52.4%,,"162,376.0","179,544.0","345,724",47.0%,51.9%
FL-03,"Yoho, Ted",(R),,"122,708.0","202,003.0","328,512",37.4%,61.5%,,"131,054.0","196,377.0","331,924",39.5%,59.2%
FL-04,"Crenshaw, Ander",(R),,"123,938.0","222,443.0","349,660",35.4%,63.6%,,"126,926.0","217,160.0","347,461",36.5%,62.5%
FL-05,"Brown, Corrine",(D),,"196,608.0","77,414.0","276,025",71.2%,28.0%,,"200,601.0","81,903.0","284,654",70.5%,28.8%
FL-06,"DeSantis, Ron",(R),,"149,955.0","209,150.0","362,481",41.4%,57.7%,,"164,545.0","193,615.0","362,480",45.4%,53.4%
FL-07,"Mica, John",(R),,"156,382.0","172,042.0","332,061",47.1%,51.8%,,"163,106.0","165,848.0","332,170",49.1%,49.9%
FL-08,"Posey, Bill",(R),,"153,138.0","206,074.0","363,051",42.2%,56.8%,,"160,787.0","201,287.0","366,753",43.8%,54.9%
FL-09,"Grayson, Alan",(D),,"170,093.0","102,173.0","274,613",61.9%,37.2%,,"157,249.0","102,036.0","261,405",60.2%,39.0%
FL-10,"Webster, Dan",(R),,"149,532.0","174,484.0","327,037",45.7%,53.4%,,"149,038.0","164,233.0","315,942",47.2%,52.0%
FL-11,"Nugent, Rich",(R),,"143,380.0","209,720.0","356,382",40.2%,58.8%,,"151,906.0","196,790.0","353,215",43.0%,55.7%
FL-12,"Bilirakis, Gus",(R),,"153,386.0","185,157.0","342,626",44.8%,54.0%,,"159,963.0","178,700.0","343,118",46.6%,52.1%
FL-13,"Jolly, David",(R),,"171,102.0","166,087.0","341,397",50.1%,48.6%,,"176,429.0","163,342.0","345,146",51.1%,47.3%
FL-14,"Castor, Kathy",(D),,"191,255.0","99,834.0","293,992",65.1%,34.0%,,"183,249.0","95,695.0","281,789",65.0%,34.0%
FL-15,"Ross, Dennis",(R),,"138,145.0","161,622.0","303,053",45.6%,53.3%,,"137,852.0","158,983.0","300,279",45.9%,52.9%
FL-16,"Buchanan, Vern",(R),,"161,079.0","194,525.0","358,795",44.9%,54.2%,,"171,359.0","180,935.0","356,383",48.1%,50.8%
FL-17,"Rooney, Tom",(R),,"122,440.0","172,038.0","297,209",41.2%,57.9%,,"127,254.0","164,927.0","296,000",43.0%,55.7%
FL-18,"Murphy, Patrick",(D),,"163,067.0","177,320.0","342,845",47.6%,51.7%,,"172,943.0","162,776.0","338,787",51.0%,48.0%
FL-19,"Clawson, Curt",(R),,"124,296.0","194,306.0","320,681",38.8%,60.6%,,"135,937.0","182,403.0","321,165",42.3%,56.8%
FL-20,"Hastings, Alcee",(D),,"216,641.0","44,526.0","262,252",82.6%,17.0%,,"204,791.0","48,508.0","254,703",80.4%,19.0%
FL-21,"Deutch, Ted",(D),,"196,227.0","125,822.0","323,843",60.6%,38.9%,,"203,177.0","114,765.0","319,953",63.5%,35.9%
FL-22,"Frankel, Lois",(D),,"178,229.0","147,262.0","327,763",54.4%,44.9%,,"183,173.0","137,458.0","323,214",56.7%,42.5%
FL-23,"Wasserman Schultz, Debbie",(D),,"176,266.0","108,696.0","286,662",61.5%,37.9%,,"173,355.0","105,237.0","280,666",61.8%,37.5%
FL-24,"Wilson, Frederica",(D),,"227,960.0","31,710.0","260,481",87.5%,12.2%,,"215,801.0","33,737.0","250,473",86.2%,13.5%
FL-25,"Diaz-Balart, Mario",(R),,"115,565.0","120,524.0","237,269",48.7%,50.8%,,"104,168.0","123,297.0","228,771",45.5%,53.9%
FL-26,"Curbelo, Carlos",(R),,"141,449.0","123,521.0","266,473",53.1%,46.4%,,"130,750.0","131,802.0","264,189",49.5%,49.9%
FL-27,"Ros-Lehtinen, Ileana",(R),,"129,350.0","113,241.0","243,809",53.1%,46.4%,,"116,754.0","122,474.0","240,628",48.5%,50.9%
GA-01,"Carter, Buddy",(R),,"111,949","145,460","260,148",43.0%,55.9%,,"116,029","143,603","261,140",44.4%,55.0%
