year,location,candidate_name,party,avg,std,lower_ci,upper_ci,effn
2014,MA-6,Seth Moulton,DEM,42.50750644642331,3.3988874972171224,35.845686951877745,49.16932594096887,5.280454912761392
2014,NJ-5,Roy Cho,DEM,42.18936409716328,0.39179757001392584,41.421440859935984,42.95728733439057,2.3221745675
2014,HI-1,K. Mark Takai,DEM,47.56994984842676,1.4462601579536305,44.73527993883764,50.404619758015876,2.4295747825334075
2014,MI-11,Bobby McKenzie,DEM,35,0,35,35,0.6517300655347904
2014,ND-1,George B. Sinner,DEM,36.834805023843984,1.9931659790024547,32.92819970499917,40.741410342688795,1.7135351209781495
2014,NY-19,Sean S. Eldridge,DEM,34.14432648182735,2.136216656082779,29.957341835905105,38.33131112774959,3.2365359611240616
2014,AR-1,Jackie McPherson,DEM,30,0,30,30,0.7171727479837982
2014,AR-2,Patrick Henry Hays,DEM,46,0,46,46,0.7171727479837982
2014,AR-3,Steve Womack,REP,64,0,64,64,0.7171727479837982
2014,AR-4,James Lee Witt,DEM,39.89526085801526,1.3726946383488052,37.204779366851604,42.58574234917892,1.5474906048564607
2014,CA-24,Lois Capps,DEM,40.5,0,40.5,40.5,0.8098509368717153
2014,ME-2,Emily Ann Cain,DEM,41.19155097083216,1.2362910066054604,38.76842059788546,43.61468134377886,3.5201900536037525
2014,NH-1,Carol Shea-Porter,DEM,44.64235593590266,2.411029389432958,39.91673833261406,49.367973539191254,4.590924661803287
2014,NH-2,Ann McLane Kuster,DEM,51.844616711081876,1.8129044683494033,48.29132395311704,55.39790946904671,4.590924661803287
2014,AK-1,Forrest Dunbar,DEM,41.3172949013226,2.4372119551264597,36.54035946927473,46.09423033337046,2.884713501019262
2014,CA-17,Michael M. Honda,DEM,37,0,37,37,1.1975676268
2014,CA-21,Amanda Renteria,DEM,42,0,42,42,1.1975676268
2014,HI-2,Tulsi Gabbard,DEM,69,0,69,69,0.6030601120748644
2014,MA-9,Bill Keating,DEM,46.28646001185501,0.45210692702395094,45.40033043488807,47.17258958882196,2.3673359006
2014,ME-1,Chellie M. Pingree,DEM,57.089596755164486,2.3862050870089684,52.41263478462691,61.76655872570206,2.7287871118390035
2014,NY-4,Kathleen Rice,DEM,52,0,52,52,1.1817431674
2014,PA-3,Dan Lavallee,DEM,30,0,30,30,0.8313618705819179
2014,US,Generic Candidate,DEM,44.043262238162455,3.754632097492198,36.68418332707775,51.402341149247164,13.29920542509745
2014,VA-10,John W. Foust,DEM,35,0,35,35,0.8278866545906541
2016,IN-9,Shelli Yoder,DEM,42.20629277070448,0.40464313099266813,41.41319223395885,42.999393307450106,2.2822865632999996
2016,MN-8,Richard M. Nolan,DEM,41,0,41,41,1.1975676268
2014,CA-52,Scott Peters,DEM,44.327222783011024,0.4691993534624113,43.4075920502247,45.24685351579735,2.3951352536
2014,KS-2,Margie Wakefield,DEM,37,0,37,37,1.0963267981
2014,UT-1,Donna M. McAleer,DEM,26.045607493091673,2.2760382090247475,21.584572603403167,30.50664238278018,1.44863965990169
2014,UT-2,Luz Robles,DEM,28.039509790492186,4.274927778325684,19.660651344973846,36.41836823601052,1.44863965990169
2014,UT-3,Brian Wonnacott,DEM,20.018243668561738,2.2295330174608696,15.648358954338434,24.38812838278504,1.44863965990169
2014,UT-4,Doug Owens,DEM,43.38123233249558,0.9991791161482148,41.422841264845076,45.33962340014608,1.44863965990169
2016,NH-1,Carol Shea-Porter,DEM,40.40049700010704,1.8259826086509754,36.82157108715113,43.97942291306295,3.4587617983445123
2016,NH-2,Ann McLane Kuster,DEM,52.55232070050802,2.3499748259853033,47.94637004157683,57.15827135943921,3.4587617983445123
2016,NY-24,Colleen Deacon,DEM,31,0,31,31,1.1817431674
2016,SD-1,Paula Hawks,DEM,36.69639698465787,2.701965798893636,31.400544018826345,41.9922499504894,1.5302127976313145
2014,CA-31,Pete Aguilar,DEM,42,0,42,42,0.8448164219744214
2016,US,Generic Candidate,DEM,44.84029603936725,2.742391779971674,39.46520815062277,50.215383928111734,23.772661843539392
2016,UT-4,Doug Owens,DEM,41,0,41,41,0.8688432936467319
2014,IL-10,Brad Schneider,DEM,45,0,45,45,0.671762032
2014,IL-11,Bill Foster,DEM,52,0,52,52,0.671762032
2014,IL-12,William L. Enyart,DEM,42,0,42,42,0.671762032
2014,IL-13,Ann E. Callis,DEM,36,0,36,36,0.671762032
2014,IL-17,Cheri Bustos,DEM,55,0,55,55,0.671762032
