,year,state,state_po,special,district,dem,rep,totalvotes,dem_cand,rep_cand,dem_inc,rep_inc,dem_funds,rep_funds,2party_votes,dem_pct_2p,rep_pct_2p,dem_tot_funds,rep_tot_funds,tot_funds,dem_funds_2p_pct,rep_funds_2p_pct
0,2018,Alabama,AL,False,1,89226.0,153228.0,242617,Robert Kennedy Jr,Bradley Byrne,False,True,39095.21,343761.59,242454.0,36.80120765176075,63.19879234823925,39095.21,343761.59,382856.80000000005,10.21144459233844,89.78855540766155
1,2018,Alabama,AL,False,2,86931.0,138879.0,226230,Tabitha Isner,Martha Roby,False,True,501490.57,799289.56,225810.0,38.49740932642487,61.50259067357513,501490.57,799289.56,1300780.1300000001,38.553061999801606,61.446938000198394
2,2018,Alabama,AL,False,3,83996.0,147770.0,231915,Mallory Hagan,Mike Rogers,False,True,409309.26,530372.0,231766.0,36.241726569039464,63.758273430960536,409309.26,530372.0,939681.26,43.55830827146644,56.44169172853357
3,2018,Alabama,AL,False,4,46492.0,184255.0,230969,Lee Auman,Robert Aderholt,False,True,61160.87,468336.48,230747.0,20.148474303024525,79.85152569697547,61160.87,468336.48,529497.35,11.550741472077245,88.44925852792275
4,2018,Alabama,AL,False,5,101388.0,159063.0,260673,Peter Joffrion,Mo Brooks,False,True,553386.53,1216500.38,260451.0,38.927859750970434,61.07214024902957,553386.53,1216500.38,1769886.91,31.26677342339348,68.73322657660653
5,2018,Alabama,AL,False,6,85644.0,192542.0,278328,Danner Kline,Gary Palmer,False,True,277614.23,298279.01,278186.0,30.786596018491224,69.21340398150878,277614.23,298279.01,575893.24,48.20584975090175,51.79415024909826
6,2018,Alabama,AL,False,7,185010.0,,189163,Terri Sewell,[],True,[],329727.92,[],,,,329727.92,0.0,329727.92,100.0,0.0
7,2018,Alaska,AK,False,0,131199.0,149779.0,282166,Alyse S Galvin,Don Young,False,True,1809591.38,670374.33,280978.0,46.69369132102869,53.306308678971305,1809591.38,670374.33,2479965.71,72.96840326070476,27.03159673929524
8,2018,Arizona,AZ,False,1,143240.0,122784.0,266089,Tom O'Halleran,Wendy Rogers,True,False,1600056.89,1302250.0,266024.0,53.84476588578474,46.15523411421526,1600056.89,1302250.0,2902306.8899999997,55.130520328951164,44.86947967104885
9,2018,Arizona,AZ,False,2,161000.0,133083.0,294152,Ann Kirkpatrick,Lea Marquez Peterson,False,False,3023544.0,1105238.11,294083.0,54.74644913170772,45.25355086829229,3023544.0,1105238.11,4128782.1100000003,73.23089277772519,26.7691072222748
10,2018,Arizona,AZ,False,3,114650.0,64868.0,179518,Raul Grijalva,"Nicolas \""Nick\"" Pierson",True,False,421707.84,70267.0,179518.0,63.86546195924643,36.13453804075357,421707.84,70267.0,491974.84,85.71735904218191,14.282640957818085
11,2018,Arizona,AZ,False,4,84521.0,188842.0,277035,David Brill,Paul Gosar,False,True,358758.47,362289.22,273363.0,30.918961234695256,69.08103876530474,358758.47,362289.22,721047.69,49.755165292880974,50.244834707119026
12,2018,Arizona,AZ,False,5,127027.0,186037.0,313064,Joan Greene,Andy Biggs,False,True,46899.11,330436.59,313064.0,40.57540950093272,59.424590499067286,46899.11,330436.59,377335.7,12.429014800348867,87.57098519965115
13,2018,Arizona,AZ,False,6,140559.0,173140.0,313699,Anita Malik,David Schweikert,False,True,359141.69,470426.25,313699.0,44.80696463807663,55.19303536192337,359141.69,470426.25,829567.94,43.29261928805976,56.707380711940246
14,2018,Arizona,AZ,False,7,113044.0,,132051,Ruben Gallego,[],True,[],469702.16,[],,,,469702.16,0.0,469702.16,100.0,0.0
15,2018,Arizona,AZ,False,8,135569.0,168835.0,304417,Hiral Tipirneni,Debbie Lesko,False,True,4279324.0,1450890.6,304404.0,44.535879949015126,55.464120050984874,4279324.0,1450890.6,5730214.6,74.67999540540768,25.320004594592326
16,2018,Arizona,AZ,False,9,159583.0,101662.0,261245,Greg Stanton,Stephen L Ferrara,False,False,2017183.95,1193601.1,261245.0,61.08557101571323,38.91442898428678,2017183.95,1193601.1,3210785.05,62.82525670785717,37.17474329214284
17,2018,Arkansas,AR,False,1,57907.0,138757.0,201245,Chintan Desai,Rick Crawford,False,True,120235.13,517326.61,196664.0,29.444636537444573,70.55536346255542,120235.13,517326.61,637561.74,18.85858615041737,81.14141384958263
18,2018,Arkansas,AR,False,2,116135.0,132125.0,253453,Clarke Tucker,French Hill,False,True,2046047.43,1665334.48,248260.0,46.7795859179892,53.22041408201079,2046047.43,1665334.48,3711381.91,55.12899183150892,44.87100816849107
19,2018,Arkansas,AR,False,3,74952.0,148717.0,229708,Josh Mahony,Steve Womack,False,True,127828.21,530109.31,223669.0,33.510231636927784,66.48976836307222,127828.21,530109.31,657937.52,19.428624468779347,80.57137553122065
20,2018,Arkansas,AR,False,4,63984.0,136740.0,204892,Hayden Catherine Shamel,Bruce Westerman,False,True,131411.62,909437.85,200724.0,31.876606683804624,68.12339331619538,131411.62,909437.85,1040849.47,12.625420273308109,87.37457972669189
