,poll_id_nate,question_id_538,race,year,location,type_simple,type_detail,pollster,pollster_rating_id,partisan,polldate,samplesize,cand1_name,cand1_party,cand1_pct,cand2_name,cand2_party,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,advancedplusminus,comment,rv,all_adu,sponsor,population,v
0,3306,3709.0,2008_Pres-D_IA,2008,IA,Pres-P,Pres-D,American Research Group,9,,2008-01-01,600.0,Barack Obama,DEM,25.0,John Edwards,DEM,21.0,34.0,4.0,2008-01-03,34.95,31.23,3.72,0.28,,0.0,-2.68343111679719,,False,False,,LV,False
1,3307,3711.0,2008_Pres-D_IA,2008,IA,Pres-P,Pres-D,Zogby Analytics,395,,2008-01-01,905.0,Barack Obama,DEM,31.0,John Edwards,DEM,27.0,24.0,4.0,2008-01-03,34.95,31.23,3.72,0.28,,1.0,-2.31802795582716,for Reuters | C-SPAN,False,False,Reuters | C-SPAN,LV,False
2,3326,3708.0,2008_Pres-R_IA,2008,IA,Pres-P,Pres-R,American Research Group,9,,2008-01-01,600.0,Mike Huckabee,REP,29.0,Mitt Romney,REP,24.0,13.0,5.0,2008-01-03,34.41,25.23,9.18,4.18,,1.0,-0.231506176822946,,False,False,,LV,False
3,3327,3710.0,2008_Pres-R_IA,2008,IA,Pres-P,Pres-R,Zogby Analytics,395,,2008-01-01,914.0,Mike Huckabee,REP,31.0,Mitt Romney,REP,25.0,11.0,6.0,2008-01-03,34.41,25.23,9.18,3.18,,1.0,-0.842899271745015,for Reuters | C-SPAN,False,False,Reuters | C-SPAN,LV,False
4,5847,17773.0,2012_Pres-R_IA,2012,IA,Pres-P,Pres-R,InsiderAdvantage,243,,2012-01-01,729.0,Rick Santorum,REP,18.0,Mitt Romney,REP,23.0,22.0,-5.0,2012-01-03,24.61,24.58,0.03,5.03,,0.0,-1.33646909103211,,False,False,,LV,False
5,5848,17767.0,2012_Pres-R_IA,2012,IA,Pres-P,Pres-R,Public Policy Polling,263,,2012-01-01,670.0,Rick Santorum,REP,18.0,Mitt Romney,REP,18.0,21.0,0.0,2012-01-03,24.61,24.58,0.03,0.03,,0.0,-6.57441689903917,,False,False,,LV,False
6,10858,138753.0,2020_Sen-GR_GA,2020,GA,Sen-G,Sen-GR,Lee Business School (University of Nevada Las Vegas),609,,2021-01-01,550.0,Jon Ossoff,DEM,47.8,David A. Perdue,REP,48.9,,-1.1,2021-01-05,50.61,49.39,1.22,2.32,-2.32,0.0,-1.07086196957989,,False,False,,LV,False
7,10859,138755.0,2020_Sen-GR_GA,2020,GA,Sen-G,Sen-GR,Targoz Market Research,454,,2021-01-01,713.0,Jon Ossoff,DEM,50.0,David A. Perdue,REP,50.0,,0.0,2021-01-05,50.61,49.39,1.22,1.22,-1.22,0.5,-1.90687183300054,for PollSmart MR,False,False,PollSmart MR,LV,False
8,10875,138754.0,2020_Sen-GSR_GA,2020,GA,Sen-G,Sen-GSR,Lee Business School (University of Nevada Las Vegas),609,,2021-01-01,550.0,Raphael Warnock,DEM,47.7,Kelly Loeffler,REP,48.6,,-0.9,2021-01-05,51.04,48.96,2.08,2.98,-2.98,0.0,-0.598500129291233,,False,False,,LV,False
9,10876,138756.0,2020_Sen-GSR_GA,2020,GA,Sen-G,Sen-GSR,Targoz Market Research,454,,2021-01-01,713.0,Raphael Warnock,DEM,51.0,Kelly Loeffler,REP,49.0,,2.0,2021-01-05,51.04,48.96,2.08,0.08,-0.08,1.0,-3.33349410081363,for PollSmart MR,False,False,PollSmart MR,LV,False
10,284,9339.0,2000_Pres-D_IA,2000,IA,Pres-P,Pres-D,North Star Opinion Research,233,,2000-01-10,300.0,Al Gore,DEM,48.0,Bill Bradley,DEM,33.0,,15.0,2000-01-24,63.2,36.8,26.4,11.4,,1.0,4.6898341392069,for American Association of Health Plans,False,False,American Association of Health Plans,LV,False
11,285,9347.0,2000_Pres-D_IA,2000,IA,Pres-P,Pres-D,Research 2000,281,,2000-01-10,301.0,Al Gore,DEM,52.0,Bill Bradley,DEM,34.0,,18.0,2000-01-24,63.2,36.8,26.4,8.4,,1.0,0.960244427963006,,False,False,,LV,False
12,294,9342.0,2000_Pres-R_IA,2000,IA,Pres-P,Pres-R,North Star Opinion Research,233,,2000-01-10,300.0,George W. Bush,REP,46.0,Steve Forbes,REP,24.0,6.0,22.0,2000-01-24,41.01,30.51,10.5,11.5,,1.0,-2.22122485099828,for American Association of Health Plans,False,False,American Association of Health Plans,LV,False
13,295,9334.0,2000_Pres-R_IA,2000,IA,Pres-P,Pres-R,PSI,248,,2000-01-10,300.0,George W. Bush,REP,46.0,Steve Forbes,REP,17.0,6.0,29.0,2000-01-24,41.01,30.51,10.5,18.5,,1.0,5.29590344002162,,False,False,,LV,False
14,296,9350.0,2000_Pres-R_IA,2000,IA,Pres-P,Pres-R,Research 2000,281,,2000-01-10,309.0,George W. Bush,REP,46.0,Steve Forbes,REP,20.0,7.0,26.0,2000-01-24,41.01,30.51,10.5,15.5,,1.0,2.06008342254232,,False,False,,LV,False
15,3432,3618.0,2008_Pres-D_FL,2008,FL,Pres-P,Pres-D,SurveyUSA,325,,2008-01-10,577.0,Hillary Rodham Clinton,DEM,51.0,Barack Obama,DEM,32.0,11.0,19.0,2008-01-29,49.77,32.93,16.84,2.16,,1.0,-6.71756538819263,,False,False,,LV,False
16,3376,3585.0,2008_Pres-D_MI,2008,MI,Pres-P,Pres-D,American Research Group,9,,2008-01-10,600.0,Hillary Rodham Clinton,DEM,57.0,Dennis J. Kucinich,DEM,3.0,,54.0,2008-01-15,92.16,6.1,86.06,32.06,,1.0,16.0746891412785,,False,False,,LV,False
17,3377,3583.0,2008_Pres-D_MI,2008,MI,Pres-P,Pres-D,Selzer,304,,2008-01-10,600.0,Hillary Rodham Clinton,DEM,56.0,Dennis J. Kucinich,DEM,2.0,0.0,54.0,2008-01-15,92.16,6.1,86.06,32.06,,1.0,16.4513327359703,,False,False,,LV,False
18,3459,3614.0,2008_Pres-R_FL,2008,FL,Pres-P,Pres-R,SurveyUSA,325,,2008-01-10,502.0,John McCain,REP,27.0,Mitt Romney,REP,17.0,19.0,10.0,2008-01-29,36.0,31.03,4.97,5.03,,1.0,-2.41139267157256,among all adults,False,True,,A,False
19,3380,3619.0,2008_Pres-R_MI,2008,MI,Pres-P,Pres-R,American Research Group,9,,2008-01-10,600.0,Mitt Romney,REP,27.0,John McCain,REP,34.0,15.0,-7.0,2008-01-15,39.75,30.31,9.44,16.44,,0.0,10.2321460443405,,False,False,,LV,False
20,3381,3604.0,2008_Pres-R_MI,2008,MI,Pres-P,Pres-R,Mason-Dixon Polling & Strategy,197,,2008-01-10,400.0,Mitt Romney,REP,30.0,John McCain,REP,22.0,17.0,8.0,2008-01-15,39.75,30.31,9.44,1.44,,1.0,-6.72378674217572,,False,False,,LV,False
21,3382,3589.0,2008_Pres-R_MI,2008,MI,Pres-P,Pres-R,Selzer,304,,2008-01-10,600.0,Mitt Romney,REP,27.0,John McCain,REP,22.0,16.0,5.0,2008-01-15,39.75,30.31,9.44,4.44,,1.0,-2.72601181061753,,False,False,,LV,False
22,11485,,2024_Pres-R_IA,2024,IA,Pres-P,Pres-R,Big Data Poll,251,,2024-01-10,448.0,Donald Trump,REP,52.4,Ron DeSantis,REP,12.6,17.2,39.8,2024-01-15,51.0,21.3,29.7,10.1,,1.0,3.22772053785462,,False,False,,LV,False
23,11486,,2024_Pres-R_IA,2024,IA,Pres-P,Pres-R,Selzer,304,,2024-01-10,705.0,Donald Trump,REP,48.0,Ron DeSantis,REP,16.0,20.0,32.0,2024-01-15,51.0,21.3,29.7,2.3,,1.0,-4.69407015525446,,False,False,,LV,False
24,1671,15842.0,2004_Pres-D_IA,2004,IA,Pres-P,Pres-D,Zogby Analytics,395,,2004-01-11,501.0,John Kerry,DEM,17.0,John Edwards,DEM,14.0,28.0,3.0,2004-01-19,37.33,32.79,4.54,1.54,,0.0,-2.60739660326855,,False,False,,LV,False
25,3433,3617.0,2008_Pres-D_FL,2008,FL,Pres-P,Pres-D,Quinnipiac University,267,,2008-01-11,419.0,Hillary Rodham Clinton,DEM,52.0,Barack Obama,DEM,31.0,9.0,21.0,2008-01-29,49.77,32.93,16.84,4.16,,1.0,-5.50939424246612,,False,False,,LV,False
26,3434,3597.0,2008_Pres-D_FL,2008,FL,Pres-P,Pres-D,Rasmussen Reports,277,,2008-01-11,682.0,Hillary Rodham Clinton,DEM,48.0,Barack Obama,DEM,24.0,14.0,24.0,2008-01-29,49.77,32.93,16.84,7.16,,1.0,-1.83931272265303,,False,False,,LV,False
27,3378,3584.0,2008_Pres-D_MI,2008,MI,Pres-P,Pres-D,EPIC-MRA,84,,2008-01-11,600.0,Hillary Rodham Clinton,DEM,56.0,Dennis J. Kucinich,DEM,3.0,0.0,53.0,2008-01-15,92.16,6.1,86.06,33.06,,1.0,17.7597723688496,,False,False,,LV,False
28,3460,3613.0,2008_Pres-R_FL,2008,FL,Pres-P,Pres-R,Quinnipiac University,267,,2008-01-11,421.0,John McCain,REP,22.0,Mitt Romney,REP,19.0,20.0,3.0,2008-01-29,36.0,31.03,4.97,1.97,,1.0,-5.41280068155857,,False,False,,LV,False
29,3461,3601.0,2008_Pres-R_FL,2008,FL,Pres-P,Pres-R,Rasmussen Reports,277,,2008-01-11,781.0,John McCain,REP,19.0,Mitt Romney,REP,18.0,18.0,1.0,2008-01-29,36.0,31.03,4.97,3.97,,1.0,-2.45995655482414,,False,False,,LV,False
30,3383,3600.0,2008_Pres-R_MI,2008,MI,Pres-P,Pres-R,EPIC-MRA,84,,2008-01-11,604.0,Mitt Romney,REP,26.0,John McCain,REP,27.0,19.0,-1.0,2008-01-15,39.75,30.31,9.44,10.44,,0.0,3.94476767777719,,False,False,,LV,False
31,5012,117287.0,2010_Sen-GS_MA,2010,MA,Sen-G,Sen-GS,Rasmussen Reports,277,,2010-01-11,1000.0,Martha Coakley,DEM,49.0,Scott Brown,REP,47.0,3.0,2.0,2010-01-19,47.12,51.89,-4.77,6.77,6.77,0.0,1.03783795731598,,False,False,,LV,False
